Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,8,9,4,4.5,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
3,Boston Bruins,3,3,0,0,0,6,1,12,7,4,2.33,3 games
4,Buffalo Sabres,3,3,0,0,0,6,1,10,4,3.33,1.33,3 games
5,Carolina Hurricanes,4,3,1,0,0,6,0.75,16,9,4,2.25,4 games
6,Columbus Blue Jackets,5,3,1,0,1,7,0.7,13,8,2.6,1.6,5 games
7,Calgary Flames,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
8,Chicago Blackhawks,2,2,0,0,0,4,1,9,2,4.5,1,2 games
9,Colorado Avalanche,2,2,0,0,0,4,1,8,3,4,1.5,2 games
10,Dallas Stars,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
11,Detroit Red Wings,3,2,0,0,1,5,0.833,9,6,3,2,3 games
12,Edmonton Oilers,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
13,Florida Panthers,3,2,1,0,0,4,0.667,8,6,2.67,2,3 games
14,Los Angeles Kings,2,1,1,0,0,2,0.5,7,4,3.5,2,2 games
15,Minnesota Wild,2,2,0,0,0,4,1,9,6,4.5,3,2 games
16,Montreal Canadiens,3,2,1,0,0,4,0.667,8,5,2.67,1.67,3 games
17,New Jersey Devils,4,3,0,0,1,7,0.875,13,6,3.25,1.5,4 games
18,Nashville Predators,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
19,New York Islanders,5,2,3,0,0,4,0.4,11,13,2.2,2.6,5 games
20,New York Rangers,4,2,2,0,0,4,0.5,9,7,2.25,1.75,4 games
21,Ottawa Senators,3,2,1,0,0,4,0.667,3,4,1,1.33,3 games
22,Philadelphia Flyers,4,3,0,0,1,7,0.875,13,5,3.25,1.25,4 games
23,Pittsburgh Penguins,4,2,0,0,2,6,0.75,21,14,5.25,3.5,4 games
24,San Jose Sharks,2,0,2,0,0,0,0,2,7,1,3.5,2 games
25,St. Louis Blues,2,2,0,0,0,4,1,11,6,5.5,3,2 games
26,Tampa Bay Lightning,3,2,0,0,1,5,0.833,10,5,3.33,1.67,3 games
27,Toronto Maple Leafs,3,2,1,0,0,4,0.667,12,10,4,3.33,3 games
28,Vancouver Canucks,2,2,0,0,0,4,1,8,2,4,1,2 games
29,Winnipeg Jets,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
