Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,2,0,0,2,0.333,7,9,2.33,3,3 games
2,Arizona Coyotes,3,2,1,0,0,4,0.667,12,9,4,3,3 games
3,Boston Bruins,2,0,2,0,0,0,0,2,8,1,4,2 games
4,Buffalo Sabres,2,0,2,0,0,0,0,4,7,2,3.5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,8,9,4,4.5,2 games
7,Calgary Flames,3,1,2,0,0,2,0.333,4,9,1.33,3,3 games
8,Chicago Blackhawks,5,4,1,0,0,8,0.8,16,10,3.2,2,5 games
9,Colorado Avalanche,5,3,1,0,1,7,0.7,15,10,3,2,5 games
10,Dallas Stars,5,4,1,0,0,8,0.8,23,11,4.6,2.2,5 games
11,Detroit Red Wings,2,1,0,0,1,3,0.75,8,7,4,3.5,2 games
12,Edmonton Oilers,3,0,3,0,0,0,0,5,12,1.67,4,3 games
13,Florida Panthers,2,2,0,0,0,4,1,8,4,4,2,2 games
14,Los Angeles Kings,3,1,1,0,1,3,0.5,7,10,2.33,3.33,3 games
15,Minnesota Wild,5,1,4,0,0,2,0.2,16,21,3.2,4.2,5 games
16,Montreal Canadiens,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
17,New Jersey Devils,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
18,Nashville Predators,4,2,1,0,1,5,0.625,10,11,2.5,2.75,4 games
19,New York Islanders,2,1,1,0,0,2,0.5,6,8,3,4,2 games
20,New York Rangers,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
21,Ottawa Senators,2,2,0,0,0,4,1,7,4,3.5,2,2 games
22,Philadelphia Flyers,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
23,Pittsburgh Penguins,2,0,1,0,1,1,0.25,7,11,3.5,5.5,2 games
24,San Jose Sharks,3,0,3,0,0,0,0,7,12,2.33,4,3 games
25,St. Louis Blues,5,5,0,0,0,10,1,21,10,4.2,2,5 games
26,Tampa Bay Lightning,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
27,Toronto Maple Leafs,2,1,0,0,1,3,0.75,9,9,4.5,4.5,2 games
28,Vancouver Canucks,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
29,Washington Capitals,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
