,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Rickard Rakell,24,C,69,31,32,63,7,14,24,7,0,2,23,9,0,203,15.3,1322,19:10,6,1.7,7.8,30,105,103,116,47
2,Ryan Getzlaf,32,C,49,11,45,56,20,40,10,0,1,0,32,12,1,109,10.1,1034,21:07,4,1.9,6,52,79,344,385,47.2
3,Corey Perry,32,RW,63,16,28,44,-4,62,12,4,0,1,22,6,0,148,10.8,1106,17:33,3.1,1.1,4.2,32,51,2,14,12.5
4,Ondrej Kase,22,RW,58,18,16,34,16,12,17,1,0,3,14,2,0,129,14,810,13:58,3.1,1.5,4.6,21,25,4,17,19
5,Jakob Silfverberg,27,RW,69,16,18,34,2,18,13,2,1,2,11,6,1,173,9.2,1244,18:02,1.7,1.5,3.1,55,48,15,34,30.6
6,Josh Manson,26,D,73,5,26,31,27,60,5,0,0,1,25,0,1,103,4.9,1472,20:10,1.9,5.2,7.1,85,151,0,1,0
7,Cam Fowler,26,D,62,8,22,30,2,28,6,1,1,1,12,9,1,112,7.1,1535,24:45:00,2,3.4,5.4,101,18,1,1,50
8,Adam Henrique,27,C,49,16,13,29,10,12,12,3,1,7,10,3,0,85,18.8,861,17:34,2.2,1.3,3.6,42,35,293,313,48.3
9,Brandon Montour,23,D,72,9,20,29,17,40,3,5,1,5,12,7,1,147,6.1,1447,20:06,2.1,4.4,6.5,77,93,0,0,
10,Andrew Cogliano,30,LW,72,8,20,28,14,39,5,0,3,1,19,0,1,155,5.2,1102,15:18,0.6,1.8,2.4,29,74,33,36,47.8
11,Hampus Lindholm,24,D,61,11,16,27,10,26,8,3,0,2,12,4,0,116,9.5,1379,22:37,2.2,3.7,5.9,88,85,0,0,
12,Nick Ritchie,22,LW,68,7,17,24,-1,66,6,1,0,2,15,2,0,112,6.3,902,13:16,0.7,1,1.6,25,205,6,11,35.3
13,Derek Grant,27,C,58,10,12,22,4,11,8,2,0,0,11,0,1,54,18.5,661,11:24,1.5,0.9,2.3,37,58,283,249,53.2
14,Antoine Vermette,35,C,62,8,8,16,-5,34,6,2,0,2,7,0,1,91,8.8,863,13:55,0.1,0.8,0.8,35,37,604,403,60
15,Chris Wagner,26,C,64,6,9,15,-7,35,3,1,2,0,7,2,0,78,7.7,861,13:27,-0.2,0.7,0.4,34,212,180,194,48.1
16,Francois Beauchemin,37,D,59,3,10,13,11,20,3,0,0,0,7,2,1,84,3.6,1032,17:30,0.4,3,3.4,109,90,0,0,
17,Ryan Kesler,33,C,36,7,3,10,-5,42,5,2,0,2,3,0,0,61,11.5,650,18:03,-0.1,0.5,0.5,31,60,326,284,53.4
18,Logan Shaw,26,RW,42,2,6,8,-1,4,2,0,0,1,5,0,1,59,3.4,483,11:30,-0.3,0.5,0.2,23,45,4,13,23.5
19,Kevin Bieksa,36,D,59,0,8,8,-13,83,0,0,0,0,6,2,0,66,0,1063,18:01,-0.5,1.2,0.7,81,116,0,0,
20,Kevin Roy,24,LW,25,6,1,7,3,6,5,1,0,1,1,0,0,26,23.1,341,13:39,0.4,0.5,0.9,7,11,0,9,0
21,Dennis Rasmussen,27,C,27,1,3,4,4,8,1,0,0,0,3,0,0,19,5.3,241,8:54,-0.2,0.4,0.3,15,31,34,36,48.6
22,Sami Vatanen,26,D,15,1,3,4,-6,8,1,0,0,0,1,2,0,22,4.5,317,21:06,0.1,0.2,0.3,26,24,0,0,
23,J.T. Brown,27,RW,19,1,2,3,-3,12,1,0,0,0,2,0,0,19,5.3,178,9:22,-0.1,0.1,0,9,27,0,0,
24,Jason Chimera,38,LW,9,1,1,2,1,2,1,0,0,0,1,0,0,4,25,68,7:32,0.1,0.1,0.2,1,16,0,0,
25,Kalle Kossila,24,LW,10,1,1,2,-4,0,1,0,0,0,1,0,0,9,11.1,91,9:05,0.1,-0.1,0,4,7,26,27,49.1
26,Marcus Pettersson,21,D,14,1,1,2,8,4,1,0,0,0,1,0,0,8,12.5,184,13:10,0.1,1,1.1,18,11,0,0,
27,Chris Kelly,37,C,10,0,2,2,1,0,0,0,0,0,2,0,0,5,0,79,7:57,0,0.1,0.1,6,7,1,7,12.5
28,Andy Welinski,24,D,4,0,2,2,1,0,0,0,0,0,2,0,0,2,0,67,16:42,0.1,0.2,0.3,5,0,0,0,
29,Jared Boll,31,RW,10,1,0,1,0,16,1,0,0,0,0,0,0,4,25,44,4:26,0.1,0,0.1,0,9,0,0,
30,Patrick Eaves,33,RW,2,1,0,1,0,0,1,0,0,1,0,0,0,3,33.3,33,16:28,0.1,0,0.2,1,5,0,1,0
31,John Gibson,24,G,55,0,1,1,0,16,0,0,0,0,1,0,0,0,,3162,57:30:00,0,0,12.3,0,0,0,0,
32,Mike Liambas,28,LW,7,0,1,1,0,21,0,0,0,0,1,0,0,3,0,37,5:17,0,0,0,1,15,0,2,0
33,Jaycob Megna,25,D,14,0,1,1,-4,2,0,0,0,0,1,0,0,7,0,220,15:43,-0.2,0.2,0,30,6,0,0,
34,Reto Berra,31,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,182,36:23:00,0,0,0.7,0,0,0,0,
