,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jack Eichel,21,C,58,22,32,54,-18,30,19,3,0,3,19,11,2,211,10.4,1162,20:02,4.7,1,5.7,24,40,305,419,42.1
2,Ryan O'Reilly,26,C,72,20,32,52,-13,2,8,12,0,3,24,4,4,197,10.2,1507,20:56,3.3,1.7,5,45,36,1149,735,61
3,Sam Reinhart,22,C,73,19,23,42,-14,26,11,8,0,4,15,8,0,163,11.7,1244,17:03,2.9,1.3,4.2,37,44,56,83,40.3
4,Evander Kane,26,LW,61,20,20,40,-14,57,14,3,3,2,14,6,0,227,8.8,1183,19:23,3,1.2,4.1,26,120,80,103,43.7
5,Kyle Okposo,29,RW,67,11,27,38,-30,34,7,4,0,2,13,14,0,139,7.9,1146,17:06,1.9,0.5,2.4,34,62,22,24,47.8
6,Rasmus Ristolainen,23,D,64,6,29,35,-17,46,5,1,0,1,12,17,0,163,3.7,1697,26:31:00,2.2,3.2,5.4,101,188,1,0,100
7,Jason Pominville,35,RW,73,12,16,28,-17,6,8,4,0,1,14,2,0,144,8.3,1081,14:48,1.2,0.9,2.1,33,33,29,21,58
8,Marco Scandella,27,D,73,5,15,20,-2,22,5,0,0,1,12,2,1,127,3.9,1723,23:36,0.5,4.4,4.9,103,76,0,0,
9,Benoit Pouliot,31,LW,69,13,6,19,-7,20,10,1,2,4,6,0,0,77,16.9,962,13:57,0.7,1.1,1.8,33,66,12,20,37.5
10,Evan Rodrigues,24,LW,39,6,13,19,-9,14,5,1,0,0,9,4,0,68,8.8,545,13:58,1.1,0.4,1.5,21,17,133,176,43
11,Johan Larsson,25,C,71,4,11,15,-23,47,3,0,1,0,10,0,1,80,5,1000,14:05,-0.8,0.6,-0.3,42,103,303,272,52.7
12,Scott Wilson,25,C,40,6,7,13,-11,6,6,0,0,0,6,1,0,65,9.2,545,13:38,0.5,0.4,0.8,24,69,5,4,55.6
13,Zemgus Girgensons,24,C,65,7,5,12,-8,24,5,0,2,0,5,0,0,103,6.8,877,13:30,-0.5,1,0.5,30,125,19,36,34.5
14,Jake McCabe,24,D,53,3,9,12,-11,26,2,1,0,0,9,0,0,53,5.7,1034,19:30,0.3,1.9,2.2,79,110,0,1,0
15,Victor Antipin,25,D,44,0,10,10,-9,18,0,0,0,0,9,1,0,38,0,678,15:25,0.2,1.1,1.3,39,13,0,0,
16,Nathan Beaulieu,25,D,54,1,8,9,-20,36,1,0,0,0,7,1,0,59,1.7,877,16:14,0,0.8,0.7,59,40,0,0,
17,Jordan Nolan,28,LW,62,3,4,7,-9,63,3,0,0,0,4,0,0,41,7.3,608,9:48,-0.7,0.5,-0.1,15,114,1,3,25
18,Casey Nelson,25,D,28,2,5,7,-4,8,1,0,1,0,4,0,1,34,5.9,513,18:19,0.3,1,1.4,27,25,0,0,
19,Nicholas Baptiste,22,RW,24,4,1,5,-1,14,4,0,0,1,1,0,0,34,11.8,236,9:49,0.3,0.3,0.6,3,10,0,6,0
20,Justin Bailey,22,RW,12,3,1,4,-2,2,3,0,0,0,1,0,0,19,15.8,135,11:17,0.4,0.1,0.5,9,19,0,2,0
21,Jacob Josefson,26,C,39,2,2,4,-4,6,2,0,0,0,2,0,0,35,5.7,444,11:23,-0.6,0.5,-0.1,33,26,141,179,44.1
22,Seth Griffith,25,C,21,2,1,3,-6,6,2,0,0,0,0,1,0,15,13.3,222,10:34,-0.1,0.1,0,4,10,0,3,0
23,Justin Falk,29,D,40,1,1,2,-13,24,1,0,0,0,0,0,1,31,3.2,651,16:16,-0.5,0.7,0.2,53,109,0,0,
24,Josh Gorges,33,D,30,0,2,2,-5,15,0,0,0,0,2,0,0,12,0,449,14:58,-0.3,0.8,0.5,48,56,0,0,
25,Zach Bogosian,27,D,18,0,1,1,-9,20,0,0,0,0,1,0,0,29,0,345,19:09,-0.3,0.2,-0.1,23,22,0,0,
26,Taylor Fedun,29,D,7,0,1,1,-1,2,0,0,0,0,1,0,0,8,0,103,14:41,0,0.2,0.2,10,4,0,0,
27,Brendan Guhle,20,D,10,0,1,1,-2,6,0,0,0,0,1,0,0,20,0,173,17:16,-0.1,0.3,0.2,3,2,0,0,
28,Kyle Criscuolo,25,C,9,0,0,0,-4,4,0,0,0,0,0,0,0,5,0,72,8:01,-0.2,-0.1,-0.3,3,13,19,22,46.3
29,Hudson Fasching,22,RW,5,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,49,9:42,-0.1,0,-0.1,2,7,0,0,
