,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Johnny Gaudreau,24,LW,75,23,59,82,3,26,20,3,0,4,38,21,0,217,10.6,1462,19:30,6.6,1.9,8.6,17,16,1,4,20
2,Sean Monahan,23,C,74,31,33,64,3,24,22,9,0,11,23,10,0,202,15.3,1382,18:41,5.8,1.8,7.7,17,35,709,698,50.4
3,Matthew Tkachuk,20,LW,68,24,25,49,-1,61,14,10,0,2,18,7,0,188,12.8,1173,17:15,4.2,1.4,5.6,16,80,7,10,41.2
4,Dougie Hamilton,24,D,75,16,27,43,3,58,10,6,0,4,21,6,0,250,6.4,1615,21:32,4,4.1,8.1,73,72,1,2,33.3
5,Mikael Backlund,28,C,75,13,28,41,-17,74,9,3,1,1,18,8,2,194,6.7,1434,19:07,1.5,1.1,2.6,38,52,655,662,49.7
6,Micheal Ferland,25,LW,70,21,18,39,6,24,15,6,0,0,18,0,0,136,15.4,1067,15:14,3.1,1.6,4.7,28,158,21,35,37.5
7,Mark Giordano,34,D,75,13,24,37,1,53,11,1,1,4,15,9,0,201,6.5,1862,24:50:00,2.8,4.6,7.4,147,87,0,0,
8,T.J. Brodie,27,D,73,4,28,32,-16,18,3,1,0,0,18,10,0,118,3.4,1729,23:41,1.5,2.9,4.4,99,24,0,0,
9,Sam Bennett,21,C,75,11,15,26,-16,53,10,1,0,1,13,2,0,142,7.7,1074,14:19,0.8,0.7,1.5,32,128,90,77,53.9
10,Michael Frolik,29,RW,63,10,13,23,-14,22,8,0,2,1,13,0,0,153,6.5,1073,17:02,0.4,0.8,1.1,33,45,31,38,44.9
11,Mark Jankowski,23,C,65,13,8,21,-8,22,11,1,1,2,7,1,0,100,13,862,13:16,1,0.8,1.8,44,26,360,374,49
12,Troy Brouwer,32,RW,69,6,14,20,-4,51,6,0,0,0,9,4,1,67,9,943,13:40,0,1,1,41,116,83,99,45.6
13,Matt Stajan,34,C,65,4,7,11,3,24,4,0,0,1,7,0,0,63,6.3,709,10:54,-0.5,1,0.5,30,73,232,221,51.2
14,Garnet Hathaway,26,RW,52,2,9,11,1,79,2,0,0,0,9,0,0,56,3.6,602,11:34,-0.4,0.8,0.4,30,137,1,6,14.3
15,Travis Hamonic,27,D,71,1,10,11,-5,72,1,0,0,0,10,0,0,104,1,1480,20:50,-0.6,3.2,2.6,119,79,0,1,0
16,Curtis Lazar,22,RW,58,2,7,9,-5,23,2,0,0,1,7,0,0,59,3.4,550,9:29,-0.4,0.5,0.1,25,113,39,60,39.4
17,Kris Versteeg,31,RW,24,3,5,8,-8,6,2,1,0,1,1,4,0,49,6.1,316,13:11,0.2,0.1,0.3,6,6,46,32,59
18,Brett Kulak,24,D,64,2,6,8,-1,25,2,0,0,0,6,0,0,64,3.1,800,12:30,0,1.9,1.9,46,39,0,0,
19,Jaromir Jagr,45,RW,22,1,6,7,6,10,1,0,0,0,5,1,0,32,3.1,287,13:03,0,0.6,0.6,8,1,0,0,
20,Michael Stone,27,D,75,2,4,6,-10,28,2,0,0,0,3,1,0,92,2.2,1222,16:18,-0.7,2.2,1.5,138,100,0,0,
21,Mike Smith,35,G,53,0,2,2,0,6,0,0,0,0,2,0,0,1,0,3071,57:56:00,0,0,9.7,0,1,0,0,
22,Matt Bartkowski,29,D,14,0,1,1,-3,4,0,0,0,0,1,0,0,12,0,166,11:51,-0.1,0.2,0.1,11,23,0,0,
23,Freddie Hamilton,26,C,8,0,1,1,-1,2,0,0,0,0,0,0,1,5,0,61,7:38,-0.1,0,0,0,16,3,13,18.8
24,Ryan Lomberg,23,LW,7,0,1,1,0,15,0,0,0,0,1,0,0,5,0,44,6:15,0,0.1,0,1,11,0,2,0
25,Chris Stewart,30,RW,4,0,1,1,-3,0,0,0,0,0,1,0,0,3,0,41,10:12,0,-0.1,-0.1,0,4,1,2,33.3
26,Rasmus Andersson,21,D,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,13:07,0,0.1,0,3,0,0,0,
27,Jon Gillies,24,G,7,0,0,0,0,2,0,0,0,0,0,0,0,0,,366,52:21:00,0,0,0.8,0,0,0,0,
28,Tanner Glass,34,LW,10,0,0,0,-3,12,0,0,0,0,0,0,0,7,0,91,9:08,-0.3,0,-0.3,4,23,1,3,25
29,Marek Hrivik,26,LW,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,26,8:30,-0.1,0.1,0,1,4,0,1,0
30,Morgan Klimchuk,22,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,7:25,0,0,0,0,1,0,0,
31,Eddie Lack,30,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,136,34:03:00,0,0,-0.3,0,0,0,0,
32,Andrew Mangiapane,21,LW,10,0,0,0,-3,2,0,0,0,0,0,0,0,7,0,89,8:56,-0.3,0,-0.3,4,9,1,0,100
33,David Rittich,25,G,20,0,0,0,0,14,0,0,0,0,0,0,0,0,,948,47:23:00,0,0,2.4,0,0,0,0,
34,Nick Shore,25,C,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24,11:54,-0.1,0,0,0,2,9,8,52.9
,Team Total,,,75,202,352,554,-91,810,155,42,5,33,264,84,4,2534,8,,,28.5,33.4,74.4,1011,1481,2291,2348,49.4
