,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Nathan MacKinnon,22,C,66,38,54,92,15,53,26,12,0,11,36,17,1,254,15,1298,19:40,9.9,2.1,11.9,18,33,440,606,42.1
2,Mikko Rantanen,21,RW,73,27,53,80,6,32,17,10,0,3,32,21,0,158,17.1,1368,18:45,7.3,1.8,9.1,33,27,59,57,50.9
3,Gabriel Landeskog,25,LW,70,24,33,57,20,35,16,8,0,1,26,6,1,155,15.5,1402,20:02,4.5,2.4,6.9,47,123,169,169,50
4,Tyson Barrie,26,D,60,12,40,52,-10,22,7,5,0,3,19,21,0,160,7.5,1344,22:24,5,1.8,6.8,71,34,0,0,
5,Alexander Kerfoot,23,C,71,17,21,38,-9,28,13,4,0,0,10,11,0,72,23.6,949,13:22,3.1,0.7,3.8,29,34,174,255,40.6
6,Carl Soderberg,32,C,69,15,19,34,1,24,13,2,0,3,16,2,1,131,11.5,1202,17:25,1.7,1.4,3.1,60,61,388,459,45.8
7,Blake Comeau,31,LW,71,12,19,31,5,42,9,0,3,3,19,0,0,110,10.9,1128,15:53,1.3,1.5,2.8,34,126,91,148,38.1
8,Erik Johnson,29,D,59,8,15,23,4,58,8,0,0,3,11,3,1,160,5,1510,25:35:00,1.3,3.3,4.6,126,109,0,1,0
9,J.T. Compher,22,LW,61,13,9,22,-25,18,7,4,2,3,7,2,0,127,10.2,992,16:16,0.9,0.2,1,58,38,251,301,45.5
10,Matthew Nieto,25,LW,66,13,9,22,4,14,12,0,1,1,9,0,0,75,17.3,978,14:49,0.9,1.3,2.2,50,23,4,9,30.8
11,Nikita Zadorov,22,D,69,7,13,20,7,94,7,0,0,1,12,1,0,83,8.4,1333,19:19,1.1,3.2,4.3,89,243,0,0,
12,Tyson Jost,19,C,57,9,10,19,-7,18,5,4,0,1,7,3,0,94,9.6,815,14:18,0.6,0.7,1.3,23,28,79,141,35.9
13,Sven Andrighetto,24,RW,45,6,13,19,-17,10,4,2,0,1,8,5,0,95,6.3,653,14:31,0.8,0.1,0.8,15,31,6,14,30
14,Samuel Girard,19,D,60,2,16,18,-7,6,1,1,0,0,6,10,0,63,3.2,1050,17:30,0.8,1.5,2.3,59,36,0,0,
15,Colin Wilson,28,C,53,6,11,17,-3,6,5,1,0,1,7,4,0,75,8,710,13:24,0.4,0.7,1.1,22,35,55,53,50.9
16,Nail Yakupov,24,RW,55,9,7,16,1,26,6,3,0,1,6,1,0,90,10,596,10:51,0.9,0.7,1.6,7,54,0,2,0
17,Patrik Nemeth,25,D,60,3,12,15,27,39,3,0,0,0,10,0,2,68,4.4,1193,19:53,0.4,4.4,4.8,168,57,0,3,0
18,Mark Barberio,27,D,44,3,10,13,4,27,2,0,1,1,8,1,1,50,6,756,17:12,0.7,1.8,2.5,55,23,0,0,
19,Gabriel Bourque,27,LW,50,5,6,11,-4,12,5,0,0,1,6,0,0,38,13.2,565,11:18,0.1,0.5,0.6,53,112,5,14,26.3
20,Matt Duchene,27,C,14,4,6,10,1,4,3,1,0,1,6,0,0,23,17.4,221,15:46,0.8,0.3,1.1,3,6,113,87,56.5
21,Anton Lindholm,23,D,47,0,4,4,4,14,0,0,0,0,4,0,0,22,0,626,13:19,-0.4,1.5,1.2,51,97,0,0,
22,David Warsofsky,27,D,12,0,4,4,3,0,0,0,0,0,4,0,0,14,0,161,13:26,0.2,0.5,0.8,12,1,0,0,
23,Rocco Grimaldi,24,C,6,1,2,3,0,0,1,0,0,0,2,0,0,7,14.3,58,9:39,0.3,0.1,0.3,5,3,0,1,0
24,Andrei Mironov,23,D,10,1,2,3,2,12,1,0,0,0,2,0,0,3,33.3,110,11:03,0.3,0.4,0.7,16,19,0,0,
25,A.J. Greer,21,LW,17,0,3,3,2,29,0,0,0,0,3,0,0,13,0,126,7:24,0,0.2,0.2,5,30,1,2,33.3
26,Duncan Siemens,24,D,15,1,1,2,-5,23,1,0,0,0,1,0,0,14,7.1,193,12:54,0.1,0,0.1,20,22,0,0,
27,Jonathan Bernier,29,G,32,0,1,1,0,0,0,0,0,0,0,0,1,0,,1757,54:55:00,0,0,5.3,0,0,0,0,
28,Chris Bigras,22,D,15,0,1,1,-2,2,0,0,0,0,1,0,0,8,0,208,13:52,-0.2,0.3,0.1,15,12,0,0,
29,Dominic Toninato,23,C,34,0,1,1,-1,12,0,0,0,0,1,0,0,23,0,273,8:01,-0.7,0.3,-0.4,13,19,79,109,42
30,Vladislav Kamenev,21,LW,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,26,8:49,-0.1,0,-0.1,0,3,7,11,38.9
31,Semyon Varlamov,29,G,48,0,0,0,0,2,0,0,0,0,0,0,0,0,,2685,55:56:00,0,0,9.1,0,0,0,0,
,Team Total,,,74,236,395,631,14,662,172,57,7,39,279,108,8,2186,10.8,,,42,33.4,89.8,1157,1439,1921,2442,44
