,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Artemi Panarin,26,LW,75,25,44,69,18,26,19,6,0,5,34,10,0,211,11.8,1503,20:02,5.7,2.4,8.1,17,13,0,7,0
2,Seth Jones,23,D,72,15,35,50,6,26,9,6,0,4,22,13,0,238,6.3,1767,24:33:00,4.6,4.3,8.9,107,86,0,0,
3,Pierre-Luc Dubois,19,LW,75,15,24,39,6,37,11,4,0,2,15,9,0,153,9.8,1227,16:21,2.2,1.6,3.9,38,113,398,508,43.9
4,Cam Atkinson,28,RW,59,18,19,37,14,12,16,1,1,5,13,6,0,198,9.1,1104,18:43,2.7,1.8,4.5,26,31,19,43,30.6
5,Oliver Bjorkstrand,22,RW,75,11,26,37,5,9,8,3,0,2,21,5,0,149,7.4,1084,14:27,2,1.4,3.4,43,54,1,7,12.5
6,Nick Foligno,30,LW,71,15,18,33,1,48,13,2,0,1,16,2,0,135,11.1,1299,18:18,1.4,1.5,2.9,60,179,332,393,45.8
7,Zach Werenski,20,D,71,14,19,33,7,16,11,3,0,3,12,7,0,193,7.3,1612,22:42,2.9,4.1,7,85,55,0,0,
8,Alexander Wennberg,23,C,60,8,25,33,19,12,5,3,0,2,22,2,1,70,11.4,1081,18:01,1.3,2,3.2,46,27,319,400,44.4
9,Josh Anderson,23,RW,61,18,11,29,-2,40,17,1,0,5,8,3,0,184,9.8,1112,18:14,1.8,1.2,3,23,109,26,35,42.6
10,Boone Jenner,24,C,68,11,17,28,-1,37,10,1,0,1,16,1,0,165,6.7,1120,16:29,1,1.2,2.2,77,188,242,189,56.1
11,Matt Calvert,28,LW,62,8,14,22,-8,29,5,1,2,0,14,0,0,98,8.2,834,13:27,0.8,0.6,1.4,32,52,15,27,35.7
12,Markus Nutivaara,23,D,57,5,16,21,8,14,4,1,0,1,15,1,0,74,6.8,917,16:06,1.6,2.6,4.2,39,41,0,0,
13,Sonny Milano,21,LW,48,13,6,19,-3,6,13,0,0,3,4,2,0,65,20,560,11:39,1.8,0.5,2.3,10,24,0,0,
14,Brandon Dubinsky,31,C,55,5,10,15,-2,33,5,0,0,0,8,1,1,80,6.3,882,16:03,-0.4,0.9,0.5,39,132,482,407,54.2
15,David Savard,27,D,74,4,11,15,6,30,4,0,0,0,10,0,1,133,3,1439,19:27,0.2,3.6,3.8,137,123,0,0,
16,Jack Johnson,31,D,74,3,7,10,-9,22,3,0,0,1,7,0,0,86,3.5,1452,19:37,-0.4,2.5,2,131,98,0,0,
17,Thomas Vanek,34,LW,12,4,5,9,9,6,4,0,0,0,5,0,0,29,13.8,165,13:45,0.9,0.5,1.4,2,6,2,2,50
18,Ryan Murray,24,D,38,1,8,9,3,8,1,0,0,0,8,0,0,31,3.2,692,18:13,0.2,1.7,1.9,66,27,0,0,
19,Lukas Sedlak,24,LW,53,4,4,8,-3,21,4,0,0,0,4,0,0,50,8,498,9:24,-0.1,0.4,0.3,26,77,191,180,51.5
20,Ian Cole,28,D,13,2,4,6,11,12,2,0,0,0,4,0,0,13,15.4,237,18:16,0.5,1.4,1.9,19,14,0,0,
21,Tyler Motte,22,LW,31,3,2,5,-3,2,3,0,0,0,2,0,0,42,7.1,308,9:56,0,0.2,0.2,14,46,5,9,35.7
22,Markus Hannikainen,24,LW,29,2,2,4,-1,6,2,0,0,0,2,0,0,26,7.7,231,7:58,0,0.2,0.2,14,31,3,1,75
23,Scott Harrington,24,D,31,2,2,4,0,8,2,0,0,1,2,0,0,27,7.4,407,13:08,0.1,0.9,1,42,31,0,0,
24,Dean Kukan,24,D,10,0,4,4,3,2,0,0,0,0,4,0,0,10,0,119,11:57,0.3,0.5,0.8,9,2,0,0,
25,Mark Letestu,32,C,13,1,1,2,-1,0,1,0,0,0,1,0,0,10,10,155,11:55,-0.1,0.1,0,6,10,69,61,53.1
26,Jordan Schroeder,27,LW,21,1,1,2,-4,4,1,0,0,0,1,0,0,20,5,157,7:29,-0.1,0,-0.1,2,14,39,24,61.9
27,Sergei Bobrovsky,29,G,60,0,2,2,0,0,0,0,0,0,2,0,0,0,,3609,60:09:00,0,0,12.1,0,0,0,0,
28,Gabriel Carlsson,21,D,14,0,2,2,0,4,0,0,0,0,2,0,0,18,0,159,11:20,0,0.3,0.4,10,10,0,0,
29,Jussi Jokinen,34,LW,14,0,1,1,-2,4,0,0,0,0,0,1,0,13,0,140,10:01,-0.3,0.1,-0.2,3,5,24,27,47.1
30,Zac Dalpe,28,C,12,0,0,0,-3,13,0,0,0,0,0,0,0,18,0,89,7:27,-0.3,0,-0.3,4,6,7,17,29.2
31,Nathan Gerbe,30,LW,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,17,8:36,0,0,-0.1,0,4,0,0,
32,Joonas Korpisalo,23,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,929,58:03:00,0,0,2.2,0,0,0,0,
,Team Total,,,75,208,340,548,73,487,173,32,3,36,274,63,3,2540,8.2,,,30.2,38.7,83.2,1127,1608,2174,2337,48.2
