,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Tyler Seguin,26,C,74,39,31,70,8,37,24,14,1,6,21,10,0,304,12.8,1535,20:45,7.1,2.3,9.3,38,71,726,589,55.2
2,Jamie Benn,28,LW,74,27,41,68,16,50,18,9,0,5,27,13,1,222,12.2,1464,19:47,5.8,2.5,8.3,60,125,358,315,53.2
3,Alexander Radulov,31,RW,74,26,39,65,-1,66,19,7,0,3,24,15,0,185,14.1,1472,19:54,5.4,1.9,7.2,61,76,6,4,60
4,John Klingberg,25,D,74,7,54,61,6,20,6,1,0,2,32,22,0,187,3.7,1772,23:57,4.9,4.5,9.4,101,43,0,0,
5,Mattias Janmark,25,C,73,18,15,33,-11,20,13,4,1,4,14,1,0,123,14.6,1249,17:07,1.8,1.2,3,35,13,69,105,39.7
6,Radek Faksa,24,C,71,14,16,30,23,36,13,0,1,3,16,0,0,107,13.1,1070,15:04,1.6,2.3,3.9,47,89,494,450,52.3
7,Devin Shore,23,C,74,9,19,28,-30,14,6,2,1,1,10,9,0,112,8,1158,15:39,0.6,0.3,0.9,55,55,56,72,43.8
8,Tyler Pitlick,26,C,72,14,11,25,11,32,14,0,0,2,11,0,0,117,12,978,13:35,1.3,1.7,3,55,110,13,32,28.9
9,Jason Spezza,34,C,72,7,18,25,-13,12,3,4,0,3,11,7,0,129,5.4,941,13:04,0.7,0.7,1.4,25,15,381,302,55.8
10,Esa Lindell,23,D,72,6,19,25,17,22,4,2,0,0,13,6,0,122,4.9,1592,22:07,1.3,5,6.2,107,84,0,0,
11,Dan Hamhuis,35,D,72,3,19,22,-2,33,3,0,0,1,17,2,0,63,4.8,1472,20:26,0.8,3.2,4,104,76,0,1,0
12,Antoine Roussel,28,LW,65,5,11,16,2,122,5,0,0,0,11,0,0,79,6.3,798,12:17,0,1.1,1.1,34,90,19,13,59.4
13,Stephen Johns,25,D,71,8,6,14,10,37,8,0,0,2,6,0,0,114,7,1260,17:45,0.7,3.7,4.4,153,189,0,0,
14,Remi Elie,22,LW,66,6,8,14,5,16,6,0,0,1,8,0,0,61,9.8,680,10:19,0.2,1.1,1.2,19,92,4,8,33.3
15,Brett Ritchie,24,RW,63,6,7,13,4,38,5,1,0,0,6,1,0,110,5.5,676,10:43,0.1,1,1.1,8,160,0,1,0
16,Greg Pateryn,27,D,65,1,11,12,4,50,1,0,0,0,11,0,0,91,1.1,1284,19:45,-0.2,3.2,3,127,143,0,0,
17,Martin Hanzal,30,C,38,5,5,10,-14,23,3,2,0,1,4,1,0,62,8.1,536,14:07,0.1,0.1,0.2,21,66,239,195,55.1
18,Gemel Smith,23,C,41,5,5,10,5,15,5,0,0,0,5,0,0,36,13.9,380,9:17,0.5,0.7,1.2,13,26,42,51,45.2
19,Julius Honka,22,D,37,1,3,4,-1,14,1,0,0,0,2,1,0,38,2.6,483,13:03,-0.1,1,0.9,23,17,0,0,
20,Jamie Oleksiak,25,D,21,1,2,3,-6,18,1,0,0,0,2,0,0,17,5.9,315,15:00,0,0.3,0.3,23,36,0,0,
21,Ben Bishop,31,G,53,0,1,1,0,4,0,0,0,0,0,1,0,0,,2887,54:28:00,0,0,8.6,0,0,0,0,
22,Jason Dickinson,22,C,24,0,1,1,-3,17,0,0,0,0,1,0,0,15,0,213,8:52,-0.5,0.2,-0.3,5,43,63,68,48.1
23,Dillon Heatherington,22,D,5,0,1,1,3,26,0,0,0,0,1,0,0,5,0,59,11:47,0,0.4,0.4,0,7,0,0,
24,Curtis McKenzie,26,LW,5,0,1,1,2,9,0,0,0,0,1,0,0,9,0,39,7:50,0,0.1,0.1,1,5,0,1,0
25,Marc Methot,32,D,28,0,1,1,3,27,0,0,0,0,1,0,0,20,0,499,17:49,-0.5,1.4,0.9,41,62,0,0,
26,Adam Cracknell,32,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,8:35,0,0,0,0,2,1,1,50
27,Kari Lehtonen,34,G,30,0,0,0,0,2,0,0,0,0,0,0,0,0,,1573,52:26:00,0,0,4.1,0,0,0,0,
,Team Total,,,74,208,345,553,38,760,158,46,4,34,255,89,1,2330,8.9,,,31.4,39.7,83.8,1156,1695,2471,2208,52.8
