,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Dylan Larkin,21,C,74,11,42,53,-12,57,8,1,2,3,34,7,1,208,5.3,1466,19:49,2.5,1.4,4,38,71,585,586,50
2,Henrik Zetterberg,37,LW,74,10,37,47,-2,12,9,1,0,2,23,14,0,155,6.5,1456,19:40,1.8,1.8,3.6,32,46,595,652,47.7
3,Anthony Mantha,23,RW,72,23,19,42,-6,50,14,9,0,2,16,3,0,173,13.3,1243,17:16,3.2,1.4,4.6,28,89,17,33,34
4,Gustav Nyquist,28,RW,74,19,15,34,-5,18,17,2,0,2,10,5,0,190,10,1336,18:03,1.7,1.6,3.3,34,64,5,6,45.5
5,Mike Green,32,D,66,8,25,33,-14,38,7,1,0,0,13,12,0,132,6.1,1457,22:05,2.4,2.6,5,74,78,0,0,
6,Justin Abdelkader,30,LW,67,12,20,32,-10,74,9,3,0,0,16,4,0,98,12.2,1119,16:42,1.4,1.1,2.5,38,164,44,45,49.4
7,Andreas Athanasiou,23,LW,63,14,17,31,-14,12,13,1,0,1,15,2,0,149,9.4,976,15:29,1.9,0.7,2.6,25,22,93,136,40.6
8,Frans Nielsen,33,C,71,14,15,29,0,14,9,3,2,3,12,3,0,118,11.9,1124,15:50,1.3,1.5,2.8,59,44,433,501,46.4
9,Tomas Tatar,27,LW,62,16,12,28,-8,24,8,8,0,3,9,3,0,140,11.4,1038,16:44,1.6,1,2.7,24,45,1,8,11.1
10,Darren Helm,31,LW,67,9,16,25,0,30,8,0,1,0,14,0,2,125,7.2,1047,15:38,0.6,1.4,1.9,33,131,44,53,45.4
11,Martin Frk,24,RW,60,11,12,23,-12,12,6,5,0,0,9,3,0,87,12.6,611,10:11,1.8,0.3,2.1,8,71,0,1,0
12,Niklas Kronwall,37,D,71,3,17,20,-17,34,1,2,0,0,6,11,0,65,4.6,1314,18:30,0.7,2,2.7,93,71,0,0,
13,Tyler Bertuzzi,22,LW,40,2,16,18,-11,25,2,0,0,1,15,1,0,62,3.2,563,14:05,0.5,0.3,0.8,32,45,1,7,12.5
14,Luke Glendening,28,RW,62,9,8,17,-13,17,6,1,2,1,7,0,1,80,11.3,827,13:20,0.4,0.6,0.9,78,126,358,250,58.9
15,Trevor Daley,34,D,69,9,6,15,-4,28,8,0,1,4,4,0,2,100,9,1429,20:43,0.7,3.3,4,114,22,0,0,
16,Nick Jensen,27,D,73,0,13,13,-11,23,0,0,0,0,12,1,0,97,0,1160,15:54,-0.1,2.1,2,77,60,0,0,
17,Jonathan Ericsson,33,D,73,3,9,12,-3,45,3,0,0,0,8,0,1,79,3.8,1408,19:17,-0.2,3.3,3.1,69,118,0,0,
18,Danny DeKeyser,27,D,57,5,4,9,-4,22,5,0,0,0,4,0,0,59,8.5,1148,20:08,0,2.6,2.6,104,67,0,0,
19,David Booth,33,LW,26,4,1,5,-2,10,4,0,0,0,0,1,0,31,12.9,172,6:38,0.4,0.1,0.6,5,19,4,6,40
20,Xavier Ouellet,24,D,42,0,5,5,-3,6,0,0,0,0,5,0,0,53,0,574,13:39,-0.2,1.2,1,41,31,0,0,
21,Luke Witkowski,27,RW,29,1,1,2,-1,68,1,0,0,0,1,0,0,15,6.7,191,6:36,-0.2,0.2,0,11,54,1,1,50
22,Evgeny Svechnikov,21,RW,8,1,0,1,-4,4,1,0,0,0,0,0,0,10,10,63,7:53,0,-0.1,0,2,9,0,2,0
23,Jimmy Howard,33,G,55,0,1,1,0,10,0,0,0,0,0,0,1,0,,3067,55:46:00,0,0,8.4,0,0,0,0,
24,Jared Coreau,26,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,201,50:20:00,0,0,-0.1,,0,,,
25,Joe Hicketts,21,D,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,15,15:13,0,0.1,0.1,3,1,0,0,
26,Brian Lashoff,27,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:02,0,0,0,,0,,,
27,Petr Mrazek,25,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,1184,53:48:00,0,0,3.3,0,0,0,0,
28,Riley Sheahan,26,C,8,0,0,0,0,4,0,0,0,0,0,0,0,5,0,72,9:03,-0.2,0.1,-0.1,4,6,8,11,42.1
29,Dominic Turgeon,21,C,5,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,46,9:14,-0.1,0,-0.1,8,3,7,14,33.3
30,Scott Wilson,25,LW,17,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,127,7:28,-0.4,0.1,-0.2,5,22,3,1,75
,Team Total,,,74,184,311,495,-158,639,139,37,8,22,233,70,8,2244,8.2,,,21.7,30.7,64.2,1039,1479,2199,2313,48.7
