,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Connor McDavid,21,C,74,36,58,94,22,26,31,5,0,6,44,11,3,249,14.5,1597,21:35,9,2.4,11.4,41,25,344,485,41.5
2,Leon Draisaitl,22,C,70,23,43,66,5,28,15,5,3,1,39,3,1,174,13.2,1351,19:18,5.5,1.5,6.9,23,36,597,482,55.3
3,Ryan Nugent-Hopkins,24,C,56,21,21,42,6,20,15,4,2,2,17,4,0,141,14.9,1004,17:56,3.7,1.2,4.9,35,41,358,379,48.6
4,Milan Lucic,29,LW,74,10,24,34,-11,69,7,3,0,1,20,4,0,139,7.2,1199,16:12,1.2,0.7,1.9,24,227,28,20,58.3
5,Ryan Strome,24,RW,74,13,20,33,-1,29,11,2,0,3,15,4,1,137,9.5,1121,15:09,1.6,1,2.7,15,39,259,313,45.3
6,Patrick Maroon,29,LW,57,14,16,30,5,60,14,0,0,3,13,3,0,121,11.6,973,17:04,1.8,1.1,3,13,119,9,10,47.4
7,Darnell Nurse,22,D,74,6,19,25,17,63,6,0,0,2,19,0,0,176,3.4,1630,22:02,1.2,4.2,5.4,134,143,0,0,
8,Oscar Klefbom,24,D,66,5,16,21,-12,18,3,1,1,1,11,5,0,203,2.5,1508,22:51,0.8,1.7,2.6,136,49,0,0,
9,Kris Russell,30,D,70,4,17,21,-3,8,4,0,0,0,15,2,0,82,4.9,1328,18:58,0.9,2.1,3.1,211,92,0,0,
10,Jesse Puljujarvi,19,RW,57,12,8,20,1,10,10,2,0,2,8,0,0,123,9.8,766,13:26,1.2,0.8,1.9,20,64,0,3,0
11,Jujhar Khaira,23,LW,61,11,9,20,-3,43,10,0,1,2,7,1,1,67,16.4,776,12:43,1,0.6,1.7,38,115,148,182,44.8
12,Mike Cammalleri,35,LW,47,2,18,20,-3,14,2,0,0,0,17,1,0,90,2.2,667,14:11,0.4,0.5,0.9,24,33,38,31,55.1
13,Mark Letestu,32,C,60,8,11,19,-17,10,3,3,2,1,7,3,1,95,8.4,785,13:05,0.6,0.1,0.7,25,47,347,302,53.5
14,Drake Caggiula,23,LW,59,12,6,18,-7,24,9,2,1,1,6,0,0,92,13,793,13:26,0.9,0.5,1.4,30,136,10,38,20.8
15,Matt Benning,23,D,67,5,13,18,7,47,5,0,0,2,11,2,0,102,4.9,1177,17:34,0.9,2.6,3.6,74,132,0,0,
16,Zack Kassian,27,RW,68,7,10,17,-6,90,7,0,0,0,7,1,2,83,8.4,788,11:36,0.3,0.5,0.8,9,126,5,17,22.7
17,Adam Larsson,25,D,55,4,7,11,13,34,4,0,0,1,7,0,0,75,5.3,1195,21:43,0.1,3.1,3.2,127,215,0,0,
18,Anton Slepyshev,23,LW,43,5,5,10,-6,6,5,0,0,0,5,0,0,62,8.1,515,11:58,0.1,0.3,0.4,16,55,1,5,16.7
19,Yohann Auvitu,28,D,30,3,6,9,7,8,3,0,0,0,6,0,0,65,4.6,408,13:35,0.7,1.3,2,24,17,0,0,
20,Pontus Aberg,24,LW,10,1,6,7,6,2,1,0,0,1,5,1,0,20,5,150,15:02,0.4,0.4,0.8,1,6,0,2,0
21,Ty Rattie,24,RW,6,3,2,5,6,2,3,0,0,0,2,0,0,16,18.8,86,14:22,0.6,0.3,0.9,0,4,0,0,
22,Brandon Davidson,26,D,23,3,1,4,-2,10,3,0,0,0,0,0,1,28,10.7,399,17:21,0.2,0.6,0.8,47,53,0,0,
23,Andrej Sekera,31,D,30,0,4,4,-14,6,0,0,0,0,3,1,0,26,0,479,15:58,-0.2,-0.2,-0.4,37,25,0,0,
24,Iiro Pakarinen,26,RW,37,2,1,3,3,6,2,0,0,0,1,0,0,45,4.4,381,10:19,-0.6,0.5,-0.1,14,68,1,5,16.7
25,Kailer Yamamoto,19,RW,9,0,3,3,-2,2,0,0,0,0,2,1,0,23,0,136,15:10,-0.1,0.1,0,3,6,0,1,0
26,Ethan Bear,20,D,11,0,2,2,-5,6,0,0,0,0,1,1,0,10,0,197,17:57,0,0,-0.1,11,8,0,0,
27,Eric Gryba,29,D,21,0,2,2,4,31,0,0,0,0,2,0,0,19,0,309,14:44,-0.2,0.9,0.7,19,57,0,0,
28,Laurent Brossoit,24,G,13,0,1,1,0,0,0,0,0,0,1,0,0,0,,707,54:24:00,0,0,0.9,0,0,0,0,
29,Jussi Jokinen,34,LW,14,0,1,1,-3,2,0,0,0,0,0,1,0,22,0,172,12:19,-0.4,0,-0.3,11,8,15,14,51.7
30,Al Montoya,32,G,8,0,1,1,0,0,0,0,0,0,1,0,0,0,,426,53:15:00,0,0,1,0,0,0,0,
31,Cam Talbot,30,G,59,0,1,1,0,8,0,0,0,0,1,0,0,0,,3324,56:21:00,0,0,9.4,0,0,0,0,
32,Brad Malone,28,C,7,0,0,0,0,6,0,0,0,0,0,0,0,9,0,56,7:59,-0.2,0.1,-0.1,3,19,21,10,67.7
33,Nathan Walker,23,LW,2,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,21,10:20,-0.1,0,-0.1,1,5,0,0,
,Team Total,,,74,210,352,562,6,690,173,27,10,29,293,49,10,2496,8.4,,,31.7,28.9,71.8,1166,1970,2181,2299,48.7
