,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Aleksander Barkov,22,C,71,26,47,73,5,14,16,5,5,3,37,10,0,231,11.3,1576,22:12,5.7,1.9,7.6,58,27,842,705,54.4
2,Vincent Trocheck,24,C,72,28,38,66,-9,50,12,13,3,4,26,11,1,248,11.3,1539,21:23,5.3,1.3,6.6,49,128,723,628,53.5
3,Jonathan Huberdeau,24,LW,72,23,41,64,-1,28,17,6,0,4,29,12,0,173,13.3,1386,19:15,5,1.5,6.5,32,31,19,20,48.7
4,Evgeni Dadonov,28,RW,64,23,33,56,3,8,18,5,0,6,26,7,0,161,14.3,1204,18:49,4.7,1.4,6.1,28,19,0,0,
5,Keith Yandle,31,D,72,7,42,49,0,33,6,1,0,0,24,16,2,158,4.4,1766,24:32:00,3.6,3.7,7.2,84,25,0,0,
6,Nick Bjugstad,25,C,72,17,28,45,4,35,17,0,0,1,22,6,0,203,8.4,1089,15:07,3.3,1.3,4.6,15,78,141,128,52.4
7,Aaron Ekblad,21,D,72,15,17,32,2,69,11,4,0,4,13,4,0,175,8.6,1687,23:26,2.7,3.7,6.4,110,56,0,0,
8,Mike Matheson,23,D,71,10,16,26,2,59,9,1,0,2,12,3,1,145,6.9,1513,21:18,1.8,3.3,5.1,115,46,0,0,
9,Jared McCann,21,C,59,8,15,23,7,30,7,1,0,3,14,0,1,129,6.2,780,13:13,1,1.1,2.1,26,38,196,300,39.5
10,Jamie McGinn,29,LW,66,11,11,22,-6,31,8,3,0,0,11,0,0,101,10.9,868,13:09,1,0.7,1.7,18,111,7,13,35
11,Denis Malgin,21,C,45,10,8,18,2,4,9,1,0,2,3,5,0,73,13.7,624,13:52,1.1,0.7,1.9,22,42,34,57,37.4
12,Colton Sceviour,28,RW,66,9,9,18,1,22,8,0,1,1,7,0,2,115,7.8,872,13:13,0.3,1,1.3,60,77,68,70,49.3
13,Radim Vrbata,36,RW,41,5,9,14,-6,14,3,2,0,0,7,2,0,85,5.9,531,12:57,0.5,0.3,0.8,15,15,7,13,35
14,Derek MacKenzie,36,C,67,3,11,14,-7,31,2,0,1,0,8,0,3,82,3.7,764,11:25,-0.4,0.5,0.1,39,109,280,254,52.4
15,Mark Pysyk,26,D,72,3,11,14,-5,20,3,0,0,0,11,0,0,96,3.1,1358,18:51,0.1,2.4,2.5,110,90,0,0,
16,Connor Brickley,25,LW,43,4,8,12,-6,19,4,0,0,2,8,0,0,62,6.5,515,11:58,0.2,0.3,0.5,27,81,3,13,18.8
17,Alexander Petrovic,25,D,58,1,10,11,-3,98,1,0,0,0,10,0,0,53,1.9,842,14:31,0.2,1.5,1.7,67,124,0,0,
18,Micheal Haley,31,LW,69,3,6,9,-11,203,3,0,0,1,6,0,0,50,6,528,7:39,-0.2,0.1,-0.1,22,113,15,15,50
19,MacKenzie Weegar,24,D,50,1,5,6,2,16,1,0,0,0,5,0,0,47,2.1,720,14:24,-0.2,1.6,1.5,51,86,0,0,
20,Ian McCoshen,22,D,37,3,1,4,-10,25,3,0,0,1,1,0,0,26,11.5,562,15:11,0,0.4,0.4,43,70,0,0,
21,Frank Vatrano,23,C,7,3,1,4,3,10,3,0,0,0,1,0,0,21,14.3,97,13:55,0.4,0.2,0.7,4,7,2,1,66.7
22,Maxim Mamin,23,LW,18,2,0,2,3,7,2,0,0,0,0,0,0,16,12.5,191,10:35,-0.1,0.3,0.2,8,36,0,1,0
23,Roberto Luongo,38,G,29,0,2,2,0,0,0,0,0,0,0,2,0,0,,1696,58:29:00,0,0,7.1,0,0,0,0,
24,Owen Tippett,18,RW,7,1,0,1,-6,0,1,0,0,0,0,0,0,17,5.9,78,11:07,0,-0.2,-0.2,4,3,0,2,0
25,Henrik Haapala,23,LW,5,0,1,1,0,0,0,0,0,0,1,0,0,3,0,69,13:42,-0.1,0.1,0,3,5,0,0,
26,Dryden Hunt,22,LW,11,0,1,1,-5,2,0,0,0,0,1,0,0,12,0,116,10:34,-0.2,-0.1,-0.3,4,22,1,3,25
27,Chase Balisy,25,C,8,0,0,0,-2,0,0,0,0,0,0,0,0,6,0,79,9:49,-0.2,0,-0.2,2,4,11,19,36.7
28,Antti Niemi,34,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,59,29:21:00,0,0,0,0,0,0,0,
29,James Reimer,29,G,38,0,0,0,0,4,0,0,0,0,0,0,0,0,,2078,54:42:00,0,0,6.4,0,0,0,0,
30,Harri Sateri,28,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,493,54:44:00,0,0,1.5,0,0,0,0,
31,Curtis Valk,24,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3:25,0,0,0,0,1,0,3,0
,Team Total,,,72,216,371,587,-43,832,164,42,10,34,283,78,10,2488,8.7,,,35.5,29.3,79.8,1016,1444,2349,2245,51.1
