,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Eric Staal,33,C,73,39,32,71,11,36,26,11,2,4,26,5,1,208,18.8,1305,17:53,7.6,1.7,9.4,46,38,498,477,51.1
2,Mikael Granlund,25,RW,68,19,39,58,7,18,12,7,0,2,27,11,1,176,10.8,1279,18:48,4.3,1.5,5.9,39,44,63,53,54.3
3,Jason Zucker,26,LW,73,29,28,57,12,42,22,6,1,6,20,7,1,194,14.9,1244,17:03,5.3,1.7,7,41,70,4,13,23.5
4,Ryan Suter,33,D,73,6,43,49,-1,34,5,1,0,2,22,21,0,144,4.2,1958,26:49:00,3.2,3.7,7,127,74,0,0,
5,Mathew Dumba,23,D,73,11,30,41,13,41,11,0,0,4,20,9,1,153,7.2,1714,23:28,3.2,4.4,7.6,99,122,2,0,100
6,Mikko Koivu,34,C,73,13,27,40,4,42,10,3,0,2,16,11,0,151,8.6,1346,18:27,1.7,1.5,3.2,52,47,724,677,51.7
7,Jared Spurgeon,28,D,61,9,28,37,-6,8,6,3,0,2,18,10,0,110,8.2,1497,24:33:00,2.9,2.5,5.3,127,64,0,1,0
8,Charlie Coyle,25,C,57,11,24,35,6,12,10,0,1,1,21,3,0,107,10.3,958,16:48,2,1.2,3.2,58,70,221,197,52.9
9,Nino Niederreiter,25,RW,54,17,12,29,15,36,10,7,0,3,11,1,0,121,14,811,15:01,2.5,1.4,3.8,18,50,13,12,52
10,Marcus Foligno,26,LW,68,8,14,22,5,66,7,1,0,2,13,1,0,73,11,744,10:57,1,0.9,1.9,37,164,9,10,47.4
11,Matt Cullen,41,C,71,10,11,21,-3,20,10,0,0,1,10,1,0,95,10.5,847,11:56,0.8,0.7,1.5,38,13,324,318,50.5
12,Tyler Ennis,28,LW,69,8,12,20,-2,10,6,2,0,3,11,1,0,109,7.3,829,12:01,0.6,0.7,1.3,29,50,3,9,25
13,Daniel Winnik,32,LW,72,6,14,20,7,23,6,0,0,0,13,1,0,76,7.9,989,13:44,-0.1,1.2,1.1,46,25,87,105,45.3
14,Jonas Brodin,24,D,64,5,12,17,24,26,5,0,0,1,11,1,0,63,7.9,1366,21:20,0.6,4.5,5.1,125,29,0,0,
15,Zach Parise,33,LW,34,9,7,16,-5,12,8,1,0,2,6,1,0,103,8.7,579,17:02,0.9,0.4,1.3,29,18,4,7,36.4
16,Joel Eriksson Ek,21,LW,66,4,10,14,4,22,4,0,0,0,10,0,0,106,3.8,848,12:51,-0.5,1,0.5,43,120,161,228,41.4
17,Chris Stewart,30,RW,47,9,4,13,-1,27,8,1,0,1,4,0,0,59,15.3,504,10:43,0.8,0.5,1.3,14,37,2,4,33.3
18,Mike Reilly,24,D,38,2,8,10,-6,18,2,0,0,0,4,4,0,36,5.6,469,12:21,0.6,0.4,1.1,18,24,0,0,
19,Nate Prosser,31,D,47,2,6,8,8,17,2,0,0,1,6,0,0,21,9.5,617,13:07,0.3,1.8,2.1,65,46,0,0,
20,Gustav Olofsson,23,D,40,0,8,8,1,14,0,0,0,0,8,0,0,22,0,519,12:59,0.2,1.1,1.3,43,23,0,0,
21,Zack Mitchell,25,RW,22,3,2,5,-2,4,2,1,0,1,2,0,0,17,17.6,233,10:36,0.2,0.2,0.3,10,25,15,16,48.4
22,Luke Kunin,20,C,19,2,2,4,-3,13,1,0,1,0,2,0,0,32,6.3,247,12:59,-0.1,0.1,0.1,8,34,24,30,44.4
23,Ryan Murphy,24,D,12,1,2,3,6,6,0,1,0,0,2,0,0,15,6.7,222,18:30,0.1,0.9,1,13,4,0,0,
24,Devan Dubnyk,31,G,53,0,3,3,0,6,0,0,0,0,3,0,0,0,,3027,57:07:00,0,0,9.3,0,0,0,0,
25,Kyle Quincey,32,D,18,0,3,3,-4,28,0,0,0,0,3,0,0,11,0,257,14:17,0,0.2,0.2,18,21,0,0,
26,Nick Seeler,24,D,14,0,2,2,6,11,0,0,0,0,2,0,0,11,0,191,13:39,0,0.8,0.8,17,10,0,0,
27,Landon Ferraro,26,C,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,9,4:25,0.2,0,0.2,0,1,0,0,
28,Kyle Rau,25,C,3,0,1,1,0,0,0,0,0,0,1,0,0,4,0,33,11:02,0,0,0,0,7,0,0,
29,Christoph Bertschy,23,C,1,0,0,0,1,4,0,0,0,0,0,0,0,0,,5,5:23,0,0,0,0,0,0,0,
30,Justin Kloos,24,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,9,8:39,0,0,0,0,0,0,0,
31,Cal O'Reilly,31,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8:16,0,0,0,1,0,2,3,40
32,Alex Stalock,30,G,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1375,52:53:00,0,0,4.1,0,0,0,0,
,Team Total,,,73,224,384,608,98,598,174,45,5,38,292,88,4,2224,10.1,,,38.3,35.2,86.8,1161,1230,2156,2160,50
