,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Brendan Gallagher,25,RW,74,26,19,45,-12,34,18,7,1,3,12,7,0,250,10.4,1174,15:52,4.3,1,5.3,36,84,74,75,49.7
2,Alex Galchenyuk,23,LW,74,16,28,44,-29,20,9,7,0,2,15,13,0,193,8.3,1190,16:05,3.1,0.4,3.4,33,28,39,52,42.9
3,Jonathan Drouin,22,LW,69,12,26,38,-27,26,9,3,0,4,11,15,0,145,8.3,1205,17:28,1.9,0.5,2.4,27,55,399,530,42.9
4,Max Pacioretty,29,LW,64,17,20,37,-16,30,10,6,1,4,11,9,0,212,8,1217,19:01,2.3,0.9,3.3,27,118,7,13,35
5,Jeff Petry,30,D,74,10,25,35,-32,28,5,5,0,2,12,13,0,160,6.3,1743,23:34,2.6,1.7,4.3,130,157,0,1,0
6,Paul Byron,28,LW,74,17,14,31,-5,23,15,1,1,1,11,2,1,98,17.3,1173,15:51,1.8,1.3,3.1,51,121,40,67,37.4
7,Charles Hudon,23,LW,67,8,19,27,-9,26,5,3,0,1,13,5,1,168,4.8,939,14:01,1.1,0.9,1.9,37,115,85,126,40.3
8,Phillip Danault,24,LW,52,8,17,25,0,34,7,0,1,2,15,2,0,94,8.5,863,16:35,1.1,1.1,2.2,38,59,380,340,52.8
9,Tomas Plekanec,35,C,60,6,18,24,3,39,6,0,0,1,18,0,0,125,4.8,978,16:18,0.5,1.4,1.8,37,38,564,508,52.6
10,Andrew Shaw,26,RW,51,10,10,20,-8,53,5,5,0,0,8,2,0,94,10.6,806,15:49,0.9,0.7,1.7,26,80,177,149,54.3
11,Artturi Lehkonen,22,LW,58,9,8,17,-11,14,5,3,1,1,8,0,0,149,6,949,16:22,0.1,0.8,0.9,19,64,11,18,37.9
12,Shea Weber,32,D,26,6,10,16,-8,14,4,2,0,1,6,3,1,75,8,659,25:21:00,1.5,0.9,2.5,59,66,0,0,
13,Jordie Benn,30,D,71,4,10,14,-1,30,4,0,0,0,10,0,0,96,4.2,1345,18:56,0.2,3.1,3.4,142,85,0,0,
14,Daniel Carr,26,LW,31,4,10,14,0,6,3,1,0,0,9,1,0,47,8.5,378,12:11,0.9,0.5,1.3,11,30,3,11,21.4
15,Nicolas Deslauriers,26,LW,50,8,4,12,6,49,8,0,0,1,3,0,1,67,11.9,579,11:34,0.5,1,1.5,27,218,3,2,60
16,Joseph Morrow,25,D,38,5,6,11,-11,26,4,1,0,0,2,4,0,58,8.6,676,17:47,0.9,0.8,1.6,50,63,0,0,
17,Byron Froese,26,C,45,3,8,11,0,24,3,0,0,0,8,0,0,48,6.3,527,11:43,0,0.7,0.7,42,52,155,192,44.7
