,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Viktor Arvidsson,24,LW,71,27,29,56,18,34,21,3,3,6,24,5,0,226,11.9,1270,17:53,5.1,1.9,7.1,50,30,11,20,35.5
2,Filip Forsberg,23,LW,59,21,32,53,21,34,11,10,0,4,23,8,1,154,13.6,1037,17:35,4.8,1.8,6.7,34,80,3,5,37.5
3,P.K. Subban,28,D,73,15,37,52,18,74,11,4,0,2,19,17,1,187,8,1758,24:05:00,4.8,4.8,9.6,80,103,1,2,33.3
4,Roman Josi,27,D,66,10,37,47,21,20,4,6,0,3,24,12,1,222,4.5,1617,24:30:00,4,4.7,8.7,107,69,0,0,
5,Ryan Johansen,25,C,70,12,34,46,9,68,11,1,0,2,21,11,2,112,10.7,1301,18:36,2.4,1.6,4,25,83,722,576,55.6
6,Kevin Fiala,21,LW,71,23,22,45,16,18,19,4,0,4,13,9,0,171,13.5,1086,15:18,4.1,1.7,5.8,27,29,0,5,0
7,Craig Smith,28,RW,70,21,23,44,17,22,13,8,0,2,19,4,0,205,10.2,1083,15:28,3.8,1.7,5.5,30,54,36,49,42.4
8,Calle Jarnkrok,26,C,68,16,19,35,20,12,13,1,2,3,16,3,0,105,15.2,1080,15:53,2.3,1.8,4.1,31,36,266,253,51.3
9,Kyle Turris,28,C,56,10,24,34,19,20,6,4,0,0,14,10,0,103,9.7,900,16:05,2.1,1.6,3.7,24,16,304,321,48.6
10,Mattias Ekholm,27,D,72,10,21,31,21,42,4,5,1,1,14,7,0,123,8.1,1713,23:47,2.2,4.9,7.1,104,65,0,1,0
11,Colton Sissons,24,C,72,9,18,27,6,40,8,1,0,4,9,6,3,111,8.1,1159,16:06,0.5,1.4,1.9,42,118,477,377,55.9
12,Ryan Ellis,27,D,35,7,17,24,23,6,5,2,0,1,12,2,3,91,7.7,811,23:10,2.2,3.3,5.6,65,24,0,0,
13,Scott Hartnell,35,LW,56,13,10,23,1,65,11,2,0,2,8,2,0,79,16.5,686,12:15,1.8,0.7,2.6,25,73,3,12,20
14,Nick Bonino,29,C,62,10,12,22,7,16,10,0,0,0,12,0,0,77,13,957,15:26,0.7,1.2,1.9,67,17,457,391,53.9
15,Austin Watson,26,LW,70,12,4,16,1,99,8,0,4,3,3,0,1,84,14.3,860,12:17,0.5,0.9,1.4,74,174,26,16,61.9
16,Alexei Emelin,31,D,70,1,8,9,12,36,1,0,0,0,8,0,0,58,1.7,1203,17:11,-0.4,3.2,2.8,101,172,1,0,100
17,Pontus Aberg,24,LW,37,2,6,8,8,8,2,0,0,2,6,0,0,39,5.1,411,11:06,-0.1,0.7,0.6,7,16,4,6,40
18,Matt Irwin,30,D,43,2,6,8,5,6,2,0,0,0,6,0,0,55,3.6,582,13:32,0.3,1.5,1.8,47,71,0,0,
19,Miikka Salomaki,24,RW,51,2,6,8,-7,34,2,0,0,0,6,0,0,42,4.8,516,10:07,-0.4,0.2,-0.2,33,102,5,7,41.7
20,Ryan Hartman,23,RW,12,3,3,6,1,8,3,0,0,2,3,0,0,14,21.4,169,14:03,0.5,0.2,0.7,9,10,1,4,20
21,Yannick Weber,29,D,46,2,3,5,2,16,2,0,0,0,3,0,0,40,5,565,12:17,0,1.2,1.3,35,47,0,0,
22,Mike Fisher,37,C,8,2,1,3,1,6,2,0,0,1,1,0,0,8,25,96,11:58,0.3,0.1,0.4,6,13,54,36,60
23,Anthony Bitetto,27,D,28,1,2,3,-1,23,1,0,0,1,2,0,0,21,4.8,377,13:27,0,0.6,0.6,28,32,0,0,
24,Samuel Girard,19,D,5,1,2,3,-3,2,1,0,0,0,1,1,0,8,12.5,85,16:55,0.3,-0.1,0.2,6,3,0,0,
25,Frederick Gaudreau,24,C,20,0,3,3,0,2,0,0,0,0,3,0,0,14,0,183,9:10,-0.2,0.2,0,8,8,69,70,49.6
26,Cody McLeod,33,LW,23,1,1,2,0,72,1,0,0,0,1,0,0,11,9.1,157,6:49,-0.1,0.2,0,10,55,0,0,
27,Juuse Saros,22,G,20,0,2,2,0,0,0,0,0,0,1,1,0,0,,1215,60:45:00,0,0,4.5,0,0,0,0,
28,Pekka Rinne,35,G,54,0,1,1,0,6,0,0,0,0,1,0,0,1,0,3213,59:30:00,0,0,12.5,0,0,0,0,
,Team Total,,,73,233,383,616,236,789,172,51,10,43,273,98,12,2361,9.9,,,41.5,42.3,100.8,1075,1500,2440,2151,53.1
