,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Taylor Hall,26,LW,68,32,46,78,9,34,22,10,0,5,27,19,0,240,13.3,1303,19:10,8,1.9,9.9,42,71,65,74,46.8
2,Nico Hischier,19,C,73,16,30,46,9,20,15,1,0,2,25,5,0,161,9.9,1185,16:14,3.3,1.7,5,35,53,358,477,42.9
3,Kyle Palmieri,26,RW,54,20,16,36,-4,30,11,9,0,4,6,10,0,161,12.4,943,17:28,3.3,0.9,4.2,46,84,23,45,33.8
4,Jesper Bratt,19,LW,69,13,22,35,-13,18,8,4,1,2,13,8,1,92,14.1,1062,15:23,2.1,0.7,2.8,20,44,7,4,63.6
5,Will Butcher,23,D,72,2,33,35,1,6,2,0,0,0,17,16,0,78,2.6,1159,16:06,2.5,2.6,5.1,59,17,0,0,
6,Miles Wood,22,LW,69,17,12,29,-4,79,14,3,0,1,12,0,0,150,11.3,875,12:41,2.4,0.9,3.3,20,68,2,1,66.7
7,Sami Vatanen,26,D,49,3,24,27,-3,30,2,1,0,0,13,10,1,98,3.1,1104,22:32,1.8,2.2,4,68,61,0,0,
8,Brian Gibbons,29,LW,51,12,14,26,15,14,9,0,3,3,12,0,2,66,18.2,741,14:32,2,1.4,3.4,48,31,21,28,42.9
9,Stefan Noesen,24,RW,64,11,13,24,9,34,11,0,0,3,13,0,0,109,10.1,839,13:06,1.4,1.3,2.7,36,94,20,35,36.4
10,Brian Boyle,33,C,60,13,10,23,-6,43,8,5,0,2,8,2,0,109,11.9,819,13:39,1.5,0.7,2.2,24,110,374,358,51.1
11,Travis Zajac,32,C,55,11,11,22,-12,23,8,2,1,0,8,3,0,82,13.4,977,17:46,0.8,0.7,1.4,34,59,468,448,51.1
12,Damon Severson,23,D,70,9,13,22,-8,40,9,0,0,2,10,3,0,112,8,1375,19:38,1.6,2.4,4,61,94,0,0,
13,Blake Coleman,26,C,70,10,10,20,3,50,8,0,2,1,10,0,0,126,7.9,992,14:11,0.4,1.3,1.7,50,192,241,264,47.7
14,Pavel Zacha,20,C,60,6,13,19,-2,28,3,2,1,0,10,3,0,92,6.5,870,14:30,0.2,0.9,1.1,18,56,277,359,43.6
15,John Moore,27,D,72,7,10,17,4,39,6,0,1,2,8,2,0,116,6,1438,19:59,0.8,3.5,4.2,99,120,0,0,
16,Drew Stafford,32,RW,57,8,6,14,-20,8,4,4,0,1,5,1,0,98,8.2,793,13:55,0.1,0.1,0.2,14,74,41,38,51.9
17,Marcus Johansson,27,LW,29,5,9,14,-11,14,4,1,0,0,7,2,0,42,11.9,464,15:59,0.7,0.1,0.8,9,8,36,38,48.6
18,Adam Henrique,27,C,24,4,10,14,-6,6,2,2,0,0,5,3,2,49,8.2,438,18:15,0.7,0.3,1,14,17,161,181,47.1
19,Andy Greene,35,D,72,3,9,12,-8,19,3,0,0,0,9,0,0,81,3.7,1513,21:01,-0.3,2.7,2.4,173,72,0,0,
20,Steven Santini,22,D,36,2,8,10,0,21,2,0,0,0,7,0,1,56,3.6,730,20:16,0.4,1.6,2,73,113,0,1,0
21,Jimmy Hayes,28,RW,32,3,6,9,-1,4,2,1,0,2,6,0,0,37,8.1,383,11:59,0.2,0.4,0.6,6,50,6,9,40
22,Ben Lovejoy,33,D,52,2,6,8,6,23,2,0,0,0,5,0,1,64,3.1,866,16:39,0,2.4,2.4,78,79,0,0,
23,Patrick Maroon,29,LW,9,2,6,8,-2,9,1,1,0,1,3,3,0,11,18.2,136,15:05,0.7,0.1,0.8,0,19,0,1,0
24,Michael Grabner,30,RW,12,2,1,3,2,4,1,0,1,1,1,0,0,21,9.5,182,15:08,0,0.3,0.3,4,11,6,2,75
25,Keith Kinkaid,28,G,33,0,2,2,0,0,0,0,0,0,1,1,0,0,,1818,55:05:00,0,0,4.8,0,0,0,0,
26,Mirco Mueller,22,D,20,0,2,2,0,4,0,0,0,0,1,0,1,10,0,322,16:05,-0.2,0.7,0.5,31,13,0,0,
27,Nick Lappin,25,RW,6,1,0,1,2,4,1,0,0,0,0,0,0,7,14.3,59,9:46,0,0.1,0.2,2,8,0,0,
28,Ken Appleby,22,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,124,41:27:00,0,0,0.5,0,0,0,0,
29,Eddie Lack,30,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,207,51:51:00,0,0,0.5,0,0,0,0,
30,Blake Pietila,24,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,9:28,-0.1,0,0,0,5,0,0,
31,Dalton Prout,27,D,4,0,0,0,-2,13,0,0,0,0,0,0,0,5,0,56,13:59,-0.1,0,-0.1,3,7,0,0,
32,John Quenneville,21,C,2,0,0,0,-3,0,0,0,0,0,0,0,0,5,0,27,13:18,-0.1,-0.1,-0.2,0,4,0,1,0
33,Kevin Rooney,24,C,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,11:46,0,0,0,0,2,1,2,33.3
34,Cory Schneider,31,G,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,2272,58:16:00,0,0,6.3,0,0,0,0,
,Team Total,,,73,214,342,556,-45,617,158,46,10,32,242,91,9,2282,9.4,,,34,31.9,78,1067,1636,2107,2366,47.1
