,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,John Tavares,27,C,74,32,45,77,-8,24,20,10,2,2,27,17,1,229,14,1484,20:03,7,1,8,34,29,836,747,52.8
2,Mathew Barzal,20,C,74,20,56,76,1,26,15,5,0,3,37,19,0,160,12.5,1309,17:41,6.2,1.2,7.4,29,20,310,441,41.3
3,Josh Bailey,28,RW,70,18,51,69,-17,17,13,5,0,3,26,25,0,140,12.9,1262,18:02,5.4,0.4,5.8,32,12,11,39,22
4,Anders Lee,27,LW,74,38,20,58,-21,34,25,13,0,2,13,7,0,190,20,1282,17:19,6.3,0.3,6.6,37,93,9,4,69.2
5,Jordan Eberle,27,RW,73,25,29,54,6,19,22,3,0,7,23,6,0,172,14.5,1166,15:58,4.8,1.3,6.1,25,43,12,20,37.5
6,Nick Leddy,26,D,74,10,31,41,-38,18,6,4,0,1,21,10,0,144,6.9,1681,22:43,3.1,-0.2,2.9,100,90,0,0,
7,Brock Nelson,26,LW,74,17,13,30,-7,41,13,4,0,3,11,2,0,116,14.7,1079,14:35,1.8,0.7,2.5,45,40,341,365,48.3
8,Ryan Pulock,23,D,60,9,20,29,-7,14,5,4,0,0,14,6,0,157,5.7,1084,18:04,2.6,1.2,3.8,79,105,0,0,
9,Anthony Beauvillier,20,LW,63,16,12,28,1,12,14,2,0,1,8,4,0,105,15.2,904,14:21,2,0.8,2.8,22,71,66,86,43.4
10,Andrew Ladd,32,LW,65,10,14,24,8,24,9,0,1,1,12,1,1,99,10.1,1050,16:09,0.5,1.2,1.8,32,71,1,9,10
11,Thomas Hickey,28,D,61,4,16,20,15,20,4,0,0,0,16,0,0,81,4.9,1103,18:05,1.1,3,4.1,91,68,0,0,
12,Cal Clutterbuck,30,RW,68,8,9,17,-7,51,7,0,1,1,9,0,0,95,8.4,868,12:46,0.1,0.5,0.6,48,217,6,12,33.3
13,Casey Cizikas,26,C,63,7,10,17,-12,23,6,0,1,0,10,0,0,74,9.5,836,13:16,0.1,0.3,0.4,51,127,467,415,52.9
14,Johnny Boychuk,34,D,53,5,11,16,-2,24,4,1,0,3,11,0,0,129,3.9,1078,20:21,0.8,1.6,2.4,108,109,0,0,
15,Adam Pelech,23,D,70,3,12,15,3,28,3,0,0,1,10,1,1,95,3.2,1344,19:12,0.2,2.4,2.6,125,93,0,0,
16,Joshua Ho-Sang,22,RW,22,2,10,12,-7,2,2,0,0,0,9,1,0,18,11.1,314,14:17,0.6,0,0.6,1,3,2,3,40
17,Scott Mayfield,25,D,43,2,10,12,-8,41,2,0,0,0,10,0,0,50,4,779,18:06,0.5,0.6,1.1,67,68,0,0,
18,Calvin de Haan,26,D,33,1,11,12,11,8,1,0,0,0,11,0,0,44,2.3,619,18:45,0.6,1.9,2.4,65,45,0,0,
19,Jason Chimera,38,LW,58,2,9,11,-11,35,2,0,0,0,9,0,0,70,2.9,651,11:13,-0.5,0.1,-0.3,14,107,9,16,36
20,Ross Johnston,23,LW,17,3,3,6,0,58,3,0,0,0,3,0,0,15,20,150,8:48,0.5,0.1,0.6,8,32,1,2,33.3
21,Tanner Fritz,26,C,27,2,3,5,-3,8,2,0,0,0,3,0,0,24,8.3,323,11:58,-0.2,0.2,0,20,50,44,56,44
22,Dennis Seidenberg,36,D,24,0,5,5,-7,12,0,0,0,0,5,0,0,26,0,430,17:55,0,0.2,0.1,39,55,0,0,
23,Sebastian Aho,21,D,22,1,3,4,-5,6,0,1,0,0,3,0,0,24,4.2,357,16:15,0.1,0.2,0.3,13,10,0,1,0
24,Nikolai Kulemin,31,LW,13,1,2,3,0,0,1,0,0,0,2,0,0,7,14.3,155,11:56,0,0.1,0.1,15,16,4,6,40
25,Alan Quine,24,C,21,0,3,3,-2,4,0,0,0,0,3,0,0,15,0,246,11:44,-0.4,0.1,-0.2,9,32,40,63,38.8
26,Shane Prince,25,LW,12,1,1,2,-3,7,1,0,0,0,1,0,0,18,5.6,145,12:07,-0.1,0,-0.1,3,10,5,6,45.5
27,Brandon Davidson,26,D,8,1,0,1,-6,4,1,0,0,0,0,0,0,8,12.5,135,16:51,0,-0.2,-0.2,6,13,0,0,
28,Steve Bernier,32,RW,4,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,40,10:03,-0.1,0,-0.2,1,11,2,2,50
29,Michael Dal Colle,21,LW,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,13:21,-0.1,0,-0.1,1,1,0,0,
30,Christopher Gibson,25,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,310,51:44:00,0,0,1.2,0,0,0,0,
31,Thomas Greiss,32,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1312,54:41:00,0,0,2.5,0,0,0,0,
32,Jaroslav Halak,32,G,51,0,0,0,0,4,0,0,0,0,0,0,0,0,,2845,55:47:00,0,0,8,0,0,0,0,
33,Chris Wagner,26,RW,8,0,0,0,-6,0,0,0,0,0,0,0,0,5,0,90,11:16,-0.3,-0.2,-0.4,7,28,9,5,64.3
,Team Total,,,74,238,409,647,-134,564,181,52,5,28,307,99,3,2315,10.3,,,42.5,18.8,73.1,1127,1669,2175,2298,48.6
