,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Evgeni Malkin,31,C,70,41,50,91,17,69,27,14,0,7,29,21,0,212,19.3,1323,18:54,9.9,2.1,11.9,28,42,413,531,43.8
2,Phil Kessel,30,RW,74,29,53,82,0,36,19,10,0,5,26,27,0,241,12,1387,18:45,7.5,1.5,9,15,10,6,12,33.3
3,Sidney Crosby,30,C,74,24,55,79,-2,46,16,8,0,4,28,27,0,217,11.1,1531,20:42,6.3,1.6,7.9,35,65,909,820,52.6
4,Jake Guentzel,23,C,74,21,23,44,-11,40,14,7,0,1,18,5,0,159,13.2,1220,16:29,3.3,0.9,4.1,41,128,63,62,50.4
5,Kris Letang,30,D,71,6,38,44,-7,54,3,3,0,1,22,15,1,200,3,1799,25:21:00,2.9,3.2,6.1,99,97,0,1,0
6,Patric Hornqvist,31,RW,62,23,17,40,-3,48,10,13,0,1,11,6,0,219,10.5,1072,17:18,3.5,1,4.5,60,117,14,13,51.9
7,Bryan Rust,25,RW,61,12,25,37,8,20,8,2,2,2,22,2,1,111,10.8,972,15:56,2.3,1.4,3.7,37,88,8,23,25.8
8,Riley Sheahan,26,C,65,10,18,28,2,4,10,0,0,1,16,1,1,92,10.9,997,15:20,1.1,1.1,2.3,41,41,497,415,54.5
9,Carl Hagelin,29,LW,73,9,19,28,10,22,8,0,1,1,18,0,1,154,5.8,1166,15:58,0.5,1.6,2.2,33,101,19,26,42.2
10,Olli Maatta,23,D,74,7,20,27,2,28,7,0,0,3,13,7,0,149,4.7,1393,18:49,1.8,3.1,4.8,105,119,0,0,
11,Conor Sheary,25,LW,71,15,10,25,-4,8,13,2,0,4,9,1,0,123,12.2,998,14:03,1.3,0.9,2.2,28,25,4,5,44.4
12,Justin Schultz,27,D,55,4,16,20,18,14,4,0,0,1,9,7,0,90,4.4,1067,19:24,1.1,3.6,4.8,84,30,0,0,
13,Brian Dumoulin,26,D,72,4,10,14,-5,24,4,0,0,1,10,0,0,94,4.3,1484,20:36,0,2.7,2.7,121,91,0,0,
