,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Joe Pavelski,33,C,74,19,40,59,-1,37,13,6,0,1,25,15,0,197,9.6,1418,19:10,3.9,1.7,5.6,61,83,426,361,54.1
2,Brent Burns,32,D,74,11,48,59,-17,40,6,5,0,2,27,20,1,300,3.7,1870,25:16:00,4.7,3.2,7.9,121,74,0,0,
3,Logan Couture,28,C,70,31,25,56,5,14,21,8,2,4,13,11,1,185,16.8,1297,18:32,5.1,1.8,7,63,32,121,153,44.2
4,Tomas Hertl,24,C,71,20,23,43,2,41,13,6,1,5,16,5,2,160,12.5,1283,18:04,2.8,1.7,4.4,58,75,526,511,50.7
5,Kevin Labanc,22,RW,69,11,28,39,-4,26,7,4,0,3,16,12,0,142,7.7,989,14:20,2.3,1.1,3.4,22,28,5,10,33.3
6,Chris Tierney,23,C,74,17,20,37,1,8,12,3,2,2,15,4,1,107,15.9,1176,15:54,2.2,1.5,3.7,40,24,444,421,51.3
7,Joe Thornton,38,C,47,13,23,36,-9,38,6,7,0,1,12,11,0,75,17.3,862,18:21,2.5,0.7,3.3,18,32,229,211,52
8,Mikkel Boedker,28,LW,66,14,18,32,4,12,10,4,0,4,14,4,0,106,13.2,874,13:14,2.2,1.3,3.4,21,37,5,14,26.3
9,Timo Meier,21,RW,73,19,12,31,1,47,16,3,0,4,11,1,0,185,10.3,1075,14:44,2,1.4,3.4,44,96,68,69,49.6
10,Marc-Edouard Vlasic,30,D,73,10,21,31,7,14,9,1,0,2,18,2,1,150,6.7,1638,22:26,2.1,4.5,6.6,151,21,0,1,0
11,Joonas Donskoi,25,RW,62,13,17,30,6,26,12,1,0,1,13,4,0,125,10.4,927,14:57,1.7,1.4,3.1,27,22,5,7,41.7
12,Justin Braun,30,D,73,3,27,30,7,28,3,0,0,0,27,0,0,102,2.9,1554,21:17,1.4,4.3,5.7,132,132,0,0,
13,Brenden Dillon,27,D,73,3,15,18,0,53,3,0,0,0,15,0,0,80,3.8,1274,17:27,0.5,3.1,3.6,89,175,0,0,
14,Dylan DeMelo,24,D,55,0,18,18,6,34,0,0,0,0,15,3,0,59,0,782,14:13,0.8,2.3,3.2,55,67,0,0,
15,Melker Karlsson,27,C,65,8,9,17,-5,24,7,0,1,1,9,0,0,70,11.4,863,13:17,0.1,0.9,1,64,73,11,5,68.8
16,Barclay Goodrow,24,RW,44,7,5,12,0,26,6,0,1,1,5,0,0,55,12.7,488,11:06,0.6,0.6,1.2,29,65,147,103,58.8
17,Joakim Ryan,24,D,62,3,9,12,13,8,3,0,0,1,8,0,1,79,3.8,1039,16:45,0.2,3.5,3.7,98,33,0,0,
18,Joel Ward,37,RW,46,5,6,11,-1,20,5,0,0,2,6,0,0,35,14.3,550,11:57,0.1,0.6,0.7,25,29,92,109,45.8
19,Tim Heed,27,D,29,3,8,11,0,8,1,2,0,2,5,3,0,51,5.9,465,16:01,0.8,1.1,2,35,8,0,0,
20,Jannik Hansen,31,RW,41,1,10,11,3,15,1,0,0,1,9,0,1,51,2,508,12:23,-0.2,0.8,0.5,18,35,8,4,66.7
21,Evander Kane,26,LW,11,5,5,10,5,8,5,0,0,0,5,0,0,49,10.2,216,19:39,0.9,0.5,1.4,5,32,27,33,45
22,Marcus Sorensen,25,LW,26,4,1,5,-6,5,4,0,0,1,1,0,0,15,26.7,263,10:07,0.2,0.1,0.3,14,22,1,1,50
23,Eric Fehr,32,C,13,3,1,4,7,0,3,0,0,0,1,0,0,21,14.3,160,12:18,0.3,0.5,0.7,11,20,49,51,49
24,Daniel O'Regan,24,C,19,0,4,4,-3,2,0,0,0,0,3,1,0,17,0,190,9:59,-0.1,0.1,0,6,5,56,58,49.1
25,Paul Martin,36,D,6,0,2,2,-1,2,0,0,0,0,2,0,0,1,0,76,12:40,0.1,0.1,0.2,11,2,0,0,
26,Ryan Carpenter,27,C,16,0,1,1,1,2,0,0,0,0,1,0,0,20,0,182,11:24,-0.4,0.3,-0.1,5,24,82,79,50.9
27,Aaron Dell,28,G,27,0,1,1,0,0,0,0,0,0,1,0,0,0,,1443,53:26:00,0,0,4.2,0,0,0,0,
28,Martin Jones,28,G,53,0,0,0,0,2,0,0,0,0,0,0,0,0,,3015,56:54:00,0,0,9.1,0,0,0,0,
,Team Total,,,74,223,397,620,21,540,166,50,7,38,293,96,8,2437,9.2,,,36.8,39,89.1,1223,1246,2302,2201,51.1
