,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Nikita Kucherov,24,RW,72,37,58,95,18,40,30,7,0,7,31,27,0,261,14.2,1427,19:49,9.5,1.7,11.3,12,26,3,1,75
2,Steven Stamkos,27,C,74,27,59,86,23,53,12,15,0,1,41,18,0,205,13.2,1405,18:59,7.6,1.9,9.6,34,59,436,410,51.5
3,Brayden Point,21,C,74,28,33,61,22,22,20,5,3,10,26,5,2,197,14.2,1456,19:41,5,1.9,6.9,52,23,500,559,47.2
4,Yanni Gourde,26,C,74,24,34,58,31,48,16,7,1,5,27,6,1,124,19.4,1196,16:10,5.1,2.1,7.1,41,50,155,201,43.5
5,Victor Hedman,27,D,69,14,41,55,27,46,12,2,0,1,18,21,2,195,7.2,1785,25:52:00,4.9,4.5,9.3,100,123,1,1,50
6,Tyler Johnson,27,C,73,21,28,49,6,20,15,4,2,3,19,9,0,164,12.8,1242,17:00,3.7,1.1,4.8,45,41,336,341,49.6
7,Vladislav Namestnikov,25,C,62,20,24,44,11,35,12,8,0,2,17,7,0,127,15.7,1085,17:30,3.5,1.2,4.7,38,60,227,253,47.3
8,Alex Killorn,28,LW,74,14,28,42,16,39,12,2,0,1,22,6,0,136,10.3,1220,16:29,2.3,1.5,3.8,22,71,22,33,40
9,Mikhail Sergachev,19,D,72,9,28,37,12,36,6,3,0,5,16,12,0,127,7.1,1112,15:27,3.3,2.4,5.8,58,84,0,0,
10,Ondrej Palat,26,LW,48,8,23,31,16,4,4,3,1,0,18,5,0,96,8.3,828,17:15,1.7,1.2,2.9,44,68,4,19,17.4
11,Chris Kunitz,38,LW,74,12,13,25,6,31,11,0,1,2,13,0,0,76,15.8,888,12:00,1.3,0.9,2.2,27,113,7,12,36.8
12,Anton Stralman,31,D,72,4,13,17,25,18,4,0,0,0,13,0,0,113,3.5,1548,21:30,0.2,4,4.2,92,100,0,0,
13,Ryan Callahan,32,RW,63,4,11,15,-5,29,2,1,1,0,9,1,1,97,4.1,840,13:20,-0.4,0.4,0,36,127,27,39,40.9
14,Dan Girardi,33,D,69,4,10,14,20,20,4,0,0,1,9,0,1,79,5.1,1202,17:25,0.3,3.2,3.5,143,112,0,1,0
15,Braydon Coburn,32,D,64,1,12,13,2,40,1,0,0,0,12,0,0,67,1.5,1048,16:22,0.1,1.6,1.7,67,71,0,0,
16,J.T. Miller,24,LW,11,7,5,12,4,4,4,3,0,1,5,0,0,27,25.9,198,18:02,1.4,0.3,1.7,3,24,58,61,48.7
17,Cory Conacher,28,LW,32,8,3,11,0,16,7,1,0,2,3,0,0,41,19.5,314,9:49,1.1,0.2,1.3,12,28,4,11,26.7
18,Jake Dotchin,23,D,48,3,8,11,17,38,3,0,0,0,7,0,1,48,6.3,791,16:29,0.5,2.4,2.8,61,95,0,0,
19,Slater Koekkoek,23,D,33,4,4,8,4,16,4,0,0,1,4,0,0,40,10,379,11:28,0.8,0.8,1.6,24,33,0,0,
20,Anthony Cirelli,20,C,10,3,5,8,6,6,3,0,0,0,4,0,1,11,27.3,120,11:58,0.8,0.3,1.1,3,10,40,54,42.6
21,Andrej Sustr,27,D,42,2,5,7,-4,18,2,0,0,0,5,0,0,42,4.8,552,13:08,0.2,0.4,0.7,32,9,0,0,
22,Cedric Paquette,24,C,49,3,3,6,-8,37,3,0,0,1,3,0,0,50,6,490,10:01,-0.5,0,-0.4,28,96,201,226,47.1
23,Matthew Peca,24,C,10,2,3,5,6,0,2,0,0,0,3,0,0,17,11.8,137,13:40,0.3,0.3,0.7,8,11,78,59,56.9
24,Adam Erne,22,LW,21,3,1,4,-1,11,3,0,0,1,1,0,0,27,11.1,219,10:26,0.1,0.1,0.2,6,36,5,2,71.4
25,J.T. Brown,27,RW,24,1,3,4,-1,12,1,0,0,1,3,0,0,18,5.6,225,9:22,-0.1,0.1,0,14,41,51,66,43.6
26,Ryan McDonagh,28,D,6,2,1,3,4,0,2,0,0,0,0,0,1,10,20,125,20:54,0.4,0.5,0.8,18,6,0,0,
27,Andrei Vasilevskiy,23,G,60,0,1,1,0,12,0,0,0,0,1,0,0,1,0,3530,58:50:00,0,0,12.4,0,0,0,0,
28,Michael Bournival,25,LW,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,47,9:21,-0.1,0,-0.1,5,8,0,0,
29,Peter Budaj,35,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,430,53:48:00,0,0,0.3,0,0,0,0,
30,Louis Domingue,25,G,9,0,0,0,0,2,0,0,0,0,0,0,0,0,,507,56:19:00,0,0,1.6,0,0,0,0,
31,Gabriel Dumont,27,C,7,0,0,0,0,4,0,0,0,0,0,0,0,11,0,73,10:22,-0.2,0.1,-0.2,3,14,30,34,46.9
,Team Total,,,74,265,457,722,257,657,195,61,9,45,330,117,10,2412,11,,,52.8,35.3,102.4,1028,1539,2185,2383,47.8
