,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Brock Boeser,20,RW,62,29,26,55,-5,16,19,10,0,4,13,13,0,179,16.2,1085,17:30,5.6,1.2,6.8,24,29,10,29,25.6
2,Daniel Sedin,37,LW,73,21,28,49,-19,38,13,8,0,4,15,13,0,159,13.2,1100,15:04,4.1,0.7,4.8,2,37,18,22,45
3,Henrik Sedin,37,C,74,3,42,45,-19,28,3,0,0,0,26,16,0,59,5.1,1138,15:23,1.7,0.8,2.5,16,14,399,458,46.6
4,Thomas Vanek,34,LW,61,17,24,41,-12,28,13,4,0,1,14,10,0,121,14,852,13:58,3.6,0.7,4.2,12,29,4,15,21.1
5,Bo Horvat,22,C,56,20,20,40,-4,10,10,9,1,3,17,3,0,139,14.4,1081,19:18,3.1,1.3,4.4,23,32,628,542,53.7
6,Alexander Edler,31,D,62,5,25,30,-18,60,4,1,0,1,13,12,0,147,3.4,1481,23:53,1.8,2.2,4,175,144,1,1,50
7,Sven Baertschi,25,LW,53,14,15,29,3,20,7,7,0,2,13,2,0,82,17.1,827,15:36,2.1,1.2,3.3,29,19,1,6,14.3
8,Sam Gagner,28,C,66,7,21,28,-17,29,4,3,0,2,13,8,0,143,4.9,979,14:50,0.9,0.6,1.5,28,53,203,230,46.9
9,Loui Eriksson,32,LW,50,10,13,23,0,4,9,0,1,0,9,3,1,101,9.9,813,16:16,1.1,1.1,2.2,30,7,6,8,42.9
10,Michael Del Zotto,27,D,74,6,14,20,-14,44,6,0,0,0,9,5,0,120,5,1546,20:53,0.8,2.7,3.4,117,220,0,0,
11,Brandon Sutter,28,C,53,8,11,19,3,6,8,0,0,1,7,0,4,95,8.4,911,17:12,0.2,1.3,1.5,29,52,500,455,52.4
12,Derrick Pouliot,24,D,63,2,17,19,-21,39,1,1,0,2,9,7,1,69,2.9,1125,17:51,0.8,1.1,1.9,103,66,0,0,
13,Jake Virtanen,21,RW,68,8,9,17,-11,44,8,0,0,1,9,0,0,113,7.1,801,11:47,0.3,0.6,0.9,25,135,6,14,30
14,Markus Granlund,24,C,53,8,4,12,-10,8,4,2,2,1,3,1,0,93,8.6,862,16:15,-0.4,0.7,0.4,12,47,73,106,40.8
15,Chris Tanev,28,D,41,2,9,11,8,8,2,0,0,0,7,0,2,31,6.5,810,19:45,0.3,2.6,2.9,66,21,0,0,
16,Nikolay Goldobin,22,RW,30,5,5,10,-16,6,3,2,0,0,5,0,0,39,12.8,354,11:49,0.5,-0.2,0.4,4,11,1,1,50
17,Troy Stecher,23,D,60,1,9,10,-9,31,1,0,0,0,8,0,1,85,1.2,1097,18:17,-0.2,2,1.7,61,107,0,1,0
18,Derek Dorsett,31,RW,20,7,2,9,-1,74,5,0,2,1,2,0,0,26,26.9,306,15:17,0.8,0.4,1.2,14,39,0,3,0
19,Brendan Leipsic,23,LW,11,2,5,7,-4,10,2,0,0,1,5,0,0,23,8.7,191,17:23,0.4,0.1,0.5,5,4,3,2,60
20,Alex Biega,29,D,36,0,7,7,-1,30,0,0,0,0,6,0,1,70,0,535,14:52,0.1,1.2,1.3,44,110,0,0,
21,Darren Archibald,27,RW,20,3,3,6,-3,12,2,0,1,0,3,0,0,23,13,296,14:49,0.1,0.3,0.4,12,62,0,1,0
22,Alexander Burmistrov,26,C,24,2,4,6,-5,12,1,1,0,0,3,1,0,18,11.1,287,11:59,0,0.2,0.2,4,20,87,94,48.1
23,Ben Hutton,24,D,59,0,6,6,-8,23,0,0,0,0,3,2,1,97,0,1088,18:27,-0.7,2,1.3,65,39,0,1,0
24,Brendan Gaunce,23,LW,34,4,1,5,0,10,3,1,0,1,1,0,0,51,7.8,463,13:36,-0.4,0.6,0.2,10,45,38,45,45.8
25,Erik Gudbranson,26,D,52,2,3,5,-7,35,2,0,0,0,3,0,0,53,3.8,958,18:25,-0.5,1.8,1.3,81,126,0,0,
26,Reid Boucher,24,C,15,2,1,3,-10,0,2,0,0,1,0,1,0,30,6.7,173,11:31,0,-0.2,-0.1,1,11,1,1,50
27,Jacob Markstrom,28,G,55,0,3,3,0,4,0,0,0,0,2,1,0,0,,3107,56:29:00,0,0,8.4,0,0,0,0,
28,Nic Dowd,27,C,36,2,0,2,-8,16,2,0,0,0,0,0,0,37,5.4,432,12:00,-0.8,0.3,-0.5,22,55,174,165,51.3
29,Jussi Jokinen,34,LW,6,2,0,2,1,0,2,0,0,0,0,0,0,8,25,73,12:12,0.2,0.1,0.3,2,4,0,2,0
30,Anders Nilsson,27,G,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,1339,53:33:00,0,0,3.5,0,0,0,0,
31,Michael Chaput,25,C,9,0,0,0,-4,5,0,0,0,0,0,0,0,2,0,88,9:47,-0.2,0,-0.3,2,16,43,31,58.1
32,Philip Holm,26,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,15:12,0,-0.1,-0.1,0,1,0,0,
33,Jayson Megna,27,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:18,0,0,0,0,0,0,2,0
34,Tyler Motte,22,LW,9,0,0,0,-3,2,0,0,0,0,0,0,0,12,0,117,12:57,-0.3,0,-0.3,5,31,0,4,0
,Team Total,,,74,192,328,520,-216,652,136,49,7,26,219,98,11,2225,8.6,,,25,27.2,64.1,1023,1586,2196,2239,49.5
