,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jon Marchessault,27,C,71,23,45,68,33,38,18,5,0,4,37,8,0,244,9.4,1233,17:22,6,2.5,8.5,23,85,253,318,44.3
2,William Karlsson,25,C,74,39,27,66,40,12,30,7,2,5,21,5,1,167,23.4,1375,18:35,7.1,2.9,10,39,40,357,394,47.5
3,David Perron,29,LW,68,16,50,66,0,48,15,1,0,4,33,17,0,123,13,1211,17:48,5.1,1.2,6.3,19,116,89,138,39.2
4,Reilly Smith,26,RW,66,22,38,60,32,22,14,7,1,4,30,7,1,162,13.6,1185,17:58,5.2,2.4,7.6,23,40,4,9,30.8
5,Erik Haula,26,LW,69,28,24,52,-9,29,17,11,0,4,17,7,0,161,17.4,1198,17:22,5,0.8,5.8,37,76,447,426,51.2
6,James Neal,30,LW,63,24,17,41,-4,22,19,5,0,6,14,3,0,176,13.6,1079,17:08,3.7,0.9,4.6,24,39,0,2,0
7,Colin Miller,25,D,74,10,29,39,1,49,5,5,0,2,17,11,1,163,6.1,1425,19:15,3.3,2.8,6.1,53,146,1,0,100
8,Nate Schmidt,26,D,70,5,30,35,20,16,4,1,0,1,20,10,0,97,5.2,1557,22:15,2.2,4.5,6.7,109,36,0,1,0
9,Alex Tuch,21,RW,70,13,18,31,-1,23,11,2,0,4,13,5,0,154,8.4,1050,15:00,1.6,1,2.6,40,87,60,80,42.9
10,Cody Eakin,26,C,73,10,15,25,-5,20,9,0,1,2,14,0,1,97,10.3,1064,14:35,0.7,0.8,1.5,42,57,449,407,52.5
11,Deryk Engelland,35,D,73,5,17,22,8,22,5,0,0,0,17,0,0,103,4.9,1477,20:14,1,3.4,4.4,140,113,0,0,
12,Shea Theodore,22,D,53,4,18,22,4,14,3,1,0,1,11,7,0,111,3.6,1062,20:03,1.4,2.3,3.7,63,23,0,0,
13,Brad Hunt,29,D,40,3,15,18,0,6,1,2,0,0,5,10,0,68,4.4,670,16:46,1.3,1.3,2.6,27,13,0,1,0
14,Tomas Nosek,25,LW,60,7,8,15,9,14,6,0,1,0,7,0,1,88,8,662,11:02,0.4,1,1.4,20,44,32,28,53.3
15,Pierre-Edouard Bellemare,32,LW,65,6,9,15,8,12,6,0,0,1,9,0,0,83,7.2,794,12:13,0,1.1,1,59,32,329,313,51.2
16,Brayden McNabb,27,D,68,4,10,14,24,50,4,0,0,1,10,0,0,77,5.2,1366,20:05,0.2,4.4,4.6,161,198,0,0,
17,Luca Sbisa,28,D,30,2,12,14,8,15,2,0,0,0,11,0,1,26,7.7,586,19:31,0.9,1.7,2.7,54,50,0,0,
18,Ryan Carpenter,27,C,28,9,4,13,1,7,8,0,1,2,4,0,0,55,16.4,364,12:59,1.3,0.4,1.7,8,39,93,89,51.1
19,Brendan Leipsic,23,LW,44,2,11,13,-1,4,2,0,0,0,11,0,0,68,2.9,525,11:56,0.1,0.5,0.6,15,27,5,3,62.5
20,Oscar Lindberg,26,C,57,7,2,9,-9,12,7,0,0,0,2,0,0,72,9.7,680,11:56,-0.2,0.3,0.1,27,58,82,80,50.6
21,Tomas Tatar,27,LW,12,3,1,4,-4,8,2,1,0,1,0,1,0,23,13,180,15:02,0.2,0,0.2,2,17,0,1,0
22,William Carrier,23,LW,34,1,2,3,-3,17,1,0,0,0,2,0,0,44,2.3,295,8:40,-0.4,0.2,-0.2,10,102,0,0,
23,Tomas Hyka,24,RW,10,1,2,3,2,0,1,0,0,0,1,1,0,15,6.7,121,12:03,0.1,0.2,0.3,3,6,0,0,
24,Jonathon Merrill,25,D,28,1,2,3,9,18,1,0,0,1,2,0,0,26,3.8,454,16:13,-0.1,1.6,1.4,34,24,0,0,
25,Ryan Reaves,31,RW,13,0,2,2,4,10,0,0,0,0,2,0,0,3,0,126,9:41,-0.1,0.3,0.1,5,49,5,6,45.5
26,Vadim Shipachyov,30,LW,3,1,0,1,3,2,1,0,0,1,0,0,0,3,33.3,32,10:35,0.1,0.1,0.3,0,1,12,9,57.1
27,Marc-Andre Fleury,33,G,41,0,1,1,0,6,0,0,0,0,1,0,0,0,,2391,58:18:00,0,0,9.2,0,2,0,0,
28,Jason Garrison,33,D,8,0,1,1,-2,4,0,0,0,0,1,0,0,7,0,153,19:04,-0.1,0.1,0,23,7,0,0,
29,Stefan Matteau,23,C,8,0,1,1,0,0,0,0,0,0,1,0,0,8,0,66,8:12,-0.1,0.1,0,1,8,1,1,50
30,Oscar Dansk,23,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,169,42:09:00,0,0,0.9,,0,,,
31,Dylan Ferguson,19,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:14,0,0,-0.1,,0,,,
32,Maxime Lagace,25,G,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,874,54:36:00,0,0,0.3,0,0,0,0,
33,Malcolm Subban,24,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,1027,57:03:00,0,0,3.2,0,0,0,0,
,Team Total,,,74,246,411,657,168,500,192,48,6,44,313,92,6,2424,10.1,,,45.8,38.8,98,1061,1535,2219,2306,49
