,,,,Scoring,,,,,,Goals,,,,Assists,,,,,Ice Time,,Point Shares,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Blake Wheeler,31,RW,73,19,62,81,6,44,13,6,0,2,29,31,2,224,8.5,1491,20:26,6.1,1.8,7.9,62,83,164,196,45.6
2,Patrik Laine,19,RW,73,43,25,68,9,22,24,19,0,8,15,10,0,216,19.9,1208,16:33,8,1.6,9.6,39,60,11,31,26.2
3,Nikolaj Ehlers,21,LW,73,27,28,55,13,24,20,7,0,7,23,5,0,212,12.7,1181,16:10,5.1,1.7,6.8,25,30,2,3,40
4,Mark Scheifele,24,C,52,21,32,53,12,16,11,8,2,3,23,8,1,105,20,1086,20:53,4.5,1.6,6.1,27,49,533,495,51.8
5,Kyle Connor,21,LW,67,27,19,46,1,16,21,6,0,4,16,3,0,162,16.7,1130,16:52,4.3,1.2,5.5,23,17,2,4,33.3
6,Bryan Little,30,C,73,14,26,40,6,28,12,2,0,2,17,9,0,115,12.2,1262,17:17,2,1.5,3.5,30,45,674,523,56.3
7,Dustin Byfuglien,32,D,61,5,34,39,12,96,4,1,0,0,16,17,1,160,3.1,1481,24:17:00,2.7,3.9,6.6,88,136,0,0,
8,Mathieu Perreault,30,C,61,16,21,37,9,30,11,5,0,1,13,7,1,124,12.9,895,14:40,2.9,1.3,4.2,22,101,30,25,54.5
9,Tyler Myers,27,D,73,6,28,34,5,38,2,3,1,3,15,13,0,124,4.8,1557,21:20,2.2,3.5,5.7,104,58,0,0,
10,Joel Armia,24,RW,70,12,15,27,6,18,11,0,1,2,12,3,0,115,10.4,873,12:28,1.6,1.1,2.7,30,70,6,8,42.9
11,Josh Morrissey,22,D,73,5,18,23,11,38,5,0,0,0,17,1,0,93,5.4,1491,20:26,1,3.9,4.9,156,128,1,1,50
12,Jacob Trouba,23,D,52,3,19,22,7,32,3,0,0,2,15,3,1,133,2.3,1137,21:52,1.2,2.8,4,96,81,0,0,
13,Andrew Copp,23,C,73,5,16,21,15,14,4,0,1,0,15,0,1,80,6.3,1004,13:45,-0.1,1.6,1.5,47,83,273,254,51.8
14,Adam Lowry,24,C,37,8,7,15,5,6,7,1,0,1,6,1,0,64,12.5,562,15:11,0.8,0.8,1.6,25,101,307,252,54.9
15,Matt Hendricks,36,LW,60,5,8,13,-1,39,5,0,0,0,8,0,0,56,8.9,565,9:25,0.3,0.6,0.8,42,123,226,232,49.3
16,Jack Roslovic,21,C,29,4,8,12,3,2,4,0,0,1,8,0,0,35,11.4,358,12:21,0.6,0.5,1.1,9,18,18,19,48.6
17,Brandon Tanev,26,LW,53,4,8,12,9,14,3,0,1,1,8,0,0,67,6,673,12:41,-0.2,1.1,0.8,49,166,1,8,11.1
18,Ben Chiarot,26,D,48,2,10,12,15,24,2,0,0,0,10,0,0,48,4.2,704,14:40,0.6,2.6,3.1,62,83,0,0,
19,Dmitry Kulikov,27,D,62,3,8,11,6,22,3,0,0,1,8,0,0,48,6.3,1058,17:04,0.1,2.6,2.7,78,69,0,0,
20,Paul Stastny,32,C,10,3,7,10,8,2,3,0,0,1,4,3,0,15,20,179,17:55,0.8,0.5,1.3,7,6,87,75,53.7
21,Toby Enstrom,33,D,42,1,5,6,7,20,1,0,0,0,5,0,0,30,3.3,721,17:10,-0.2,2,1.8,51,19,0,0,
22,Marko Dano,23,C,22,2,1,3,-2,6,2,0,0,2,1,0,0,21,9.5,157,7:08,0.1,0.1,0.2,6,23,1,1,50
23,Shawn Matthias,29,LW,26,1,2,3,-1,10,1,0,0,0,2,0,0,24,4.2,293,11:15,-0.4,0.3,-0.1,13,21,11,10,52.4
24,Nic Petan,22,LW,15,2,0,2,0,6,2,0,0,1,0,0,0,16,12.5,126,8:25,0.1,0.1,0.2,4,4,12,13,48
25,Connor Hellebuyck,24,G,60,0,2,2,0,0,0,0,0,0,2,0,0,0,,3533,58:53:00,0,0,12.6,0,0,0,0,
26,Joseph Morrow,25,D,9,0,2,2,6,0,0,0,0,0,2,0,0,8,0,110,12:11,0.1,0.7,0.8,7,11,0,0,
27,Brendan Lemieux,21,LW,9,1,0,1,2,21,1,0,0,0,0,0,0,6,16.7,71,7:56,0,0.2,0.2,1,12,0,0,
28,Tucker Poolman,24,D,18,1,0,1,3,0,1,0,0,0,0,0,0,21,4.8,214,11:53,-0.1,0.7,0.6,15,9,0,0,
29,Michael Hutchinson,27,G,3,0,1,1,0,0,0,0,0,0,1,0,0,0,,129,42:55:00,0,0,0.4,0,0,0,0,
30,Steve Mason,29,G,12,0,1,1,0,0,0,0,0,0,1,0,0,0,,622,51:49:00,0,0,1.7,0,0,0,0,
31,Eric Comrie,22,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,120,60:13:00,0,0,0.1,0,0,0,0,
,Team Total,,,73,240,413,653,172,588,176,58,6,42,292,114,7,2322,10.3,,,43.9,40.3,99,1118,1606,2359,2150,52.3
