,,,,,,,,,,,,,,,,,,Special Teams,,,,,,,,,,Shot Data,,,,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
1,Nashville Predators,28.2,73,48,15,10,106,0.726,238,183,5,6,0.76,0.01,5.77,172,127,51,245,20.82,46,261,82.38,10,4,10.8,9.7,2361,9.9,2355,0.925,101.7
2,Tampa Bay Lightning,27.2,74,51,19,4,106,0.716,271,211,6,2,0.74,-0.07,6.51,195,147,61,251,24.3,59,245,75.92,9,3,8.9,9.3,2412,11,2424,0.914,102.1
3,Boston Bruins,28.3,72,45,17,10,100,0.694,240,186,3,2,0.65,-0.1,5.92,177,137,52,231,22.51,39,219,82.19,8,8,9.5,9.4,2366,10,2092,0.912,100.7
4,Vegas Golden Knights,27.8,74,47,21,6,100,0.676,249,202,3,2,0.63,-0.01,6.09,192,156,48,224,21.43,40,213,81.22,6,4,6.8,7.1,2424,10.1,2286,0.913,100.7
5,Winnipeg Jets,26.5,73,44,19,10,98,0.671,242,190,2,2,0.74,0.02,5.92,176,140,58,249,23.29,41,243,83.13,6,7,8.1,8.3,2322,10.3,2316,0.919,101.1
6,Toronto Maple Leafs,28,74,44,23,7,95,0.642,251,210,7,2,0.53,-0.03,6.23,192,166,48,202,23.76,37,210,82.38,4,5,6.7,6.8,2376,10.3,2507,0.917,101.6
7,Washington Capitals,28.2,74,43,24,7,93,0.628,230,217,3,1,0.14,-0.03,6.04,175,159,49,219,22.37,49,244,79.92,3,8,9.8,9,2136,10.6,2367,0.909,101.4
8,San Jose Sharks,28.5,74,42,23,9,93,0.628,227,202,4,3,0.31,-0.03,5.8,166,165,50,236,21.19,32,205,84.39,7,2,7.3,7.9,2437,9.2,2245,0.911,99.4
9,Minnesota Wild,29.2,73,41,24,8,90,0.616,227,210,3,2,0.24,0.01,5.99,174,153,45,219,20.55,50,244,79.51,5,5,8.2,7.6,2224,10.1,2315,0.91,100.8
10,Pittsburgh Penguins,27.5,74,42,27,5,89,0.601,243,225,2,2,0.22,-0.02,6.32,174,173,61,233,26.18,47,242,80.58,6,3,9.3,9,2553,9.4,2292,0.903,98.3
11,Columbus Blue Jackets,26.1,75,42,28,5,89,0.593,214,206,6,4,0.07,-0.03,5.6,173,152,32,206,15.53,44,195,77.44,3,6,6.5,7.1,2540,8.2,2350,0.914,100
12,Los Angeles Kings,28.8,75,41,27,7,89,0.593,219,187,2,1,0.43,0.01,5.41,169,145,44,219,20.09,38,247,84.62,4,3,9.1,8.1,2333,9.3,2359,0.921,101.1
13,Philadelphia Flyers,27.2,75,38,25,12,88,0.587,226,223,2,7,0,-0.04,5.99,171,156,50,248,20.16,50,208,75.96,3,10,8.3,9,2391,9.4,2250,0.904,100.1
14,Anaheim Ducks,28.4,74,38,24,12,88,0.595,210,197,4,7,0.19,0.01,5.5,161,143,35,196,17.86,43,255,83.14,10,4,10.1,8.8,2230,9.2,2468,0.923,101.2
15,Colorado Avalanche,26.2,74,40,26,8,88,0.595,237,217,1,1,0.29,0.02,6.14,172,163,57,272,20.96,41,254,83.86,7,12,8.9,9.6,2186,10.8,2458,0.912,101.5
16,St. Louis Blues,28.3,73,40,28,5,85,0.582,203,194,3,0,0.18,0.06,5.44,160,145,36,228,15.79,42,212,80.19,4,7,7.8,8.2,2395,8.4,2182,0.911,100.1
17,Dallas Stars,28.2,74,38,28,8,84,0.568,212,201,4,3,0.18,0.03,5.58,158,143,46,225,20.44,47,256,81.64,4,8,10.3,9.9,2330,8.9,2195,0.91,100.1
18,New Jersey Devils,27.4,73,37,28,8,82,0.562,219,221,5,4,-0.06,-0.03,6.03,158,168,46,228,20.18,43,237,81.86,10,6,8.5,8.3,2282,9.4,2330,0.907,99.8
19,Florida Panthers,27.5,72,37,28,7,81,0.563,219,222,3,3,-0.08,-0.04,6.13,164,174,42,221,19,40,210,80.95,10,5,11.6,11.8,2488,8.7,2493,0.912,99.7
20,Calgary Flames,28.2,75,35,30,10,80,0.533,204,226,2,5,-0.28,0.02,5.73,155,170,42,249,16.87,45,242,81.4,5,6,10.8,11.1,2534,8,2354,0.906,99.2
21,Carolina Hurricanes,26.7,74,32,31,11,75,0.507,203,237,3,3,-0.46,0,5.95,153,189,44,225,19.56,40,177,77.4,3,5,6.1,7.1,2528,7.9,2122,0.89,97.8
22,New York Rangers,28.6,74,32,34,8,72,0.486,214,240,3,5,-0.36,-0.01,6.14,160,193,47,217,21.66,38,223,82.96,4,4,7.7,7.6,2321,9.1,2591,0.909,99.6
