,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,10:00 PM,,Arizona Coyotes,5,4,W,,1,0,0,W 1,,41,18,0,4,0,,30,8,2,4,0,"17,174",2:38,
2,10/7/2017,10:00 PM,,Philadelphia Flyers,2,3,L,OT,1,0,1,L 1,,23,12,0,2,1,,37,6,0,5,0,"16,032",2:30,
3,10/9/2017,10:00 PM,,Calgary Flames,0,2,L,,1,1,1,L 2,,43,13,0,5,0,,29,15,1,4,0,"15,485",2:21,
4,10/11/2017,10:00 PM,,New York Islanders,3,2,W,,2,1,1,W 1,,30,10,0,4,0,,41,8,0,5,0,"14,553",2:34,
5,10/13/2017,9:00 PM,@,Colorado Avalanche,1,3,L,,2,2,1,L 1,,18,14,0,2,1,,39,4,2,8,0,"15,393",2:37,
6,10/15/2017,9:00 PM,,Buffalo Sabres,1,3,L,,2,3,1,L 2,,26,6,0,4,1,,31,8,0,3,0,"15,821",2:35,
7,10/20/2017,10:00 PM,,Montreal Canadiens,6,2,W,,3,3,1,W 1,,45,34,1,4,0,,51,22,1,6,0,"17,174",2:48,
8,10/24/2017,7:00 PM,@,Philadelphia Flyers,6,2,W,,4,3,1,W 2,,25,19,1,3,0,,33,15,0,6,0,"18,895",2:30,
9,10/26/2017,7:30 PM,@,Florida Panthers,3,8,L,,4,4,1,L 1,,34,11,0,3,0,,22,11,1,3,1,"10,545",2:33,
10,10/28/2017,7:00 PM,@,Tampa Bay Lightning,4,1,W,,5,4,1,W 1,,21,8,2,2,0,,32,2,0,4,0,"19,092",2:35,
11,10/29/2017,5:00 PM,@,Carolina Hurricanes,4,3,W,SO,6,4,1,W 2,,25,6,0,0,0,,37,0,1,3,0,"10,108",2:36,
12,11/1/2017,10:00 PM,,Toronto Maple Leafs,1,3,L,,6,5,1,L 1,,29,4,0,4,0,,29,8,0,2,0,"15,628",2:28,
13,11/3/2017,10:00 PM,,Nashville Predators,3,5,L,,6,6,1,L 2,,38,8,1,4,0,,30,8,1,4,0,"16,523",2:32,
14,11/4/2017,10:30 PM,@,San Jose Sharks,1,2,L,SO,6,6,2,L 3,,26,6,0,1,0,,45,2,0,3,0,"17,562",2:49,
15,11/7/2017,10:00 PM,,Los Angeles Kings,3,4,L,OT,6,6,3,L 4,,36,19,0,5,0,,43,30,1,7,0,"16,637",2:50,
16,11/9/2017,10:00 PM,,Vancouver Canucks,4,1,W,,7,6,3,W 1,,35,15,3,6,0,,20,27,0,5,0,"16,038",2:30,
17,11/12/2017,8:00 PM,,Tampa Bay Lightning,1,2,L,,7,7,3,L 1,,29,4,0,1,0,,37,2,1,2,0,"15,707",2:41,
18,11/15/2017,10:00 PM,,Boston Bruins,4,2,W,,8,7,3,W 1,,27,4,0,0,0,,42,0,0,2,0,"15,089",2:30,
19,11/19/2017,8:00 PM,,Florida Panthers,3,2,W,,9,7,3,W 2,,28,19,2,4,0,,52,15,1,6,0,"17,174",2:40,
20,11/20/2017,10:30 PM,@,San Jose Sharks,3,2,W,SO,10,7,3,W 3,,30,6,0,2,0,,42,4,1,3,0,"17,257",2:49,
21,11/22/2017,10:30 PM,,Vegas Golden Knights,2,4,L,,10,8,3,L 1,,19,11,1,4,0,,49,13,1,3,0,"17,174",2:35,
22,11/24/2017,4:00 PM,,Winnipeg Jets,1,4,L,,10,9,3,L 2,,31,8,0,2,0,,36,6,2,3,0,"16,035",2:31,
23,11/25/2017,10:30 PM,@,Los Angeles Kings,1,2,L,SO,10,9,4,L 3,,26,23,0,2,0,,34,17,0,4,0,"18,230",2:55,
24,11/27/2017,8:30 PM,@,Chicago Blackhawks,3,7,L,,10,10,4,L 4,,29,10,1,2,0,,35,8,2,3,0,"21,619",2:23,
25,11/29/2017,9:00 PM,@,St. Louis Blues,3,2,W,,11,10,4,W 1,,30,8,2,6,0,,39,12,0,4,0,"16,760",2:36,
26,12/1/2017,7:00 PM,@,Columbus Blue Jackets,2,4,L,,11,11,4,L 1,,27,18,0,4,0,,31,10,1,7,0,"16,206",2:34,
27,12/2/2017,8:00 PM,@,Nashville Predators,2,3,L,SO,11,11,5,L 2,,35,17,1,2,0,,35,13,2,4,0,"17,113",2:52,
28,12/5/2017,10:00 PM,@,Vegas Golden Knights,3,4,L,SO,11,11,6,L 3,,29,10,1,3,0,,43,6,0,4,0,"17,608",2:50,
29,12/6/2017,10:00 PM,,Ottawa Senators,3,0,W,,12,11,6,W 1,,22,11,0,2,0,,29,9,,3,,"15,890",2:31,
30,12/8/2017,10:00 PM,,Minnesota Wild,2,3,L,OT,12,11,7,L 1,,28,6,0,3,0,,31,8,0,2,0,"16,471",2:25,
31,12/11/2017,10:00 PM,,Carolina Hurricanes,3,2,W,,13,11,7,W 1,,23,6,0,2,0,,30,4,0,3,0,"16,198",2:24,
32,12/14/2017,8:00 PM,@,St. Louis Blues,3,1,W,,14,11,7,W 2,,18,6,0,1,0,,30,2,0,4,0,"17,822",2:27,
33,12/16/2017,8:00 PM,@,Washington Capitals,2,3,L,OT,14,11,8,L 1,,30,5,1,1,0,,27,7,0,0,0,"18,506",2:26,
34,12/18/2017,7:00 PM,@,New Jersey Devils,3,5,L,,14,12,8,L 2,,24,4,0,2,0,,34,4,1,2,0,"16,514",2:31,
35,12/19/2017,7:00 PM,@,New York Rangers,1,4,L,,14,13,8,L 3,,40,4,0,2,0,,32,4,0,2,0,"18,006",2:21,
36,12/21/2017,7:00 PM,@,New York Islanders,5,4,W,OT,15,13,8,W 1,,40,8,0,2,0,,26,6,2,3,0,"10,092",2:47,
