,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,10:00 PM,@,Anaheim Ducks,4,5,L,,0,1,0,L 1,,30,8,2,4,0,,41,18,0,4,0,"17,174",2:38,
2,10/7/2017,9:00 PM,,Vegas Golden Knights,1,2,L,OT,0,1,1,L 2,,28,8,0,3,0,,42,6,0,4,0,"17,125",2:36,
3,10/10/2017,10:00 PM,@,Vegas Golden Knights,2,5,L,,0,2,1,L 3,,33,6,0,3,0,,28,6,1,3,0,"18,191",2:33,
4,10/12/2017,10:00 PM,,Detroit Red Wings,2,4,L,,0,3,1,L 4,,35,11,1,6,0,,33,17,1,3,1,"13,584",2:36,
5,10/14/2017,9:00 PM,,Boston Bruins,2,6,L,,0,4,1,L 5,,31,6,1,3,0,,29,6,2,3,0,"14,810",2:31,
6,10/17/2017,8:30 PM,@,Dallas Stars,1,3,L,,0,5,1,L 6,,28,7,0,2,0,,34,9,0,1,0,"16,007",2:27,
7,10/19/2017,10:00 PM,,Dallas Stars,4,5,L,,0,6,1,L 7,,31,4,0,4,0,,30,8,1,2,0,"11,225",2:28,
8,10/21/2017,9:00 PM,,Chicago Blackhawks,2,4,L,,0,7,1,L 8,,29,8,0,5,0,,29,12,1,2,0,"13,777",2:40,
9,10/24/2017,7:00 PM,@,New York Islanders,3,5,L,,0,8,1,L 9,,35,6,1,3,0,,25,6,1,3,0,"9,795",2:34,
10,10/26/2017,7:00 PM,@,New York Rangers,2,5,L,,0,9,1,L 10,,29,11,1,3,0,,30,13,0,2,0,"18,006",2:30,
11,10/28/2017,7:00 PM,@,New Jersey Devils,3,4,L,,0,10,1,L 11,,37,4,1,5,0,,25,10,2,2,1,"15,132",2:39,
12,10/30/2017,7:00 PM,@,Philadelphia Flyers,4,3,W,OT,1,10,1,W 1,,34,6,1,3,0,,31,10,1,1,0,"18,731",2:44,
13,10/31/2017,7:30 PM,@,Detroit Red Wings,3,5,L,,1,11,1,L 1,,33,2,0,2,0,,40,2,0,1,0,"19,515",2:31,
