,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,,Nashville Predators,4,3,W,,1,0,0,W 1,,32,19,1,5,1,,29,15,2,7,0,"17,565",2:39,
2,10/9/2017,1:00 PM,,Colorado Avalanche,0,4,L,,1,1,0,L 1,,29,2,0,4,0,,23,8,0,1,1,"17,565",2:28,
3,10/11/2017,9:30 PM,@,Colorado Avalanche,3,6,L,,1,2,0,L 2,,23,20,1,4,0,,37,18,1,5,0,"18,011",2:38,
4,10/14/2017,9:00 PM,@,Arizona Coyotes,6,2,W,,2,2,0,W 1,,29,6,2,3,0,,31,6,1,3,0,"14,810",2:31,
5,10/15/2017,7:00 PM,@,Vegas Golden Knights,1,3,L,,2,3,0,L 1,,22,10,0,3,0,,26,4,0,4,0,"17,562",2:31,
6,10/19/2017,7:00 PM,,Vancouver Canucks,6,3,W,,3,3,0,W 1,,35,22,4,8,0,,29,43,1,6,0,"17,565",2:34,
7,10/21/2017,7:00 PM,,Buffalo Sabres,4,5,L,OT,3,3,1,L 1,,31,4,1,3,0,,42,6,0,2,0,"17,565",2:43,
8,10/26/2017,7:00 PM,,San Jose Sharks,2,1,W,,4,3,1,W 1,,33,12,0,2,1,,37,4,1,6,0,"17,565",2:31,
9,10/28/2017,7:00 PM,,Los Angeles Kings,1,2,L,OT,4,3,2,L 1,,30,6,0,2,0,,30,6,0,2,0,"17,565",2:47,
10,10/30/2017,7:00 PM,@,Columbus Blue Jackets,3,4,L,SO,4,3,3,L 2,,30,42,2,4,0,,32,18,0,5,0,"13,396",2:42,
11,11/2/2017,7:00 PM,,Vegas Golden Knights,2,1,W,,5,3,3,W 1,,28,6,0,1,0,,29,2,0,3,0,"17,565",2:27,
12,11/4/2017,7:00 PM,,Washington Capitals,2,3,L,,5,4,3,L 1,,33,2,1,4,0,,27,8,0,2,0,"17,565",2:26,
13,11/6/2017,7:00 PM,,Minnesota Wild,5,3,W,,6,4,3,W 1,,34,7,0,4,0,,27,13,0,1,1,"17,565",2:40,
14,11/8/2017,8:00 PM,@,New York Rangers,2,4,L,,6,5,3,L 1,,33,2,0,4,0,,33,6,0,1,0,"18,006",2:25,
15,11/10/2017,7:00 PM,@,Toronto Maple Leafs,2,3,L,OT,6,5,4,L 2,,35,10,1,4,0,,33,8,1,5,0,"19,381",2:53,
16,11/11/2017,7:00 PM,,Toronto Maple Leafs,1,4,L,,6,6,4,L 3,,39,13,0,4,0,,25,15,1,3,0,"17,565",2:34,
17,11/15/2017,10:00 PM,@,Anaheim Ducks,2,4,L,,6,7,4,L 4,,42,0,0,2,0,,27,4,0,0,0,"15,089",2:30,
18,11/16/2017,10:30 PM,@,Los Angeles Kings,2,1,W,,7,7,4,W 1,,30,12,0,3,0,,28,10,1,4,0,"18,230",2:36,
19,11/18/2017,10:30 PM,@,San Jose Sharks,3,1,W,,8,7,4,W 2,,20,10,0,1,0,,37,6,0,3,0,"17,442",2:36,
20,11/22/2017,7:00 PM,@,New Jersey Devils,3,2,W,SO,9,7,4,W 3,,29,8,0,4,0,,42,10,1,3,0,"16,514",2:51,
21,11/24/2017,1:00 PM,,Pittsburgh Penguins,4,3,W,,10,7,4,W 4,,33,2,0,2,0,,20,4,1,1,0,"17,565",2:34,
22,11/26/2017,5:00 PM,,Edmonton Oilers,2,4,L,,10,8,4,L 1,,25,4,1,2,0,,36,4,0,2,0,"17,565",2:20,
23,11/29/2017,7:30 PM,,Tampa Bay Lightning,3,2,W,,11,8,4,W 1,,36,10,0,2,0,,21,10,1,2,0,"17,565",2:41,
24,12/2/2017,1:00 PM,@,Philadelphia Flyers,3,0,W,,12,8,4,W 2,,27,17,0,2,0,,28,9,,6,,"19,274",2:24,
25,12/4/2017,8:00 PM,@,Nashville Predators,3,5,L,,12,9,4,L 1,,40,6,1,3,0,,25,8,0,2,0,"17,113",2:38,
26,12/7/2017,7:00 PM,,Arizona Coyotes,6,1,W,,13,9,4,W 1,,32,0,1,4,0,,21,8,0,0,0,"17,565",2:32,
27,12/9/2017,7:00 PM,,New York Islanders,3,1,W,,14,9,4,W 2,,33,39,1,2,0,,31,11,0,4,0,"17,565",2:31,
28,12/13/2017,8:00 PM,@,Detroit Red Wings,3,2,W,OT,15,9,4,W 3,,32,6,0,3,0,,33,4,1,3,1,"19,515",2:34,
29,12/14/2017,7:00 PM,,Washington Capitals,3,5,L,,15,10,4,L 1,,37,20,2,5,0,,22,22,1,4,1,"17,565",2:37,
30,12/16/2017,5:00 PM,,New York Rangers,2,3,L,OT,15,10,5,L 2,,35,6,1,7,0,,28,14,2,5,0,"17,565",2:38,
31,12/18/2017,7:00 PM,,Columbus Blue Jackets,7,2,W,,16,10,5,W 1,,45,19,2,4,0,,18,17,1,5,0,"17,565",2:35,
32,12/19/2017,7:30 PM,@,Buffalo Sabres,3,0,W,,17,10,5,W 2,,33,7,0,2,0,,36,9,,1,,"17,811",2:28,
33,12/21/2017,7:00 PM,,Winnipeg Jets,2,1,W,SO,18,10,5,W 3,,33,6,0,3,0,,38,6,0,3,0,"17,565",2:41,
34,12/23/2017,1:00 PM,,Detroit Red Wings,3,1,W,,19,10,5,W 4,,26,4,1,2,0,,31,2,0,2,1,"17,565",2:27,
35,12/27/2017,7:00 PM,,Ottawa Senators,5,1,W,,20,10,5,W 5,,23,19,0,2,0,,26,27,0,1,0,"17,565",2:19,
36,12/28/2017,7:30 PM,@,Washington Capitals,3,4,L,SO,20,10,6,L 1,,34,11,0,5,0,,34,15,1,4,0,"18,506",2:46,
37,12/30/2017,7:00 PM,@,Ottawa Senators,5,0,W,,21,10,6,W 1,,34,4,3,4,0,,25,10,,1,,"17,579",2:26,
38,1/2/2018,7:00 PM,@,New York Islanders,5,1,W,,22,10,6,W 2,,38,10,0,3,0,,26,8,0,4,0,"11,878",2:23,
39,1/6/2018,7:00 PM,,Carolina Hurricanes,7,1,W,,23,10,6,W 3,,30,6,1,2,1,,28,4,1,3,0,"17,565",2:25,
40,1/7/2018,7:30 PM,@,Pittsburgh Penguins,5,6,L,OT,23,10,7,L 1,,25,6,0,2,0,,35,4,2,3,0,"18,553",2:36,
41,1/13/2018,7:00 PM,@,Montreal Canadiens,4,3,W,SO,24,10,7,W 1,,32,10,1,1,0,,30,4,1,4,0,"21,302",2:59,
42,1/15/2018,1:00 PM,,Dallas Stars,2,3,L,OT,24,10,8,L 1,,32,4,0,4,0,,32,8,0,2,0,"17,565",2:40,
43,1/17/2018,7:30 PM,,Montreal Canadiens,4,1,W,,25,10,8,W 1,,32,4,1,3,0,,22,6,0,2,0,"17,565",2:32,
44,1/18/2018,7:00 PM,@,New York Islanders,5,2,W,,26,10,8,W 2,,34,4,1,1,0,,24,2,0,2,0,"11,803",2:26,
45,1/20/2018,7:00 PM,@,Montreal Canadiens,4,1,W,,27,10,8,W 3,,31,2,0,3,0,,25,6,0,1,0,"21,302",2:44,
46,1/23/2018,7:00 PM,,New Jersey Devils,3,2,W,,28,10,8,W 4,,24,8,1,4,0,,39,8,0,4,0,"17,565",2:45,
47,1/25/2018,7:30 PM,@,Ottawa Senators,3,2,W,,29,10,8,W 5,,44,8,1,1,1,,23,2,1,4,0,"15,232",2:27,
48,1/30/2018,7:00 PM,,Anaheim Ducks,1,3,L,,29,11,8,L 1,,31,6,0,4,0,,27,10,1,2,0,"17,565",2:32,
49,2/1/2018,7:00 PM,,St. Louis Blues,3,1,W,,30,11,8,W 1,,46,4,1,1,0,,33,4,0,1,0,"17,565",2:32,
50,2/3/2018,7:00 PM,,Toronto Maple Leafs,4,1,W,,31,11,8,W 2,,30,8,2,3,0,,24,6,1,4,0,"17,565",2:31,
51,2/6/2018,7:30 PM,@,Detroit Red Wings,3,2,W,,32,11,8,W 3,,31,6,0,2,0,,28,6,1,2,0,"19,515",2:26,
52,2/7/2018,8:00 PM,@,New York Rangers,6,1,W,,33,11,8,W 4,,34,14,0,2,1,,22,14,0,2,0,"18,006",2:21,
53,2/10/2018,7:00 PM,,Buffalo Sabres,2,4,L,,33,12,8,L 1,,27,2,0,4,0,,28,8,0,1,0,"17,565",2:27,
54,2/11/2018,7:00 PM,@,New Jersey Devils,5,3,W,,34,12,8,W 1,,27,26,1,4,2,,38,8,0,7,0,"16,514",2:34,
55,2/13/2018,7:00 PM,,Calgary Flames,5,2,W,,35,12,8,W 2,,40,10,1,4,0,,30,8,0,5,0,"17,565",2:33,
56,2/17/2018,10:00 PM,@,Vancouver Canucks,1,6,L,,35,13,8,L 1,,45,5,0,5,0,,23,13,0,0,1,"18,865",2:28,
57,2/19/2018,4:00 PM,@,Calgary Flames,2,1,W,OT,36,13,8,W 1,,32,11,0,2,0,,29,9,1,3,0,"19,289",2:35,
58,2/20/2018,9:00 PM,@,Edmonton Oilers,3,2,W,,37,13,8,W 2,,45,4,0,3,0,,20,8,0,1,0,"18,347",2:29,
59,2/24/2018,7:00 PM,@,Toronto Maple Leafs,3,4,L,,37,14,8,L 1,,23,4,0,2,0,,36,4,2,3,0,"19,370",2:35,
60,2/25/2018,5:00 PM,@,Buffalo Sabres,1,4,L,,37,15,8,L 2,,35,8,0,4,0,,24,8,1,5,0,"18,522",2:28,
61,2/27/2018,7:00 PM,,Carolina Hurricanes,4,3,W,OT,38,15,8,W 1,,32,6,0,2,0,,32,4,2,3,0,"17,565",2:31,
62,3/1/2018,7:00 PM,,Pittsburgh Penguins,8,4,W,,39,15,8,W 2,,38,17,3,5,0,,26,19,0,4,0,"17,565",2:49,
63,3/3/2018,5:00 PM,,Montreal Canadiens,2,1,W,OT,40,15,8,W 3,,50,6,1,6,0,,28,12,0,4,0,"17,565",2:41,
64,3/6/2018,7:00 PM,,Detroit Red Wings,6,5,W,OT,41,15,8,W 4,,37,17,2,4,0,,35,15,1,5,0,"17,565",2:43,
65,3/8/2018,7:00 PM,,Philadelphia Flyers,3,2,W,,42,15,8,W 5,,27,10,0,3,0,,33,6,1,5,1,"17,565",2:33,
66,3/10/2018,1:00 PM,,Chicago Blackhawks,7,4,W,,43,15,8,W 6,,40,9,4,6,1,,27,17,0,2,0,"17,565",2:33,
67,3/11/2018,12:30 PM,@,Chicago Blackhawks,1,3,L,,43,16,8,L 1,,32,10,0,1,0,,39,2,2,5,0,"21,819",2:27,
68,3/13/2018,7:00 PM,@,Carolina Hurricanes,6,4,W,,44,16,8,W 1,,34,10,1,4,0,,33,8,2,5,1,"13,081",2:40,
69,3/15/2018,7:30 PM,@,Florida Panthers,0,3,L,,44,17,8,L 1,,46,17,0,4,0,,28,25,1,2,0,"16,067",2:35,
70,3/17/2018,7:00 PM,@,Tampa Bay Lightning,3,0,W,,45,17,8,W 1,,27,8,2,3,0,,23,8,,3,,"19,092",2:22,
71,3/19/2018,7:00 PM,,Columbus Blue Jackets,4,5,L,OT,45,17,9,L 1,,38,4,1,4,0,,25,8,0,2,0,"17,565",2:34,
72,3/21/2018,8:00 PM,@,St. Louis Blues,1,2,L,OT,45,17,10,L 2,,22,6,1,2,0,,20,6,0,2,0,"18,423",2:26,
73,3/23/2018,8:30 PM,@,Dallas Stars,,,,,,,,,,,,,,,,,,,,,,,
74,3/25/2018,7:30 PM,@,Minnesota Wild,,,,,,,,,,,,,,,,,,,,,,,
75,3/27/2018,8:00 PM,@,Winnipeg Jets,,,,,,,,,,,,,,,,,,,,,,,
76,3/29/2018,7:00 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
77,3/31/2018,1:00 PM,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
78,4/1/2018,12:30 PM,@,Philadelphia Flyers,,,,,,,,,,,,,,,,,,,,,,,
79,4/3/2018,7:30 PM,@,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
80,4/5/2018,7:30 PM,@,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
81,4/7/2018,7:00 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
82,4/8/2018,7:30 PM,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
