,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,,Montreal Canadiens,2,3,L,SO,0,0,1,L 1,,45,6,1,5,0,,40,10,0,4,1,"19,070",2:49,
2,10/7/2017,7:00 PM,@,New York Islanders,3,6,L,,0,1,1,L 2,,29,8,0,4,2,,33,10,0,3,2,"15,234",2:35,
3,10/9/2017,3:00 PM,,New Jersey Devils,2,6,L,,0,2,1,L 3,,25,11,1,4,0,,31,9,0,4,1,"17,697",2:26,
4,10/12/2017,10:30 PM,@,San Jose Sharks,2,3,L,,0,3,1,L 4,,25,6,0,3,0,,26,6,1,3,0,"17,402",2:30,
5,10/14/2017,10:30 PM,@,Los Angeles Kings,2,4,L,,0,4,1,L 5,,25,6,0,3,0,,30,6,3,3,0,"18,230",2:31,
6,10/15/2017,9:00 PM,@,Anaheim Ducks,3,1,W,,1,4,1,W 1,,31,8,0,3,0,,26,6,0,4,1,"15,821",2:35,
7,10/17/2017,10:00 PM,@,Vegas Golden Knights,4,5,L,OT,1,4,2,L 1,,34,8,3,5,0,,31,10,1,5,0,"17,617",2:46,
8,10/20/2017,7:00 PM,,Vancouver Canucks,2,4,L,,1,5,2,L 2,,22,6,0,3,0,,41,4,0,4,1,"18,050",2:39,
9,10/21/2017,7:00 PM,@,Boston Bruins,5,4,W,OT,2,5,2,W 1,,42,6,0,2,0,,31,4,1,3,0,"17,565",2:43,
10,10/24/2017,7:30 PM,,Detroit Red Wings,1,0,W,,3,5,2,W 2,,32,6,0,4,0,,32,10,,2,,"16,882",2:32,
11,10/25/2017,8:00 PM,@,Columbus Blue Jackets,1,5,L,,3,6,2,L 1,,35,4,0,1,0,,38,0,1,2,0,"14,383",2:36,
12,10/28/2017,1:00 PM,,San Jose Sharks,2,3,L,,3,7,2,L 2,,33,6,1,5,0,,31,10,0,3,0,"18,892",2:29,
13,11/2/2017,10:00 PM,@,Arizona Coyotes,5,4,W,,4,7,2,W 1,,31,4,0,2,1,,29,4,0,2,0,"11,477",2:20,
14,11/4/2017,8:00 PM,@,Dallas Stars,1,5,L,,4,8,2,L 1,,28,4,0,4,0,,22,10,1,1,0,"18,236",2:20,
15,11/7/2017,7:00 PM,,Washington Capitals,3,1,W,,5,8,2,W 1,,32,7,0,4,0,,25,13,0,1,0,"17,146",2:25,
16,11/10/2017,7:00 PM,,Florida Panthers,1,4,L,,5,9,2,L 1,,25,15,1,2,0,,31,15,0,3,0,"17,812",2:33,
17,11/11/2017,7:00 PM,@,Montreal Canadiens,1,2,L,OT,5,9,3,L 2,,35,7,1,3,0,,29,11,1,1,0,"21,302",2:30,
18,11/14/2017,7:00 PM,@,Pittsburgh Penguins,4,5,L,OT,5,9,4,L 3,,32,14,2,3,0,,45,10,1,5,0,"18,438",2:39,
19,11/17/2017,7:30 PM,@,Detroit Red Wings,1,3,L,,5,10,4,L 4,,20,10,0,2,0,,33,4,0,5,0,"19,515",2:27,
20,11/18/2017,7:00 PM,,Carolina Hurricanes,1,3,L,,5,11,4,L 5,,25,8,0,2,0,,33,4,0,4,0,"18,028",2:28,
21,11/20/2017,7:00 PM,,Columbus Blue Jackets,2,3,L,,5,12,4,L 6,,32,2,0,3,0,,29,6,0,1,0,"16,551",2:27,
22,11/22/2017,7:00 PM,,Minnesota Wild,4,5,L,,5,13,4,L 7,,34,6,0,3,0,,32,6,2,3,0,"17,418",2:29,
23,11/24/2017,7:00 PM,,Edmonton Oilers,3,1,W,,6,13,4,W 1,,31,6,0,3,0,,30,6,0,3,0,"19,070",2:39,
24,11/25/2017,7:00 PM,@,Montreal Canadiens,0,3,L,,6,14,4,L 1,,36,4,0,2,0,,26,4,1,2,1,"21,302",2:29,
25,11/28/2017,7:00 PM,,Tampa Bay Lightning,0,2,L,,6,15,4,L 2,,34,6,0,3,0,,26,6,1,3,0,"17,569",2:29,
26,12/1/2017,7:00 PM,,Pittsburgh Penguins,0,4,L,,6,16,4,L 3,,34,4,0,4,0,,25,10,0,1,0,"19,070",2:26,
27,12/2/2017,7:00 PM,@,Pittsburgh Penguins,1,5,L,,6,17,4,L 4,,33,19,0,4,0,,29,13,1,6,0,"18,582",2:31,
28,12/5/2017,9:00 PM,@,Colorado Avalanche,4,2,W,,7,17,4,W 1,,35,14,0,3,1,,37,6,2,6,0,"13,258",2:32,
29,12/8/2017,8:30 PM,@,Chicago Blackhawks,2,3,L,OT,7,17,5,L 1,,28,8,1,3,0,,51,6,1,4,1,"21,542",2:36,
30,12/10/2017,7:00 PM,@,St. Louis Blues,2,3,L,OT,7,17,6,L 2,,24,18,1,4,0,,45,10,0,3,0,"17,310",2:33,
31,12/12/2017,7:00 PM,,Ottawa Senators,3,2,W,,8,17,6,W 1,,25,6,1,2,0,,26,4,0,3,0,"17,454",2:21,
32,12/14/2017,7:00 PM,@,Philadelphia Flyers,1,2,L,,8,18,6,L 1,,20,4,0,1,0,,27,2,0,2,0,"19,508",2:23,
33,12/15/2017,7:00 PM,,Carolina Hurricanes,4,5,L,OT,8,18,7,L 2,,41,6,0,2,0,,34,6,0,2,0,"17,610",2:38,
34,12/19/2017,7:30 PM,,Boston Bruins,0,3,L,,8,19,7,L 3,,36,9,0,1,0,,33,7,0,2,0,"17,811",2:28,
35,12/22/2017,7:00 PM,,Philadelphia Flyers,4,2,W,,9,19,7,W 1,,37,10,0,2,0,,35,4,1,5,0,"18,222",2:34,
36,12/23/2017,7:00 PM,@,Carolina Hurricanes,2,4,L,,9,20,7,L 1,,22,6,0,2,0,,38,4,1,4,0,"14,470",2:27,
37,12/27/2017,7:00 PM,@,New York Islanders,2,3,L,OT,9,20,8,L 2,,37,4,0,4,0,,34,8,0,2,0,"15,027",2:29,
38,12/29/2017,7:00 PM,@,New Jersey Devils,4,3,W,OT,10,20,8,W 1,,29,4,1,3,0,,38,6,1,2,0,"16,514",2:35,
39,1/1/2018,1:00 PM,,New York Rangers,2,3,L,OT,10,20,9,L 1,,33,6,1,5,0,,42,8,1,3,0,"41,821",2:40,
40,1/4/2018,8:00 PM,@,Minnesota Wild,2,6,L,,10,21,9,L 2,,31,27,0,3,0,,27,16,1,3,0,"19,017",2:21,
41,1/5/2018,8:00 PM,@,Winnipeg Jets,3,4,L,,10,22,9,L 3,,29,6,0,5,0,,29,10,2,4,0,"15,321",2:32,
42,1/7/2018,1:00 PM,@,Philadelphia Flyers,1,4,L,,10,23,9,L 4,,31,6,1,3,0,,29,8,1,3,0,"19,662",2:32,
43,1/9/2018,7:00 PM,,Winnipeg Jets,4,7,L,,10,24,9,L 5,,34,18,1,3,0,,37,6,2,4,0,"17,398",2:29,
44,1/11/2018,7:00 PM,,Columbus Blue Jackets,3,1,W,,11,24,9,W 1,,29,4,0,0,0,,45,2,1,1,0,"18,071",2:33,
45,1/18/2018,7:30 PM,@,New York Rangers,3,4,L,,11,25,9,L 1,,37,8,2,4,0,,34,12,0,2,0,"18,006",2:30,
46,1/20/2018,1:00 PM,,Dallas Stars,1,7,L,,11,26,9,L 2,,27,11,1,4,0,,32,15,1,2,0,"19,070",2:26,
47,1/22/2018,9:00 PM,@,Calgary Flames,2,1,W,OT,12,26,9,W 1,,33,11,0,3,0,,33,11,1,3,0,"18,349",2:28,
48,1/23/2018,9:00 PM,@,Edmonton Oilers,5,0,W,,13,26,9,W 2,,34,4,3,4,0,,33,8,,2,,"18,347",2:26,
49,1/25/2018,10:00 PM,@,Vancouver Canucks,4,0,W,,14,26,9,W 3,,26,6,1,3,1,,30,6,,2,,"18,340",2:23,
50,1/30/2018,7:00 PM,,New Jersey Devils,1,3,L,,14,27,9,L 1,,28,0,1,4,0,,28,8,0,0,0,"17,460",2:22,
51,2/1/2018,7:00 PM,,Florida Panthers,2,4,L,,14,28,9,L 2,,32,45,1,3,1,,32,35,2,7,0,"16,707",2:44,
52,2/3/2018,7:00 PM,,St. Louis Blues,0,1,L,,14,29,9,L 3,,27,2,0,4,0,,33,8,0,1,0,"18,777",2:33,
53,2/6/2018,7:00 PM,,Anaheim Ducks,3,4,L,OT,14,29,10,L 4,,33,8,1,2,1,,33,6,1,3,0,"16,788",2:36,
54,2/8/2018,7:00 PM,,New York Islanders,4,3,W,,15,29,10,W 1,,22,6,1,2,0,,29,4,1,3,0,"16,872",2:16,
55,2/10/2018,7:00 PM,@,Boston Bruins,4,2,W,,16,29,10,W 2,,28,8,0,1,0,,27,2,0,4,0,"17,565",2:27,
