,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,10:00 PM,@,Edmonton Oilers,0,3,L,,0,1,0,L 1,,27,9,0,1,0,,45,7,0,2,0,"18,347",2:34,
2,10/7/2017,10:00 PM,,Winnipeg Jets,6,3,W,,1,1,0,W 1,,45,6,2,6,0,,28,12,1,3,1,"19,289",2:32,
3,10/9/2017,10:00 PM,@,Anaheim Ducks,2,0,W,,2,1,0,W 2,,29,15,1,4,0,,43,13,,5,,"15,485",2:21,
4,10/11/2017,10:30 PM,@,Los Angeles Kings,4,3,W,OT,3,1,0,W 3,,37,12,1,6,0,,45,14,0,5,0,"18,230",2:40,
5,10/13/2017,9:00 PM,,Ottawa Senators,0,6,L,,3,2,0,L 1,,25,17,0,3,0,,28,11,2,7,0,"19,289",2:33,
6,10/14/2017,10:00 PM,@,Vancouver Canucks,5,2,W,,4,2,0,W 1,,27,16,1,5,1,,29,14,0,7,0,"17,074",2:33,
7,10/19/2017,9:00 PM,,Carolina Hurricanes,1,2,L,,4,3,0,L 1,,26,12,0,1,0,,33,2,1,6,0,"18,119",2:25,
8,10/21/2017,10:00 PM,,Minnesota Wild,2,4,L,,4,4,0,L 2,,37,6,1,6,0,,32,10,1,3,0,"18,436",2:34,
9,10/24/2017,8:00 PM,@,Nashville Predators,3,2,W,SO,5,4,0,W 1,,32,6,0,4,0,,30,8,2,3,0,"17,113",2:53,
10,10/25/2017,8:00 PM,@,St. Louis Blues,2,5,L,,5,5,0,L 1,,25,6,0,2,0,,29,4,2,3,0,"17,227",2:23,
11,10/27/2017,9:00 PM,,Dallas Stars,1,2,L,,5,6,0,L 2,,30,8,0,2,0,,24,6,2,3,0,"18,873",2:32,
12,10/29/2017,9:00 PM,,Washington Capitals,2,1,W,,6,6,0,W 1,,38,4,0,2,0,,31,4,0,2,0,"18,327",2:28,
13,11/2/2017,9:00 PM,,Pittsburgh Penguins,2,1,W,OT,7,6,0,W 2,,34,2,1,4,0,,44,8,0,1,0,"18,837",2:32,
14,11/5/2017,9:00 PM,,New Jersey Devils,5,4,W,SO,8,6,0,W 3,,34,4,0,3,1,,30,6,0,2,0,"17,839",2:45,
15,11/7/2017,9:00 PM,,Vancouver Canucks,3,5,L,,8,7,0,L 1,,32,6,2,4,0,,21,8,2,3,1,"18,160",2:28,
16,11/9/2017,9:00 PM,,Detroit Red Wings,6,3,W,,9,7,0,W 1,,34,11,0,2,0,,42,9,1,3,0,"18,788",2:33,
17,11/13/2017,9:00 PM,,St. Louis Blues,7,4,W,,10,7,0,W 2,,37,6,1,3,0,,24,8,1,1,0,"18,519",2:28,
