,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/7/2017,7:00 PM,,Minnesota Wild,5,4,W,SO,1,0,0,W 1,,42,6,1,5,0,,27,8,1,3,0,"18,680",2:54,
2,10/10/2017,7:00 PM,,Columbus Blue Jackets,1,2,L,OT,1,0,1,L 1,,38,6,0,3,0,,27,6,0,3,0,"7,892",2:37,
3,10/14/2017,7:00 PM,@,Winnipeg Jets,1,2,L,,1,1,1,L 2,,29,4,1,4,0,,21,8,0,2,0,"15,321",2:28,
4,10/17/2017,9:00 PM,@,Edmonton Oilers,5,3,W,,2,1,1,W 1,,21,10,2,5,1,,51,8,2,7,0,"18,347",2:28,
5,10/19/2017,9:00 PM,@,Calgary Flames,2,1,W,,3,1,1,W 2,,33,2,1,6,0,,26,12,0,1,0,"18,119",2:25,
6,10/21/2017,8:00 PM,@,Dallas Stars,3,4,L,,3,2,1,L 1,,39,4,0,3,0,,26,6,0,2,0,"18,023",2:29,
7,10/24/2017,7:00 PM,,Tampa Bay Lightning,1,5,L,,3,3,1,L 2,,32,4,0,4,0,,29,10,1,1,0,"10,498",2:28,
8,10/26/2017,7:00 PM,@,Toronto Maple Leafs,6,3,W,,4,3,1,W 1,,38,6,0,1,0,,34,2,0,1,0,"19,070",2:32,
9,10/27/2017,7:30 PM,,St. Louis Blues,1,2,L,,4,4,1,L 1,,27,0,0,1,0,,34,2,0,0,0,"10,069",2:30,
10,10/29/2017,5:00 PM,,Anaheim Ducks,3,4,L,SO,4,4,2,L 2,,37,0,1,3,0,,25,6,0,0,0,"10,108",2:36,
11,11/2/2017,9:00 PM,@,Colorado Avalanche,3,5,L,,4,5,2,L 3,,60,2,0,2,0,,27,4,1,2,0,"12,048",2:36,
12,11/4/2017,9:00 PM,@,Arizona Coyotes,1,2,L,SO,4,5,3,L 4,,37,4,0,3,0,,24,6,0,2,0,"12,019",2:35,
13,11/7/2017,7:00 PM,,Florida Panthers,3,1,W,,5,5,3,W 1,,48,6,0,5,0,,31,12,1,2,0,"8,828",2:29,
14,11/10/2017,7:00 PM,@,Columbus Blue Jackets,3,1,W,,6,5,3,W 2,,29,4,0,1,0,,26,2,0,2,0,"16,049",2:17,
15,11/11/2017,7:00 PM,,Chicago Blackhawks,3,4,L,OT,6,5,4,L 1,,38,8,0,3,0,,30,6,0,4,0,"16,778",2:23,
16,11/13/2017,7:00 PM,,Dallas Stars,5,1,W,,7,5,4,W 1,,28,6,1,4,0,,26,8,1,3,0,"7,968",2:30,
17,11/16/2017,7:00 PM,@,New York Islanders,4,6,L,,7,6,4,L 1,,32,6,1,3,0,,36,6,1,3,1,"11,188",2:30,
18,11/18/2017,7:00 PM,@,Buffalo Sabres,3,1,W,,8,6,4,W 1,,33,4,0,4,0,,25,8,0,2,0,"18,028",2:28,
19,11/19/2017,5:00 PM,,New York Islanders,4,2,W,,9,6,4,W 2,,32,14,2,5,0,,29,10,1,7,0,"11,390",2:25,
20,11/22/2017,7:00 PM,,New York Rangers,1,6,L,,9,7,4,L 1,,33,2,1,5,0,,27,8,1,2,0,"11,398",2:25,
21,11/24/2017,7:30 PM,,Toronto Maple Leafs,4,5,L,,9,8,4,L 2,,47,4,0,2,0,,25,4,1,2,0,"15,241",2:22,
22,11/26/2017,1:00 PM,,Nashville Predators,4,3,W,SO,10,8,4,W 1,,36,4,1,4,0,,35,8,1,2,0,"11,133",2:46,
23,11/28/2017,7:00 PM,@,Columbus Blue Jackets,2,3,L,SO,10,8,5,L 1,,31,2,0,1,0,,38,2,0,1,0,"13,947",2:31,
24,12/1/2017,7:00 PM,@,New York Rangers,1,5,L,,10,9,5,L 2,,33,14,0,2,0,,26,4,2,7,0,"17,695",2:24,
25,12/2/2017,7:00 PM,,Florida Panthers,3,2,W,OT,11,9,5,W 1,,47,20,2,5,0,,39,26,0,2,0,"14,246",2:52,
26,12/5/2017,10:00 PM,@,Vancouver Canucks,0,3,L,,11,10,5,L 1,,30,14,0,2,0,,22,4,1,2,0,"17,860",2:20,
27,12/7/2017,10:30 PM,@,San Jose Sharks,4,5,L,OT,11,10,6,L 2,,25,6,0,3,0,,33,6,2,3,2,"16,947",2:20,
28,12/9/2017,10:30 PM,@,Los Angeles Kings,2,3,L,OT,11,10,7,L 3,,34,2,1,3,0,,21,6,0,1,0,"18,230",2:31,
29,12/11/2017,10:00 PM,@,Anaheim Ducks,2,3,L,,11,11,7,L 4,,30,4,0,3,0,,23,6,0,2,0,"16,198",2:24,
30,12/12/2017,10:00 PM,@,Vegas Golden Knights,3,2,W,SO,12,11,7,W 1,,37,6,0,3,0,,24,8,0,2,0,"17,520",2:43,
31,12/15/2017,7:00 PM,@,Buffalo Sabres,5,4,W,OT,13,11,7,W 2,,34,6,0,2,0,,41,6,0,2,0,"17,610",2:38,
32,12/16/2017,7:00 PM,,Columbus Blue Jackets,2,1,W,,14,11,7,W 3,,24,8,0,2,0,,36,4,0,4,0,"11,357",2:23,
33,12/19/2017,2:00 PM,@,Toronto Maple Leafs,1,8,L,,14,12,7,L 1,,33,13,0,4,0,,36,15,3,3,1,"19,288",2:35,
34,12/21/2017,8:00 PM,@,Nashville Predators,4,1,W,,15,12,7,W 1,,32,8,2,6,0,,29,22,0,4,0,"17,492",2:31,
35,12/23/2017,7:00 PM,,Buffalo Sabres,4,2,W,,16,12,7,W 2,,38,4,1,4,0,,22,6,0,2,0,"14,470",2:27,
36,12/27/2017,7:00 PM,,Montreal Canadiens,3,1,W,,17,12,7,W 3,,36,4,1,3,0,,24,6,0,2,0,"14,880",2:25,
37,12/29/2017,7:30 PM,,Pittsburgh Penguins,2,1,W,,18,12,7,W 4,,33,4,0,2,0,,28,4,0,2,0,"17,975",2:30,
38,12/30/2017,8:00 PM,@,St. Louis Blues,2,3,L,,18,13,7,L 1,,25,4,0,2,0,,29,4,0,2,0,"18,749",2:26,
39,1/2/2018,7:00 PM,,Washington Capitals,4,5,L,OT,18,13,8,L 2,,38,4,1,4,0,,26,8,0,2,0,"11,989",2:29,
40,1/4/2018,7:00 PM,@,Pittsburgh Penguins,4,0,W,,19,13,8,W 1,,33,4,0,1,0,,21,2,,2,,"18,595",2:19,
41,1/6/2018,7:00 PM,@,Boston Bruins,1,7,L,,19,14,8,L 1,,28,4,1,3,0,,30,6,1,2,1,"17,565",2:25,
42,1/9/2018,7:30 PM,@,Tampa Bay Lightning,4,5,L,,19,15,8,L 2,,32,0,2,4,0,,34,6,0,0,0,"19,092",2:45,
43,1/11/2018,7:00 PM,@,Washington Capitals,3,1,W,,20,15,8,W 1,,33,6,0,1,1,,28,0,0,3,0,"18,506",2:24,
44,1/12/2018,7:30 PM,,Washington Capitals,3,4,L,,20,16,8,L 1,,39,8,2,5,0,,27,10,1,4,0,"16,239",2:33,
45,1/14/2018,3:00 PM,,Calgary Flames,1,4,L,,20,17,8,L 2,,39,23,1,5,0,,30,25,1,2,0,"15,218",2:31,
46,1/20/2018,7:00 PM,@,Detroit Red Wings,3,1,W,,21,17,8,W 1,,30,4,2,3,0,,24,6,1,2,0,"19,515",2:25,
47,1/21/2018,6:00 PM,,Vegas Golden Knights,1,5,L,,21,18,8,L 1,,28,10,1,4,0,,33,8,2,4,0,"15,303",2:26,
48,1/23/2018,7:00 PM,@,Pittsburgh Penguins,1,3,L,,21,19,8,L 2,,35,6,0,2,0,,33,6,0,1,0,"18,421",2:30,
49,1/25/2018,7:30 PM,@,Montreal Canadiens,6,5,W,,22,19,8,W 1,,29,11,1,2,0,,31,9,1,3,0,"21,302",2:35,
50,1/30/2018,7:00 PM,,Ottawa Senators,2,1,W,,23,19,8,W 2,,39,0,1,3,0,,30,6,0,1,0,"11,448",2:23,
51,2/1/2018,7:00 PM,,Montreal Canadiens,2,0,W,,24,19,8,W 3,,30,2,0,3,0,,27,6,,1,,"11,953",2:23,
52,2/2/2018,7:00 PM,,Detroit Red Wings,1,4,L,,24,20,8,L 1,,37,6,1,2,0,,38,4,0,3,0,"18,126",2:21,
53,2/4/2018,1:00 PM,,San Jose Sharks,1,3,L,,24,21,8,L 2,,30,5,0,1,0,,26,7,0,0,0,"11,614",2:19,
54,2/6/2018,7:00 PM,,Philadelphia Flyers,1,2,L,OT,24,21,9,L 3,,28,10,1,4,0,,30,8,0,5,0,"11,585",2:26,
55,2/9/2018,7:30 PM,,Vancouver Canucks,4,1,W,,25,21,9,W 1,,33,9,0,3,0,,22,13,0,2,0,"13,123",2:22,
56,2/10/2018,8:00 PM,,Colorado Avalanche,3,1,W,,26,21,9,W 2,,35,8,0,3,0,,30,6,0,5,0,"15,589",2:21,
57,2/13/2018,7:00 PM,,Los Angeles Kings,7,3,W,,27,21,9,W 3,,41,4,3,5,0,,30,10,1,2,0,"12,805",2:24,
58,2/15/2018,7:00 PM,@,New Jersey Devils,2,5,L,,27,22,9,L 1,,29,4,0,3,0,,22,6,0,2,0,"14,079",2:21,
59,2/16/2018,7:30 PM,,New York Islanders,0,3,L,,27,23,9,L 2,,45,2,0,2,0,,22,4,0,0,0,"15,448",2:24,
60,2/18/2018,5:00 PM,,New Jersey Devils,2,3,L,OT,27,23,10,L 3,,42,8,0,3,0,,21,8,1,3,0,"18,680",2:30,
61,2/23/2018,7:30 PM,,Pittsburgh Penguins,1,6,L,,27,24,10,L 4,,28,14,0,2,0,,39,6,1,1,0,"18,180",2:27,
62,2/24/2018,7:00 PM,@,Detroit Red Wings,1,3,L,,27,25,10,L 5,,29,8,0,4,0,,22,8,1,4,0,"19,515",2:34,
63,2/27/2018,7:00 PM,@,Boston Bruins,3,4,L,OT,27,25,11,L 6,,32,4,2,3,0,,32,6,0,2,0,"17,565",2:31,
64,3/1/2018,7:00 PM,@,Philadelphia Flyers,4,1,W,,28,25,11,W 1,,35,6,0,1,0,,22,4,0,2,0,"19,245",2:21,
65,3/2/2018,7:30 PM,,New Jersey Devils,3,1,W,,29,25,11,W 2,,30,6,0,1,0,,26,2,1,3,0,"14,337",2:26,
66,3/4/2018,7:00 PM,,Winnipeg Jets,2,3,L,,29,26,11,L 1,,35,4,0,3,0,,23,6,1,2,0,"11,407",2:12,
67,3/6/2018,8:00 PM,@,Minnesota Wild,2,6,L,,29,27,11,L 2,,31,4,1,3,0,,31,6,2,2,0,"19,017",2:29,
68,3/8/2018,8:30 PM,@,Chicago Blackhawks,3,2,W,,30,27,11,W 1,,40,4,1,2,0,,24,4,0,2,0,"21,681",2:21,
69,3/12/2018,7:00 PM,@,New York Rangers,3,6,L,,30,28,11,L 1,,44,6,1,3,0,,23,6,1,3,0,"17,679",2:35,
70,3/13/2018,7:00 PM,,Boston Bruins,4,6,L,,30,29,11,L 2,,33,8,2,5,1,,34,10,1,4,0,"13,081",2:40,
71,3/17/2018,7:00 PM,,Philadelphia Flyers,2,4,L,,30,30,11,L 3,,25,4,0,3,0,,27,6,0,2,0,"14,805",2:22,
72,3/18/2018,5:00 PM,@,New York Islanders,4,3,W,,31,30,11,W 1,,39,8,0,3,0,,29,8,2,3,0,"10,688",2:29,
73,3/20/2018,7:00 PM,,Edmonton Oilers,3,7,L,,31,31,11,L 1,,33,2,1,2,0,,30,4,0,1,0,"10,554",2:16,
74,3/22/2018,7:00 PM,,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,@,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
76,3/26/2018,7:00 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
77,3/27/2018,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
78,3/30/2018,7:00 PM,@,Washington Capitals,,,,,,,,,,,,,,,,,,,,,,,
79,3/31/2018,7:00 PM,,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
80,4/2/2018,7:30 PM,@,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
81,4/5/2018,7:00 PM,@,Philadelphia Flyers,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,7:00 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
