,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,8:30 PM,,Pittsburgh Penguins,10,1,W,,1,0,0,W 1,,44,4,0,6,0,,29,32,1,2,0,"21,705",2:35,
2,10/7/2017,8:30 PM,,Columbus Blue Jackets,5,1,W,,2,0,0,W 2,,29,11,1,2,0,,33,9,0,2,0,"21,264",2:23,
3,10/9/2017,7:00 PM,@,Toronto Maple Leafs,3,4,L,OT,2,0,1,L 1,,21,12,1,6,0,,43,14,1,6,0,"19,456",2:39,
4,10/10/2017,7:30 PM,@,Montreal Canadiens,3,1,W,,3,0,1,W 1,,25,10,1,2,0,,42,4,0,5,0,"21,302",2:28,
5,10/12/2017,8:30 PM,,Minnesota Wild,2,5,L,,3,1,1,L 1,,38,13,1,5,0,,34,15,1,4,0,"21,386",2:34,
6,10/14/2017,8:30 PM,,Nashville Predators,2,1,W,OT,4,1,1,W 1,,35,12,0,6,0,,38,16,1,5,0,"21,564",2:39,
7,10/18/2017,8:00 PM,@,St. Louis Blues,2,5,L,,4,2,1,L 1,,24,12,2,7,0,,33,16,0,5,0,"18,752",2:29,
8,10/19/2017,8:30 PM,,Edmonton Oilers,1,2,L,OT,4,2,2,L 2,,31,4,0,5,0,,42,10,1,2,0,"21,444",2:37,
9,10/21/2017,9:00 PM,@,Arizona Coyotes,4,2,W,,5,2,2,W 1,,29,12,1,2,0,,29,8,0,5,0,"13,777",2:40,
10,10/24/2017,10:00 PM,@,Vegas Golden Knights,2,4,L,,5,3,2,L 1,,31,10,0,3,1,,33,6,1,5,0,"18,108",2:29,
11,10/27/2017,8:30 PM,,Nashville Predators,1,2,L,,5,4,2,L 2,,44,12,0,6,1,,30,12,1,6,0,"21,524",2:31,
12,10/28/2017,9:00 PM,@,Colorado Avalanche,3,6,L,,5,5,2,L 3,,42,12,0,5,0,,28,12,2,5,0,"17,360",2:34,
13,11/1/2017,8:00 PM,,Philadelphia Flyers,3,0,W,,6,5,2,W 1,,35,11,1,4,0,,35,13,,3,,"21,524",2:30,
14,11/4/2017,8:00 PM,@,Minnesota Wild,2,0,W,,7,5,2,W 2,,35,4,1,4,0,,24,8,,2,,"19,218",2:26,
15,11/5/2017,7:00 PM,,Montreal Canadiens,0,2,L,,7,6,2,L 1,,38,6,0,3,0,,35,4,0,3,0,"21,871",2:25,
16,11/9/2017,7:00 PM,@,Philadelphia Flyers,1,3,L,,7,7,2,L 2,,39,6,0,4,0,,31,10,0,2,0,"19,738",2:35,
17,11/11/2017,7:00 PM,@,Carolina Hurricanes,4,3,W,OT,8,7,2,W 1,,30,6,0,4,0,,38,8,0,3,0,"16,778",2:23,
18,11/12/2017,7:00 PM,,New Jersey Devils,5,7,L,,8,8,2,L 1,,44,8,2,3,0,,38,6,2,3,0,"21,487",2:38,
19,11/15/2017,8:00 PM,,New York Rangers,6,3,W,,9,8,2,W 1,,43,6,1,5,0,,28,10,0,3,0,"21,528",2:32,
20,11/18/2017,7:00 PM,@,Pittsburgh Penguins,2,1,W,,10,8,2,W 2,,38,8,2,5,0,,36,12,0,3,1,"18,638",2:36,
21,11/22/2017,7:30 PM,@,Tampa Bay Lightning,2,3,L,OT,10,8,3,L 1,,31,10,1,4,0,,38,8,1,6,1,"19,092",2:34,
22,11/25/2017,7:00 PM,@,Florida Panthers,4,1,W,,11,8,3,W 1,,39,4,0,1,0,,38,2,0,2,0,"14,302",2:21,
23,11/27/2017,8:30 PM,,Anaheim Ducks,7,3,W,,12,8,3,W 2,,35,8,2,3,0,,29,10,1,2,0,"21,619",2:23,
