,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,@,New York Rangers,4,2,W,,1,0,0,W 1,,26,16,1,5,0,,39,12,2,6,0,"18,006",2:27,
2,10/7/2017,2:00 PM,@,New Jersey Devils,1,4,L,,1,1,0,L 1,,41,8,0,6,0,,39,12,3,4,1,"16,514",2:24,
3,10/9/2017,1:00 PM,@,Boston Bruins,4,0,W,,2,1,0,W 1,,23,8,0,1,1,,29,2,,4,,"17,565",2:28,
4,10/11/2017,9:30 PM,,Boston Bruins,6,3,W,,3,1,0,W 2,,37,18,1,5,0,,23,20,1,4,0,"18,011",2:38,
5,10/13/2017,9:00 PM,,Anaheim Ducks,3,1,W,,4,1,0,W 3,,39,4,2,8,0,,18,14,0,2,1,"15,393",2:37,
6,10/14/2017,8:00 PM,@,Dallas Stars,1,3,L,,4,2,0,L 1,,23,17,0,4,0,,36,13,1,6,0,"17,967",2:33,
7,10/17/2017,8:00 PM,@,Nashville Predators,1,4,L,,4,3,0,L 2,,21,12,1,6,0,,34,12,1,5,0,"17,113",2:29,
8,10/19/2017,9:00 PM,,St. Louis Blues,3,4,L,,4,4,0,L 3,,41,4,1,2,0,,28,4,0,2,0,"13,890",2:28,
9,10/24/2017,9:00 PM,,Dallas Stars,5,3,W,,5,4,0,W 1,,33,6,0,3,0,,37,6,0,3,0,"12,823",2:30,
10,10/27/2017,6:00 PM,@,Vegas Golden Knights,0,7,L,,5,5,0,L 1,,32,23,0,3,0,,21,13,1,5,0,"17,702",2:35,
11,10/28/2017,9:00 PM,,Chicago Blackhawks,6,3,W,,6,5,0,W 1,,28,12,2,5,0,,42,12,0,5,0,"17,360",2:34,
12,11/2/2017,9:00 PM,,Carolina Hurricanes,5,3,W,,7,5,0,W 2,,27,4,1,2,0,,60,2,0,2,0,"12,048",2:36,
13,11/4/2017,7:00 PM,@,Philadelphia Flyers,5,4,W,SO,8,5,0,W 3,,27,12,2,3,1,,37,6,1,6,0,"19,616",2:44,
14,11/5/2017,6:00 PM,@,New York Islanders,4,6,L,,8,6,0,L 1,,35,9,0,4,0,,28,13,2,2,0,"10,927",2:38,
15,11/10/2017,2:00 PM,,Ottawa Senators,3,4,L,OT,8,6,1,L 2,,19,4,1,2,0,,32,4,0,2,0,"13,396",2:34,
16,11/11/2017,1:00 PM,@,Ottawa Senators,3,4,L,,8,7,1,L 3,,18,14,1,4,1,,40,10,2,6,0,"13,396",2:43,
17,11/16/2017,9:00 PM,,Washington Capitals,6,2,W,,9,7,1,W 1,,28,18,2,6,0,,30,20,1,5,0,"15,070",2:45,
18,11/18/2017,8:00 PM,@,Nashville Predators,2,5,L,,9,8,1,L 1,,31,8,0,7,0,,24,23,2,4,0,"17,113",2:30,
