,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,7:00 PM,,New York Islanders,5,0,W,,1,0,0,W 1,,37,9,1,2,0,,29,11,,1,,"18,595",2:25,
2,10/7/2017,8:30 PM,@,Chicago Blackhawks,1,5,L,,1,1,0,L 1,,33,9,0,2,0,,29,11,1,2,0,"21,264",2:23,
3,10/10/2017,7:00 PM,@,Carolina Hurricanes,2,1,W,OT,2,1,0,W 1,,27,6,0,3,0,,38,6,0,3,0,"7,892",2:37,
4,10/13/2017,7:00 PM,,New York Rangers,3,1,W,,3,1,0,W 2,,43,10,0,3,0,,38,8,0,4,0,"15,342",2:28,
5,10/14/2017,8:00 PM,@,Minnesota Wild,5,4,W,OT,4,1,0,W 3,,35,6,0,3,0,,21,6,2,3,0,"19,064",2:40,
6,10/17/2017,8:00 PM,@,Winnipeg Jets,5,2,W,,5,1,0,W 4,,39,2,0,3,0,,26,6,0,1,1,"15,321",2:22,
7,10/19/2017,7:00 PM,,Tampa Bay Lightning,0,2,L,,5,2,0,L 1,,43,4,0,3,0,,21,6,0,2,0,"13,155",2:23,
8,10/21/2017,7:00 PM,,Los Angeles Kings,4,6,L,,5,3,0,L 2,,36,4,1,3,0,,32,6,0,2,0,"15,329",2:36,
9,10/25/2017,8:00 PM,,Buffalo Sabres,5,1,W,,6,3,0,W 1,,38,0,1,2,0,,35,4,0,1,0,"14,383",2:36,
10,10/27/2017,7:00 PM,,Winnipeg Jets,2,1,W,OT,7,3,0,W 2,,37,10,0,4,0,,30,8,0,6,0,"14,224",2:33,
11,10/28/2017,8:00 PM,@,St. Louis Blues,1,4,L,,7,4,0,L 1,,37,4,0,2,0,,42,4,0,3,0,"17,834",2:26,
12,10/30/2017,7:00 PM,,Boston Bruins,4,3,W,SO,8,4,0,W 1,,32,18,0,5,0,,30,42,2,4,0,"13,396",2:42,
13,11/2/2017,7:30 PM,@,Florida Panthers,7,3,W,,9,4,0,W 2,,40,6,2,4,0,,34,12,0,1,1,"9,311",2:34,
14,11/4/2017,7:00 PM,@,Tampa Bay Lightning,4,5,L,SO,9,4,1,L 1,,34,6,0,4,0,,36,8,1,3,0,"19,092",2:45,
15,11/6/2017,7:00 PM,@,New York Rangers,3,5,L,,9,5,1,L 2,,25,10,0,1,0,,26,2,3,5,0,"17,348",2:30,
16,11/7/2017,7:00 PM,,Nashville Predators,1,3,L,,9,6,1,L 3,,36,8,0,4,0,,29,8,0,4,0,"14,996",2:26,
17,11/10/2017,7:00 PM,,Carolina Hurricanes,1,3,L,,9,7,1,L 4,,26,2,0,2,0,,29,4,0,1,0,"16,049",2:17,
18,11/11/2017,7:00 PM,@,Detroit Red Wings,2,1,W,SO,10,7,1,W 1,,32,0,0,2,0,,33,4,0,0,0,"19,515",2:39,
19,11/14/2017,7:30 PM,@,Montreal Canadiens,2,1,W,OT,11,7,1,W 2,,25,4,0,2,0,,29,4,0,2,0,"21,302",2:28,
20,11/17/2017,7:00 PM,,New York Rangers,2,0,W,,12,7,1,W 3,,42,6,1,3,0,,36,6,,3,,"17,093",2:24,
21,11/20/2017,7:00 PM,@,Buffalo Sabres,3,2,W,,13,7,1,W 4,,29,6,0,1,0,,32,2,0,3,0,"16,551",2:27,
22,11/22/2017,7:00 PM,,Calgary Flames,1,0,W,OT,14,7,1,W 5,,41,2,0,2,0,,22,4,,1,,"16,290",2:20,
23,11/24/2017,7:00 PM,,Ottawa Senators,5,2,W,,15,7,1,W 6,,32,6,0,2,0,,26,4,0,3,0,"17,084",2:30,
24,11/27/2017,7:30 PM,@,Montreal Canadiens,1,3,L,,15,8,1,L 1,,38,6,0,5,0,,28,10,1,3,0,"21,302",2:24,
25,11/28/2017,7:00 PM,,Carolina Hurricanes,3,2,W,SO,16,8,1,W 1,,38,2,0,1,0,,31,2,0,1,0,"13,947",2:31,
26,12/1/2017,7:00 PM,,Anaheim Ducks,4,2,W,,17,8,1,W 2,,31,10,1,7,0,,27,18,0,4,0,"16,206",2:34,
27,12/2/2017,7:00 PM,@,Washington Capitals,3,4,L,,17,9,1,L 1,,35,4,0,0,1,,23,0,1,2,0,"18,506",2:28,
28,12/5/2017,7:00 PM,,New Jersey Devils,1,4,L,,17,10,1,L 2,,42,2,0,6,0,,36,12,0,1,0,"14,282",2:26,
29,12/8/2017,7:00 PM,@,New Jersey Devils,5,3,W,,18,10,1,W 1,,28,8,1,2,0,,24,2,0,4,0,"16,514",2:32,
30,12/9/2017,7:00 PM,,Arizona Coyotes,1,0,W,,19,10,1,W 2,,34,8,0,2,0,,35,4,,4,,"17,785",2:27,
31,12/12/2017,7:00 PM,,Edmonton Oilers,2,7,L,,19,11,1,L 1,,29,18,0,2,0,,38,14,2,4,1,"14,767",2:26,
32,12/14/2017,7:00 PM,,New York Islanders,6,4,W,,20,11,1,W 1,,35,6,1,2,0,,25,4,1,4,0,"15,696",2:29,
33,12/16/2017,7:00 PM,@,Carolina Hurricanes,1,2,L,,20,12,1,L 1,,36,4,0,4,0,,24,8,0,2,0,"11,357",2:23,
34,12/18/2017,7:00 PM,@,Boston Bruins,2,7,L,,20,13,1,L 2,,18,17,1,5,0,,45,19,2,4,0,"17,565",2:35,
35,12/20/2017,7:30 PM,,Toronto Maple Leafs,4,2,W,,21,13,1,W 1,,37,4,1,2,0,,41,6,0,1,0,"17,708",2:27,
36,12/21/2017,7:00 PM,@,Pittsburgh Penguins,2,3,L,SO,21,13,2,L 1,,32,35,1,4,0,,41,24,2,5,0,"18,625",2:53,
37,12/23/2017,7:00 PM,,Philadelphia Flyers,2,1,W,SO,22,13,2,W 1,,36,6,1,3,0,,31,4,0,3,0,"17,812",2:44,
38,12/27/2017,7:00 PM,@,Pittsburgh Penguins,4,5,L,SO,22,13,3,L 1,,33,8,0,3,0,,37,6,2,4,0,"18,652",2:46,
39,12/29/2017,7:30 PM,@,Ottawa Senators,4,5,L,,22,14,3,L 2,,25,2,1,5,0,,28,10,0,1,0,"17,031",2:24,
40,12/31/2017,6:00 PM,,Tampa Bay Lightning,0,5,L,,22,15,3,L 3,,21,8,0,4,0,,35,8,1,5,0,"18,878",2:27,
41,1/2/2018,8:30 PM,@,Dallas Stars,2,1,W,,23,15,3,W 1,,26,0,0,1,0,,22,2,0,0,0,"17,235",2:29,
42,1/4/2018,9:00 PM,@,Colorado Avalanche,0,2,L,,23,16,3,L 1,,34,8,0,3,0,,32,6,1,3,0,"13,763",2:27,
43,1/7/2018,5:00 PM,,Florida Panthers,3,2,W,SO,24,16,3,W 1,,48,8,2,4,0,,44,10,1,3,0,"16,535",2:55,
44,1/8/2018,7:00 PM,@,Toronto Maple Leafs,3,2,W,OT,25,16,3,W 2,,33,4,0,3,0,,37,6,1,2,0,"18,933",2:29,
45,1/11/2018,7:00 PM,@,Buffalo Sabres,1,3,L,,25,17,3,L 1,,45,2,1,1,0,,29,4,0,0,0,"18,071",2:33,
46,1/12/2018,7:00 PM,,Vancouver Canucks,2,5,L,,25,18,3,L 2,,29,6,1,2,0,,29,4,2,3,0,"16,705",2:30,
47,1/18/2018,7:00 PM,,Dallas Stars,2,1,W,SO,26,18,3,W 1,,26,8,0,2,0,,36,6,0,4,0,"17,574",2:41,
48,1/23/2018,10:00 PM,@,Vegas Golden Knights,3,6,L,,26,19,3,L 1,,32,8,0,3,0,,38,8,2,3,0,"18,231",2:35,
49,1/25/2018,9:00 PM,@,Arizona Coyotes,2,1,W,,27,19,3,W 1,,27,4,1,1,0,,39,4,1,1,0,"12,281",2:26,
50,1/30/2018,7:00 PM,,Minnesota Wild,2,3,L,SO,27,19,4,L 1,,30,4,1,3,0,,43,6,1,2,0,"17,734",2:45,
51,2/2/2018,7:00 PM,,San Jose Sharks,1,3,L,,27,20,4,L 2,,29,8,0,1,0,,28,4,2,3,0,"16,867",2:27,
52,2/3/2018,7:00 PM,@,New York Islanders,3,4,L,,27,21,4,L 3,,49,6,1,3,0,,38,8,1,2,0,"13,597",2:36,
53,2/6/2018,7:00 PM,,Washington Capitals,2,3,L,,27,22,4,L 4,,39,7,0,3,0,,25,11,1,1,0,"16,419",2:25,
54,2/9/2018,7:00 PM,@,Washington Capitals,2,4,L,,27,23,4,L 5,,37,8,0,3,0,,17,6,1,4,0,"18,506",2:27,
55,2/10/2018,7:00 PM,,New Jersey Devils,6,1,W,,28,23,4,W 1,,50,4,1,5,0,,35,12,0,1,0,"18,510",2:37,
56,2/13/2018,7:00 PM,@,New York Islanders,4,1,W,,29,23,4,W 2,,51,8,2,4,0,,30,10,1,3,0,"10,232",2:29,
