,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,8:30 PM,,Vegas Golden Knights,1,2,L,,0,1,0,L 1,,46,16,1,4,0,,30,10,0,7,0,"18,532",2:41,
2,10/7/2017,8:00 PM,@,St. Louis Blues,2,4,L,,0,2,0,L 2,,40,6,1,4,0,,21,10,1,2,0,"18,858",2:32,
3,10/10/2017,8:30 PM,,Detroit Red Wings,4,2,W,,1,2,0,W 1,,33,10,1,3,0,,25,8,1,5,0,"18,119",2:42,
4,10/12/2017,8:00 PM,@,Nashville Predators,1,4,L,,1,3,0,L 1,,31,14,1,1,0,,31,7,1,3,0,"17,113",2:32,
5,10/14/2017,8:00 PM,,Colorado Avalanche,3,1,W,,2,3,0,W 1,,36,13,1,6,0,,23,17,0,4,0,"17,967",2:33,
6,10/17/2017,8:30 PM,,Arizona Coyotes,3,1,W,,3,3,0,W 2,,34,9,0,1,0,,28,7,0,2,0,"16,007",2:27,
7,10/19/2017,10:00 PM,@,Arizona Coyotes,5,4,W,,4,3,0,W 3,,30,8,1,2,0,,31,4,0,4,0,"11,225",2:28,
8,10/21/2017,8:00 PM,,Carolina Hurricanes,4,3,W,,5,3,0,W 4,,26,6,0,2,0,,39,4,0,3,0,"18,023",2:29,
9,10/24/2017,9:00 PM,@,Colorado Avalanche,3,5,L,,5,4,0,L 1,,37,6,0,3,0,,33,6,0,3,0,"12,823",2:30,
10,10/26/2017,9:00 PM,@,Edmonton Oilers,4,5,L,,5,5,0,L 2,,32,11,3,5,0,,35,15,0,3,0,"18,347",2:39,
11,10/27/2017,9:00 PM,@,Calgary Flames,2,1,W,,6,5,0,W 1,,24,6,2,3,0,,30,8,0,2,0,"18,873",2:32,
12,10/30/2017,10:00 PM,@,Vancouver Canucks,2,1,W,OT,7,5,0,W 2,,29,8,1,5,0,,39,10,1,4,0,"17,109",2:34,
