,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:30 PM,,Minnesota Wild,4,2,W,,1,0,0,W 1,,31,6,2,5,0,,39,10,0,4,0,"19,515",2:39,
2,10/7/2017,7:00 PM,@,Ottawa Senators,2,1,W,SO,2,0,0,W 2,,30,12,0,4,0,,38,8,0,7,0,"14,883",2:44,
3,10/10/2017,8:30 PM,@,Dallas Stars,2,4,L,,2,1,0,L 1,,25,8,1,5,0,,33,10,1,3,0,"18,119",2:42,
4,10/12/2017,10:00 PM,@,Arizona Coyotes,4,2,W,,3,1,0,W 1,,33,17,1,3,1,,35,11,1,6,0,"13,584",2:36,
5,10/13/2017,10:30 PM,@,Vegas Golden Knights,6,3,W,,4,1,0,W 2,,27,13,0,1,0,,27,9,0,3,0,"17,645",2:26,
6,10/16/2017,7:30 PM,,Tampa Bay Lightning,2,3,L,,4,2,0,L 1,,31,10,0,6,0,,26,12,1,5,1,"19,515",2:41,
7,10/18/2017,7:30 PM,@,Toronto Maple Leafs,3,6,L,,4,3,0,L 2,,33,6,0,3,0,,26,6,1,2,0,"19,158",2:34,
8,10/20/2017,7:30 PM,,Washington Capitals,3,4,L,OT,4,3,1,L 3,,37,10,1,5,1,,41,10,2,5,1,"19,515",2:36,
9,10/22/2017,7:00 PM,,Vancouver Canucks,1,4,L,,4,4,1,L 4,,21,4,0,1,0,,37,2,0,2,0,"19,515",2:27,
10,10/24/2017,7:30 PM,@,Buffalo Sabres,0,1,L,,4,5,1,L 5,,32,10,0,2,0,,32,6,0,4,0,"16,882",2:32,
11,10/26/2017,7:30 PM,@,Tampa Bay Lightning,2,3,L,,4,6,1,L 6,,31,12,1,5,1,,38,12,2,6,0,"19,092",2:27,
12,10/28/2017,7:00 PM,@,Florida Panthers,3,2,W,SO,5,6,1,W 1,,38,17,0,3,0,,46,9,1,6,0,"13,085",2:59,
13,10/31/2017,7:30 PM,,Arizona Coyotes,5,3,W,,6,6,1,W 2,,40,2,0,1,0,,33,2,0,2,0,"19,515",2:31,
14,11/2/2017,7:30 PM,@,Ottawa Senators,1,3,L,,6,7,1,L 1,,25,6,1,2,0,,30,6,1,2,0,"14,724",2:28,
15,11/5/2017,4:00 PM,@,Edmonton Oilers,4,0,W,,7,7,1,W 1,,35,4,1,2,0,,36,4,,2,,"18,347",2:28,
16,11/6/2017,10:00 PM,@,Vancouver Canucks,3,2,W,,8,7,1,W 2,,29,6,1,2,0,,28,6,0,2,0,"17,836",2:38,
17,11/9/2017,9:00 PM,@,Calgary Flames,3,6,L,,8,8,1,L 1,,42,9,1,3,0,,34,11,0,2,0,"18,788",2:33,
18,11/11/2017,7:00 PM,,Columbus Blue Jackets,1,2,L,SO,8,8,2,L 2,,33,4,0,0,0,,32,0,0,2,0,"19,515",2:39,
19,11/15/2017,7:30 PM,,Calgary Flames,8,2,W,,9,8,2,W 1,,27,64,4,6,1,,28,67,1,5,0,"19,515",2:37,
20,11/17/2017,7:30 PM,,Buffalo Sabres,3,1,W,,10,8,2,W 2,,33,4,0,5,0,,20,10,0,2,0,"19,515",2:27,
21,11/19/2017,6:00 PM,,Colorado Avalanche,3,4,L,OT,10,8,3,L 1,,24,12,1,3,0,,37,6,1,6,0,"19,515",2:39,
22,11/22/2017,7:00 PM,,Edmonton Oilers,2,6,L,,10,9,3,L 2,,22,2,1,2,0,,28,2,0,1,0,"19,515",2:26,
23,11/24/2017,7:00 PM,@,New York Rangers,1,2,L,OT,10,9,4,L 3,,41,4,1,4,0,,31,8,0,2,0,"18,006",2:41,
24,11/25/2017,7:00 PM,,New Jersey Devils,3,4,L,OT,10,9,5,L 4,,34,6,0,2,0,,32,4,1,3,0,"19,515",2:53,
25,11/28/2017,7:30 PM,,Los Angeles Kings,1,4,L,,10,10,5,L 5,,24,8,0,3,0,,36,6,1,4,0,"19,515",2:22,
26,11/30/2017,7:30 PM,,Montreal Canadiens,3,6,L,,10,11,5,L 6,,31,8,2,4,0,,25,8,2,4,0,"19,515",2:29,
27,12/2/2017,7:00 PM,@,Montreal Canadiens,1,10,L,,10,12,5,L 7,,23,6,0,1,0,,34,4,1,2,1,"21,302",2:28,
28,12/5/2017,7:30 PM,,Winnipeg Jets,5,1,W,,11,12,5,W 1,,32,12,0,6,0,,26,12,1,6,0,"19,515",2:32,
29,12/9/2017,1:00 PM,,St. Louis Blues,1,6,L,,11,13,5,L 1,,29,6,0,3,0,,22,6,0,3,0,"19,515",2:22,
30,12/11/2017,7:30 PM,,Florida Panthers,1,2,L,OT,11,13,6,L 2,,35,21,0,3,0,,29,23,1,2,0,"19,515",2:46,
31,12/13/2017,8:00 PM,,Boston Bruins,2,3,L,OT,11,13,7,L 3,,33,4,1,3,1,,32,6,0,3,0,"19,515",2:34,
32,12/15/2017,7:30 PM,,Toronto Maple Leafs,3,1,W,,12,13,7,W 1,,29,6,1,4,1,,26,8,0,3,0,"19,515",2:26,
33,12/19/2017,7:00 PM,@,New York Islanders,6,3,W,,13,13,7,W 2,,22,6,1,1,0,,37,2,2,3,0,"10,511",2:30,
34,12/20/2017,8:00 PM,@,Philadelphia Flyers,3,4,L,,13,14,7,L 1,,28,4,2,3,0,,31,8,1,1,0,"19,674",2:37,
35,12/23/2017,1:00 PM,@,Boston Bruins,1,3,L,,13,15,7,L 2,,31,2,0,2,1,,26,4,1,2,0,"17,565",2:27,
36,12/27/2017,7:00 PM,@,New Jersey Devils,1,3,L,,13,16,7,L 3,,32,4,0,5,0,,32,8,0,2,0,"16,514",2:26,
37,12/29/2017,7:30 PM,,New York Rangers,3,2,W,SO,14,16,7,W 1,,35,8,0,5,0,,39,10,0,4,0,"19,515",2:52,
38,12/31/2017,7:00 PM,,Pittsburgh Penguins,4,1,W,,15,16,7,W 2,,23,6,0,1,0,,38,2,1,3,0,"19,515",2:36,
39,1/3/2018,7:30 PM,,Ottawa Senators,2,1,W,OT,16,16,7,W 3,,35,4,0,1,0,,34,2,0,2,0,"19,515",2:35,
40,1/5/2018,7:30 PM,,Florida Panthers,4,2,W,,17,16,7,W 4,,19,4,1,2,0,,40,6,0,1,0,"19,515",2:34,
41,1/7/2018,7:00 PM,,Tampa Bay Lightning,2,5,L,,17,17,7,L 1,,36,12,0,4,0,,24,20,0,0,0,"19,515",2:38,
42,1/13/2018,1:00 PM,@,Pittsburgh Penguins,1,4,L,,17,18,7,L 2,,30,10,1,7,0,,36,14,2,5,0,"18,637",2:26,
43,1/14/2018,12:30 PM,@,Chicago Blackhawks,4,0,W,,18,18,7,W 1,,26,6,0,4,0,,27,8,,3,,"21,830",2:18,
44,1/16/2018,7:30 PM,,Dallas Stars,2,4,L,,18,19,7,L 1,,15,11,0,2,0,,26,11,2,3,0,"19,515",2:29,
45,1/20/2018,7:00 PM,,Carolina Hurricanes,1,3,L,,18,20,7,L 2,,24,6,1,2,0,,30,4,2,3,0,"19,515",2:25,
46,1/22/2018,7:00 PM,@,New Jersey Devils,3,0,W,,19,20,7,W 1,,30,10,0,2,0,,37,4,,5,,"13,847",2:30,
47,1/23/2018,7:30 PM,,Philadelphia Flyers,2,3,L,OT,19,20,8,L 1,,21,4,0,2,0,,31,4,1,2,0,"19,515",2:30,
48,1/25/2018,7:30 PM,,Chicago Blackhawks,1,5,L,,19,21,8,L 2,,24,4,1,1,0,,28,2,0,2,0,"19,515",2:21,
49,1/31/2018,8:00 PM,,San Jose Sharks,2,1,W,SO,20,21,8,W 1,,44,4,0,3,0,,31,6,0,2,0,"19,515",2:46,
50,2/2/2018,7:00 PM,@,Carolina Hurricanes,4,1,W,,21,21,8,W 2,,38,4,0,3,0,,37,6,1,2,0,"18,126",2:21,
51,2/3/2018,7:00 PM,@,Florida Panthers,2,3,L,,21,22,8,L 1,,28,13,0,2,0,,33,13,0,3,0,"17,987",3:04,
52,2/6/2018,7:30 PM,,Boston Bruins,2,3,L,,21,23,8,L 2,,28,6,1,2,0,,31,6,0,2,0,"19,515",2:26,
53,2/9/2018,7:00 PM,@,New York Islanders,6,7,L,OT,21,23,9,L 3,,39,19,1,2,0,,29,7,4,7,0,"11,847",2:42,
54,2/11/2018,3:00 PM,@,Washington Capitals,5,4,W,OT,22,23,9,W 1,,29,6,0,3,0,,27,6,2,3,0,"18,506",2:30,
55,2/13/2018,7:30 PM,,Anaheim Ducks,2,1,W,,23,23,9,W 2,,16,8,0,2,0,,33,4,0,4,0,"19,515",2:25,
56,2/15/2018,7:30 PM,@,Tampa Bay Lightning,1,4,L,,23,24,9,L 1,,39,8,1,3,0,,32,6,2,4,0,"19,092",2:31,
57,2/17/2018,8:00 PM,@,Nashville Predators,3,1,W,,24,24,9,W 1,,34,10,0,2,0,,32,6,1,5,0,"17,561",2:34,
58,2/18/2018,7:00 PM,,Toronto Maple Leafs,2,3,L,,24,25,9,L 1,,29,4,1,1,0,,34,2,0,2,0,"19,515",2:33,
59,2/20/2018,7:30 PM,,Nashville Predators,2,3,L,,24,26,9,L 2,,36,2,0,3,0,,29,16,0,1,0,"19,515",2:32,
60,2/22/2018,7:30 PM,,Buffalo Sabres,2,3,L,OT,24,26,10,L 3,,37,6,1,3,0,,30,6,1,3,0,"19,515",2:41,
61,2/24/2018,7:00 PM,,Carolina Hurricanes,3,1,W,,25,26,10,W 1,,22,8,1,4,0,,29,8,0,4,0,"19,515",2:34,
62,2/25/2018,7:30 PM,@,New York Rangers,3,2,W,OT,26,26,10,W 2,,34,4,0,3,0,,38,6,1,2,0,"18,006",2:48,
63,2/28/2018,8:00 PM,@,St. Louis Blues,1,2,L,,26,27,10,L 1,,36,6,0,2,0,,25,8,0,1,0,"18,813",2:30,
64,3/2/2018,8:00 PM,@,Winnipeg Jets,3,4,L,,26,28,10,L 2,,33,6,1,1,0,,42,2,0,3,0,"15,321",2:33,
65,3/4/2018,7:00 PM,@,Minnesota Wild,1,4,L,,26,29,10,L 3,,29,13,0,2,0,,27,11,1,3,0,"19,037",2:26,
66,3/6/2018,7:00 PM,@,Boston Bruins,5,6,L,OT,26,29,11,L 4,,35,15,1,5,0,,37,17,2,4,0,"17,565",2:43,
67,3/8/2018,7:30 PM,,Vegas Golden Knights,0,4,L,,26,30,11,L 5,,28,8,0,3,0,,32,6,0,4,1,"19,515",2:19,
68,3/9/2018,7:00 PM,@,Columbus Blue Jackets,2,3,L,,26,31,11,L 6,,24,4,0,2,0,,36,4,0,2,1,"17,284",2:23,
69,3/12/2018,10:30 PM,@,San Jose Sharks,3,5,L,,26,32,11,L 7,,26,6,0,2,0,,34,4,1,3,0,"17,199",2:25,
70,3/15/2018,10:00 PM,@,Los Angeles Kings,1,4,L,,26,33,11,L 8,,21,8,1,2,0,,22,6,1,4,0,"18,230",2:29,
71,3/16/2018,10:00 PM,@,Anaheim Ducks,2,4,L,,26,34,11,L 9,,30,19,0,5,0,,36,23,0,2,0,"17,243",2:40,
72,3/18/2018,3:00 PM,@,Colorado Avalanche,1,5,L,,26,35,11,L 10,,38,18,0,3,0,,31,6,1,4,0,"18,032",2:30,
73,3/20/2018,7:30 PM,,Philadelphia Flyers,5,4,W,SO,27,35,11,W 1,,31,8,0,1,1,,31,2,2,4,0,"19,515",2:44,
74,3/22/2018,7:30 PM,,Washington Capitals,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,@,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
76,3/26/2018,7:30 PM,@,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
77,3/27/2018,7:30 PM,,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,,,
78,3/29/2018,7:00 PM,@,Buffalo Sabres,,,,,,,,,,,,,,,,,,,,,,,
79,3/31/2018,2:00 PM,,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/2018,7:00 PM,@,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
81,4/5/2018,7:30 PM,,Montreal Canadiens,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,7:00 PM,,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
