,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,10:00 PM,,Calgary Flames,3,0,W,,1,0,0,W 1,,45,7,0,2,0,,27,9,,1,,"18,347",2:34,
2,10/7/2017,10:00 PM,@,Vancouver Canucks,2,3,L,,1,1,0,L 1,,35,19,1,5,0,,26,13,1,7,0,"18,865",2:36,
3,10/9/2017,9:00 PM,,Winnipeg Jets,2,5,L,,1,2,0,L 2,,39,8,0,2,0,,43,4,1,4,0,"18,347",2:34,
4,10/14/2017,10:00 PM,,Ottawa Senators,1,6,L,,1,3,0,L 3,,36,27,0,3,0,,31,13,3,5,0,"18,347",2:30,
5,10/17/2017,9:00 PM,,Carolina Hurricanes,3,5,L,,1,4,0,L 4,,51,8,2,7,0,,21,10,2,5,1,"18,347",2:28,
6,10/19/2017,8:30 PM,@,Chicago Blackhawks,2,1,W,OT,2,4,0,W 1,,42,10,1,2,0,,31,4,0,5,0,"21,444",2:37,
7,10/21/2017,1:00 PM,@,Philadelphia Flyers,1,2,L,,2,5,0,L 1,,24,6,0,3,0,,24,6,1,2,0,"19,510",2:21,
8,10/24/2017,7:00 PM,@,Pittsburgh Penguins,1,2,L,OT,2,5,1,L 2,,30,11,0,2,0,,44,9,0,3,0,"18,625",2:27,
9,10/26/2017,9:00 PM,,Dallas Stars,5,4,W,,3,5,1,W 1,,35,15,0,3,0,,32,11,3,5,0,"18,347",2:39,
10,10/28/2017,10:00 PM,,Washington Capitals,2,5,L,,3,6,1,L 1,,40,2,0,4,0,,31,10,0,0,0,"18,347",2:27,
11,11/1/2017,8:30 PM,,Pittsburgh Penguins,2,3,L,,3,7,1,L 2,,37,8,1,5,0,,30,10,2,4,0,"18,347",2:35,
12,11/3/2017,9:00 PM,,New Jersey Devils,6,3,W,,4,7,1,W 1,,42,5,1,1,0,,34,7,0,0,0,"18,347",2:31,
13,11/5/2017,4:00 PM,,Detroit Red Wings,0,4,L,,4,8,1,L 1,,36,4,0,2,0,,35,4,1,2,0,"18,347",2:28,
14,11/7/2017,7:00 PM,@,New York Islanders,2,1,W,OT,5,8,1,W 1,,25,6,0,2,0,,37,4,0,3,0,"12,281",2:28,
15,11/9/2017,7:00 PM,@,New Jersey Devils,3,2,W,OT,6,8,1,W 2,,32,8,0,2,0,,34,2,0,4,0,"16,514",2:40,
16,11/11/2017,1:00 PM,@,New York Rangers,2,4,L,,6,9,1,L 1,,29,6,1,2,0,,34,4,2,3,0,"18,006",2:32,
17,11/12/2017,7:00 PM,@,Washington Capitals,1,2,L,SO,6,9,2,L 2,,30,23,0,0,0,,19,7,0,3,0,"18,506",2:38,
18,11/14/2017,9:00 PM,,Vegas Golden Knights,8,2,W,,7,9,2,W 1,,31,10,3,3,1,,24,8,0,4,0,"18,347",2:31,
19,11/16/2017,9:00 PM,,St. Louis Blues,1,4,L,,7,10,2,L 1,,30,27,1,3,0,,39,15,1,4,1,"18,347",2:27,
20,11/18/2017,2:00 PM,@,Dallas Stars,3,6,L,,7,11,2,L 2,,30,38,1,3,1,,21,30,1,6,0,"18,312",2:35,
21,11/21/2017,8:00 PM,@,St. Louis Blues,3,8,L,,7,12,2,L 3,,29,11,0,1,0,,40,7,1,3,0,"18,819",2:27,
22,11/22/2017,7:00 PM,@,Detroit Red Wings,6,2,W,,8,12,2,W 1,,28,2,0,1,0,,22,2,1,2,0,"19,515",2:26,
23,11/24/2017,7:00 PM,@,Buffalo Sabres,1,3,L,,8,13,2,L 1,,30,6,0,3,0,,31,6,0,3,0,"19,070",2:39,
24,11/26/2017,5:00 PM,@,Boston Bruins,4,2,W,,9,13,2,W 1,,36,4,0,2,0,,25,4,1,2,0,"17,565",2:20,
25,11/28/2017,9:00 PM,,Arizona Coyotes,3,2,W,OT,10,13,2,W 2,,27,6,0,3,0,,31,8,1,2,0,"18,347",2:45,
26,11/30/2017,9:00 PM,,Toronto Maple Leafs,4,6,L,,10,14,2,L 1,,45,9,0,2,0,,36,9,2,2,0,"18,347",2:35,
27,12/2/2017,10:00 PM,@,Calgary Flames,7,5,W,,11,14,2,W 1,,33,12,0,2,1,,34,6,1,6,1,"19,289",2:38,
28,12/6/2017,9:30 PM,,Philadelphia Flyers,2,4,L,,11,15,2,L 1,,26,8,0,2,1,,33,4,1,4,0,"18,347",2:29,
29,12/9/2017,7:00 PM,@,Montreal Canadiens,6,2,W,,12,15,2,W 1,,40,11,2,4,0,,24,13,1,3,0,"21,302",2:31,
30,12/10/2017,7:00 PM,@,Toronto Maple Leafs,0,1,L,,12,16,2,L 1,,41,4,0,4,0,,23,8,0,2,0,"19,486",2:18,
