,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,7:30 PM,@,Tampa Bay Lightning,3,5,L,,0,1,0,L 1,,36,6,0,4,0,,25,8,1,3,0,"19,092",2:32,
2,10/7/2017,7:00 PM,,Tampa Bay Lightning,5,4,W,,1,1,0,W 1,,48,23,1,4,0,,30,19,1,6,0,"16,871",2:46,
3,10/12/2017,7:30 PM,,St. Louis Blues,5,2,W,,2,1,0,W 2,,38,25,1,5,1,,39,23,1,5,0,"10,846",2:43,
4,10/14/2017,7:00 PM,@,Pittsburgh Penguins,3,4,L,,2,2,0,L 1,,46,4,1,5,0,,33,10,1,3,1,"18,582",2:37,
5,10/17/2017,7:00 PM,@,Philadelphia Flyers,1,5,L,,2,3,0,L 2,,41,13,1,6,0,,38,17,1,4,0,"19,145",2:34,
6,10/20/2017,7:30 PM,,Pittsburgh Penguins,3,4,L,,2,4,0,L 3,,31,8,0,2,0,,48,4,3,4,0,"15,756",2:41,
7,10/21/2017,7:30 PM,@,Washington Capitals,4,1,W,,3,4,0,W 1,,23,8,2,6,1,,42,12,0,4,0,"18,506",2:41,
8,10/24/2017,7:30 PM,@,Montreal Canadiens,1,5,L,,3,5,0,L 1,,27,8,0,2,0,,37,4,2,4,0,"21,302",2:27,
9,10/26/2017,7:30 PM,,Anaheim Ducks,8,3,W,,4,5,0,W 1,,22,11,1,3,1,,34,11,0,3,0,"10,545",2:33,
10,10/28/2017,7:00 PM,,Detroit Red Wings,2,3,L,SO,4,5,1,L 1,,46,9,1,6,0,,38,17,0,3,0,"13,085",2:59,
11,10/30/2017,7:30 PM,,Tampa Bay Lightning,5,8,L,,4,6,1,L 2,,23,15,0,3,0,,38,11,2,5,0,"9,493",2:40,
12,11/2/2017,7:30 PM,,Columbus Blue Jackets,3,7,L,,4,7,1,L 3,,34,12,0,1,1,,40,6,2,4,0,"9,311",2:34,
13,11/4/2017,7:00 PM,,New York Rangers,4,5,L,OT,4,7,2,L 4,,34,6,0,2,0,,44,2,1,3,0,"15,036",2:37,
14,11/7/2017,7:00 PM,@,Carolina Hurricanes,1,3,L,,4,8,2,L 5,,31,12,1,2,0,,48,6,0,5,0,"8,828",2:29,
15,11/10/2017,7:00 PM,@,Buffalo Sabres,4,1,W,,5,8,2,W 1,,31,15,0,3,0,,25,15,1,2,0,"17,812",2:33,
16,11/11/2017,7:00 PM,@,New Jersey Devils,1,2,L,,5,9,2,L 1,,33,8,0,4,0,,21,10,1,2,0,"16,514",2:24,
17,11/14/2017,7:30 PM,,Dallas Stars,4,3,W,SO,6,9,2,W 1,,29,11,2,5,0,,43,17,0,2,0,"10,928",2:45,
18,11/16/2017,10:30 PM,@,San Jose Sharks,2,0,W,,7,9,2,W 2,,28,4,0,1,0,,35,2,,2,,"16,411",2:34,
19,11/18/2017,4:00 PM,@,Los Angeles Kings,0,4,L,,7,10,2,L 1,,24,2,0,2,0,,20,6,0,0,0,"18,230",2:29,
