,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,10:00 PM,,Philadelphia Flyers,2,0,W,,1,0,0,W 1,,27,10,0,5,0,,35,10,,5,,"18,230",2:37,
2,10/7/2017,10:30 PM,@,San Jose Sharks,4,1,W,,2,0,0,W 2,,38,8,0,6,0,,25,12,0,4,0,"17,562",2:31,
3,10/11/2017,10:30 PM,,Calgary Flames,3,4,L,OT,2,0,1,L 1,,45,14,0,5,0,,37,12,1,6,0,"18,230",2:40,
4,10/14/2017,10:30 PM,,Buffalo Sabres,4,2,W,,3,0,1,W 1,,30,6,3,3,0,,25,6,0,3,0,"18,230",2:31,
5,10/15/2017,10:30 PM,,New York Islanders,3,2,W,,4,0,1,W 2,,27,4,1,3,1,,25,4,0,2,0,"18,230",2:22,
6,10/18/2017,10:30 PM,,Montreal Canadiens,5,1,W,,5,0,1,W 3,,42,8,1,3,0,,37,6,0,4,0,"18,230",2:39,
7,10/21/2017,7:00 PM,@,Columbus Blue Jackets,6,4,W,,6,0,1,W 4,,32,6,0,2,0,,36,4,1,3,0,"15,329",2:36,
8,10/23/2017,7:00 PM,@,Toronto Maple Leafs,2,3,L,,6,1,1,L 1,,38,21,0,2,1,,34,13,1,6,0,"19,235",2:43,
9,10/24/2017,7:30 PM,@,Ottawa Senators,3,2,W,SO,7,1,1,W 1,,43,2,0,2,0,,30,4,0,1,1,"14,034",2:45,
10,10/26/2017,7:30 PM,@,Montreal Canadiens,4,0,W,,8,1,1,W 2,,28,10,0,1,0,,40,2,,5,,"21,302",2:34,
11,10/28/2017,7:00 PM,@,Boston Bruins,2,1,W,OT,9,1,1,W 3,,30,6,0,2,0,,30,6,0,2,0,"17,565",2:47,
12,10/30/2017,8:00 PM,@,St. Louis Blues,2,4,L,,9,2,1,L 1,,28,4,1,4,0,,30,8,0,2,0,"17,423",2:33,
13,11/2/2017,10:30 PM,,Toronto Maple Leafs,5,3,W,,10,2,1,W 1,,28,10,2,4,0,,36,10,1,4,0,"18,230",2:36,
14,11/4/2017,10:30 PM,,Nashville Predators,3,4,L,OT,10,2,2,L 1,,39,14,1,4,0,,31,28,0,2,0,"18,230",2:45,
15,11/7/2017,10:00 PM,@,Anaheim Ducks,4,3,W,OT,11,2,2,W 1,,43,30,1,7,0,,36,19,0,5,0,"16,637",2:50,
16,11/9/2017,10:30 PM,,Tampa Bay Lightning,2,5,L,,11,3,2,L 1,,24,14,0,3,0,,43,10,1,5,0,"18,230",2:38,
17,11/12/2017,10:30 PM,,San Jose Sharks,1,2,L,,11,4,2,L 2,,27,6,1,4,0,,33,8,0,3,0,"18,230",2:28,
18,11/14/2017,10:30 PM,,Vancouver Canucks,2,3,L,,11,5,2,L 3,,32,11,1,5,0,,27,13,2,3,0,"18,230",2:37,
19,11/16/2017,10:30 PM,,Boston Bruins,1,2,L,,11,6,2,L 4,,28,10,1,4,0,,30,12,0,3,0,"18,230",2:36,
20,11/18/2017,4:00 PM,,Florida Panthers,4,0,W,,12,6,2,W 1,,20,6,0,0,0,,24,2,,2,,"18,230",2:29,
21,11/19/2017,8:00 PM,@,Vegas Golden Knights,2,4,L,,12,7,2,L 1,,29,2,0,1,0,,40,2,0,1,0,"18,211",2:31,
22,11/22/2017,10:30 PM,,Winnipeg Jets,1,2,L,,12,8,2,L 2,,39,8,1,5,0,,27,10,1,4,0,"18,230",2:38,
23,11/24/2017,9:00 PM,@,Arizona Coyotes,2,3,L,OT,12,8,3,L 3,,25,8,0,1,0,,33,2,1,4,0,"12,285",2:33,
24,11/25/2017,10:30 PM,,Anaheim Ducks,2,1,W,SO,13,8,3,W 1,,34,17,0,4,0,,26,23,0,2,0,"18,230",2:55,
25,11/28/2017,7:30 PM,@,Detroit Red Wings,4,1,W,,14,8,3,W 2,,36,6,1,4,0,,24,8,0,3,0,"19,515",2:22,
26,11/30/2017,7:00 PM,@,Washington Capitals,5,2,W,,15,8,3,W 3,,27,4,0,2,0,,29,2,0,2,0,"18,506",2:21,
27,12/1/2017,8:00 PM,@,St. Louis Blues,4,1,W,,16,8,3,W 4,,28,10,0,4,0,,40,8,1,5,0,"18,322",2:29,
28,12/3/2017,7:00 PM,@,Chicago Blackhawks,3,1,W,,17,8,3,W 5,,24,6,0,1,0,,25,0,0,4,0,"21,622",2:27,
29,12/5/2017,10:00 PM,,Minnesota Wild,5,2,W,,18,8,3,W 6,,28,7,1,3,0,,21,11,0,1,0,"18,230",2:34,
30,12/7/2017,10:30 PM,,Ottawa Senators,4,3,W,OT,19,8,3,W 7,,38,8,0,1,0,,40,2,1,4,0,"18,230",2:37,
31,12/9/2017,10:30 PM,,Carolina Hurricanes,3,2,W,OT,20,8,3,W 8,,21,6,0,1,0,,34,2,1,3,0,"18,230",2:31,
32,12/12/2017,7:00 PM,@,New Jersey Devils,1,5,L,,20,9,3,L 1,,17,6,0,3,0,,26,8,1,2,1,"13,275",2:23,
33,12/15/2017,7:00 PM,@,New York Rangers,2,4,L,,20,10,3,L 2,,35,6,0,1,0,,28,2,1,3,0,"17,756",2:24,
34,12/16/2017,7:00 PM,@,New York Islanders,3,4,L,OT,20,10,4,L 3,,29,15,1,3,0,,33,11,1,5,0,"13,087",2:40,
35,12/18/2017,7:00 PM,@,Philadelphia Flyers,4,1,W,,21,10,4,W 1,,25,14,0,2,0,,37,6,1,6,0,"19,617",2:24,
36,12/21/2017,10:30 PM,,Colorado Avalanche,2,1,W,OT,22,10,4,W 2,,27,6,0,3,0,,32,6,0,2,0,"18,230",2:30,
37,12/23/2017,10:00 PM,@,San Jose Sharks,0,2,L,,22,11,4,L 1,,28,16,0,2,0,,31,12,1,5,0,"17,562",2:30,
38,12/28/2017,10:00 PM,,Vegas Golden Knights,2,3,L,OT,22,11,5,L 2,,28,12,0,1,0,,39,4,0,5,0,"18,432",2:29,
39,12/30/2017,10:00 PM,@,Vancouver Canucks,4,3,W,,23,11,5,W 1,,36,2,1,2,0,,25,4,0,1,0,"18,865",2:35,
40,1/2/2018,9:30 PM,@,Edmonton Oilers,5,0,W,,24,11,5,W 2,,33,11,3,6,0,,32,19,,3,,"18,347",2:31,
41,1/4/2018,9:00 PM,@,Calgary Flames,3,4,L,,24,12,5,L 1,,31,8,0,2,0,,41,4,0,4,0,"19,206",2:35,
42,1/6/2018,10:30 PM,,Nashville Predators,3,4,L,,24,13,5,L 2,,29,12,1,4,0,,20,10,1,5,0,"18,230",2:35,
43,1/13/2018,10:30 PM,,Anaheim Ducks,2,4,L,,24,14,5,L 3,,25,19,0,2,0,,22,19,1,2,0,"18,443",2:26,
44,1/15/2018,4:00 PM,,San Jose Sharks,1,4,L,,24,15,5,L 4,,36,4,0,1,0,,33,4,0,1,0,"18,230",2:23,
45,1/18/2018,10:00 PM,,Pittsburgh Penguins,1,3,L,,24,16,5,L 5,,29,23,0,2,0,,31,6,1,5,0,"18,230",2:29,
46,1/19/2018,10:00 PM,@,Anaheim Ducks,1,2,L,,24,17,5,L 6,,24,4,0,1,0,,31,2,0,2,0,"17,258",2:30,
47,1/21/2018,10:30 PM,,New York Rangers,4,2,W,,25,17,5,W 1,,30,23,3,3,0,,23,21,1,4,0,"18,230",2:31,
48,1/23/2018,10:00 PM,@,Vancouver Canucks,2,6,L,,25,18,5,L 1,,32,12,1,5,0,,35,10,3,7,0,"18,865",2:42,
49,1/24/2018,10:00 PM,@,Calgary Flames,2,1,W,OT,26,18,5,W 1,,27,12,1,5,0,,31,20,0,5,0,"19,004",2:39,
50,1/30/2018,8:30 PM,@,Dallas Stars,3,0,W,,27,18,5,W 2,,42,8,1,3,0,,28,6,,4,,"17,655",2:33,
