,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:30 PM,@,Detroit Red Wings,2,4,L,,0,1,0,L 1,,39,10,0,4,0,,31,6,2,5,0,"19,515",2:39,
2,10/7/2017,7:00 PM,@,Carolina Hurricanes,4,5,L,SO,0,1,1,L 2,,27,8,1,3,0,,42,6,1,5,0,"18,680",2:54,
3,10/12/2017,8:30 PM,@,Chicago Blackhawks,5,2,W,,1,1,1,W 1,,34,15,1,4,0,,38,13,1,5,0,"21,386",2:34,
4,10/14/2017,8:00 PM,,Columbus Blue Jackets,4,5,L,OT,1,1,2,L 1,,21,6,2,3,0,,35,6,0,3,0,"19,064",2:40,
5,10/20/2017,8:00 PM,@,Winnipeg Jets,3,4,L,,1,2,2,L 2,,27,6,1,1,0,,30,2,2,3,0,"15,321",2:33,
6,10/21/2017,10:00 PM,@,Calgary Flames,4,2,W,,2,2,2,W 1,,32,10,1,3,0,,37,6,1,6,0,"18,436",2:34,
7,10/24/2017,8:00 PM,,Vancouver Canucks,0,1,L,,2,3,2,L 1,,29,6,0,4,0,,25,8,0,3,0,"18,694",2:32,
8,10/26/2017,8:00 PM,,New York Islanders,6,4,W,,3,3,2,W 1,,33,10,0,3,2,,33,6,0,5,0,"18,824",2:32,
9,10/28/2017,8:00 PM,,Pittsburgh Penguins,2,1,W,,4,3,2,W 2,,29,6,0,4,0,,30,8,1,3,0,"19,064",2:25,
10,10/31/2017,8:00 PM,,Winnipeg Jets,1,2,L,,4,4,2,L 1,,29,8,0,5,0,,19,12,0,3,0,"18,814",2:29,
11,11/2/2017,8:00 PM,,Montreal Canadiens,6,3,W,,5,4,2,W 1,,27,2,1,4,0,,31,8,0,1,0,"18,924",2:36,
12,11/4/2017,8:00 PM,,Chicago Blackhawks,0,2,L,,5,5,2,L 1,,24,8,0,2,0,,35,4,1,4,0,"19,218",2:26,
13,11/6/2017,7:00 PM,@,Boston Bruins,3,5,L,,5,6,2,L 2,,27,13,0,1,1,,34,7,0,4,0,"17,565",2:40,
14,11/8/2017,7:30 PM,@,Toronto Maple Leafs,2,4,L,,5,7,2,L 3,,37,4,1,4,0,,19,8,0,2,0,"19,049",2:29,
15,11/9/2017,7:30 PM,@,Montreal Canadiens,3,0,W,,6,7,2,W 1,,35,8,0,3,1,,41,8,,3,,"21,302",2:42,
16,11/11/2017,7:00 PM,@,Philadelphia Flyers,1,0,W,,7,7,2,W 2,,27,6,0,3,0,,32,6,,3,,"19,309",2:25,
17,11/14/2017,8:00 PM,,Philadelphia Flyers,3,0,W,,8,7,2,W 3,,20,2,0,1,0,,30,2,,2,,"18,768",2:20,
18,11/16/2017,8:00 PM,,Nashville Predators,6,4,W,,9,7,2,W 4,,36,6,2,5,0,,30,10,0,3,1,"18,888",2:43,
19,11/18/2017,7:30 PM,@,Washington Capitals,1,3,L,,9,8,2,L 1,,31,10,1,4,0,,43,8,2,5,0,"18,506",2:34,
20,11/20/2017,8:00 PM,,New Jersey Devils,3,4,L,OT,9,8,3,L 2,,36,8,2,4,0,,25,12,0,2,0,"19,048",2:41,
21,11/22/2017,7:00 PM,@,Buffalo Sabres,5,4,W,,10,8,3,W 1,,32,6,2,3,0,,34,6,0,3,0,"17,418",2:29,
22,11/24/2017,4:00 PM,,Colorado Avalanche,3,2,W,SO,11,8,3,W 2,,27,6,1,2,0,,30,4,0,3,1,"19,084",2:33,
23,11/25/2017,8:00 PM,@,St. Louis Blues,3,6,L,,11,9,3,L 1,,25,21,2,3,1,,40,11,3,8,1,"18,610",2:30,
24,11/27/2017,8:00 PM,@,Winnipeg Jets,2,7,L,,11,10,3,L 2,,19,29,0,1,0,,28,11,2,5,0,"15,321",2:37,
25,11/30/2017,8:00 PM,,Vegas Golden Knights,4,2,W,,12,10,3,W 1,,32,6,0,2,0,,31,4,0,3,0,"19,084",2:26,
26,12/2/2017,6:00 PM,,St. Louis Blues,2,1,W,OT,13,10,3,W 2,,25,8,0,3,0,,42,6,1,5,0,"19,107",2:30,
27,12/5/2017,10:00 PM,@,Los Angeles Kings,2,5,L,,13,11,3,L 1,,21,11,0,1,0,,28,7,1,3,0,"18,230",2:34,
28,12/8/2017,10:00 PM,@,Anaheim Ducks,3,2,W,OT,14,11,3,W 1,,31,8,0,2,0,,28,6,0,3,0,"16,471",2:25,
29,12/10/2017,9:00 PM,@,San Jose Sharks,4,3,W,OT,15,11,3,W 2,,24,14,1,3,0,,34,6,2,7,0,"17,205",2:36,
30,12/12/2017,8:00 PM,,Calgary Flames,2,1,W,SO,16,11,3,W 3,,22,6,0,2,0,,27,4,0,3,0,"18,767",2:37,
31,12/14/2017,8:00 PM,,Toronto Maple Leafs,2,0,W,,17,11,3,W 4,,26,10,0,1,0,,28,4,,4,,"18,857",2:30,
32,12/16/2017,2:00 PM,,Edmonton Oilers,2,3,L,,17,12,3,L 1,,31,12,0,4,0,,29,8,0,6,1,"19,034",2:29,
33,12/17/2017,7:00 PM,@,Chicago Blackhawks,1,4,L,,17,13,3,L 2,,28,12,0,2,0,,46,6,0,6,1,"21,813",2:26,
34,12/19/2017,7:00 PM,@,Ottawa Senators,6,4,W,,18,13,3,W 1,,40,8,1,4,0,,32,6,2,4,0,"13,804",2:29,
35,12/22/2017,7:30 PM,@,Florida Panthers,2,4,L,,18,14,3,L 1,,31,9,1,5,0,,34,15,0,3,0,"13,259",2:45,
36,12/23/2017,7:00 PM,@,Tampa Bay Lightning,0,3,L,,18,15,3,L 2,,22,12,0,6,0,,31,12,0,6,0,"19,092",2:32,
37,12/27/2017,8:00 PM,,Dallas Stars,4,2,W,,19,15,3,W 1,,31,8,1,3,0,,26,6,1,4,0,"19,107",2:31,
38,12/29/2017,8:00 PM,,Nashville Predators,4,2,W,,20,15,3,W 2,,38,11,1,5,0,,43,15,1,3,0,"19,147",2:40,
39,12/30/2017,8:00 PM,@,Nashville Predators,0,3,L,,20,16,3,L 1,,29,10,0,3,0,,29,6,1,5,0,"17,459",2:21,
40,1/2/2018,8:00 PM,,Florida Panthers,5,1,W,,21,16,3,W 1,,41,9,0,1,0,,26,7,0,2,0,"19,029",2:35,
41,1/4/2018,8:00 PM,,Buffalo Sabres,6,2,W,,22,16,3,W 2,,27,16,1,3,0,,31,27,0,3,0,"19,017",2:21,
42,1/6/2018,9:00 PM,@,Colorado Avalanche,2,7,L,,22,17,3,L 1,,36,16,1,4,0,,38,16,3,4,0,"18,046",2:38,
43,1/9/2018,8:00 PM,,Calgary Flames,2,3,L,OT,22,17,4,L 2,,35,12,0,5,0,,29,14,0,4,0,"19,011",2:43,
44,1/10/2018,8:00 PM,@,Chicago Blackhawks,2,1,W,,23,17,4,W 1,,27,4,0,3,0,,35,6,0,3,0,"21,721",2:33,
45,1/13/2018,7:00 PM,,Winnipeg Jets,4,1,W,,24,17,4,W 2,,41,4,1,4,0,,33,6,1,2,0,"19,207",2:26,
46,1/14/2018,8:00 PM,,Vancouver Canucks,2,3,L,OT,24,17,5,L 1,,23,2,1,1,0,,25,2,0,1,0,"18,927",2:27,
47,1/20/2018,9:00 PM,,Tampa Bay Lightning,5,2,W,,25,17,5,W 1,,35,10,1,3,0,,23,8,1,4,0,"19,007",2:35,
48,1/22/2018,8:00 PM,,Ottawa Senators,3,1,W,,26,17,5,W 2,,36,4,1,2,0,,38,2,0,2,0,"18,907",2:29,
49,1/25/2018,7:00 PM,@,Pittsburgh Penguins,3,6,L,,26,18,5,L 1,,26,4,1,5,0,,39,10,2,2,0,"18,453",2:29,
50,1/30/2018,7:00 PM,@,Columbus Blue Jackets,3,2,W,SO,27,18,5,W 1,,43,6,1,2,0,,30,4,1,3,0,"17,734",2:45,
51,2/2/2018,8:00 PM,,Vegas Golden Knights,5,2,W,,28,18,5,W 2,,35,11,2,4,0,,24,13,2,3,0,"19,057",2:27,
52,2/3/2018,8:00 PM,@,Dallas Stars,1,6,L,,28,19,5,L 1,,31,4,0,2,0,,38,4,2,2,0,"18,532",2:24,
53,2/6/2018,8:00 PM,@,St. Louis Blues,6,2,W,,29,19,5,W 1,,20,8,2,3,0,,37,8,0,3,0,"17,821",2:36,
54,2/8/2018,8:00 PM,,Arizona Coyotes,3,4,L,OT,29,19,6,L 1,,28,2,0,1,0,,40,2,0,1,0,"18,816",2:35,
55,2/10/2018,8:00 PM,,Chicago Blackhawks,3,0,W,,30,19,6,W 1,,19,13,1,4,0,,44,11,,4,,"19,227",2:35,
56,2/13/2018,8:00 PM,,New York Rangers,3,2,W,,31,19,6,W 2,,29,8,0,1,0,,34,4,2,4,0,"18,887",2:27,
57,2/15/2018,8:00 PM,,Washington Capitals,2,5,L,,31,20,6,L 1,,34,4,1,5,0,,27,10,0,2,0,"19,027",2:37,
58,2/17/2018,2:00 PM,,Anaheim Ducks,2,3,L,SO,31,20,7,L 2,,38,11,0,3,0,,31,11,1,3,0,"19,192",2:50,
59,2/19/2018,1:00 PM,@,New York Islanders,5,3,W,,32,20,7,W 1,,32,8,0,1,0,,35,2,0,4,0,"15,342",2:33,
60,2/22/2018,7:00 PM,@,New Jersey Devils,4,2,W,,33,20,7,W 2,,25,6,0,2,0,,40,4,1,3,0,"13,316",2:27,
61,2/23/2018,7:00 PM,@,New York Rangers,4,1,W,,34,20,7,W 3,,37,2,1,1,0,,23,2,0,1,0,"18,006",2:20,
62,2/25/2018,8:00 PM,,San Jose Sharks,3,2,W,OT,35,20,7,W 4,,41,2,0,3,0,,28,6,0,1,0,"19,105",2:35,
63,2/27/2018,8:00 PM,,St. Louis Blues,8,3,W,,36,20,7,W 5,,33,12,2,6,0,,25,12,1,6,0,"19,261",2:29,
64,3/1/2018,9:00 PM,@,Arizona Coyotes,3,5,L,,36,21,7,L 1,,35,6,1,4,0,,25,10,1,2,0,"10,904",2:28,
65,3/2/2018,9:00 PM,@,Colorado Avalanche,1,7,L,,36,22,7,L 2,,32,4,0,3,0,,26,6,1,3,0,"17,325",2:31,
66,3/4/2018,7:00 PM,,Detroit Red Wings,4,1,W,,37,22,7,W 1,,27,11,1,3,0,,29,13,0,2,0,"19,037",2:26,
67,3/6/2018,8:00 PM,,Carolina Hurricanes,6,2,W,,38,22,7,W 2,,31,6,2,2,0,,31,4,1,3,0,"19,017",2:29,
68,3/9/2018,10:00 PM,@,Vancouver Canucks,5,2,W,,39,22,7,W 3,,36,2,0,2,0,,32,4,0,1,0,"17,918",2:28,
69,3/10/2018,10:00 PM,@,Edmonton Oilers,1,4,L,,39,23,7,L 1,,33,6,0,3,0,,28,8,2,2,0,"18,347",2:22,
70,3/13/2018,8:30 PM,,Colorado Avalanche,1,5,L,,39,24,7,L 2,,34,10,0,4,0,,22,12,2,3,0,"19,171",2:32,
71,3/16/2018,10:30 PM,@,Vegas Golden Knights,4,2,W,,40,24,7,W 1,,30,6,0,3,0,,28,6,0,3,0,"18,295",2:25,
72,3/17/2018,9:00 PM,@,Arizona Coyotes,3,1,W,,41,24,7,W 2,,33,4,1,5,0,,31,10,0,2,0,"13,735",2:25,
73,3/19/2018,8:00 PM,,Los Angeles Kings,3,4,L,OT,41,24,8,L 1,,27,6,0,1,0,,30,4,1,2,0,"19,081",2:36,
