,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,@,Buffalo Sabres,3,2,W,SO,1,0,0,W 1,,40,10,0,4,1,,45,6,1,5,0,"19,070",2:49,
2,10/7/2017,7:00 PM,@,Washington Capitals,1,6,L,,1,1,0,L 1,,39,8,0,4,1,,23,8,1,4,0,"18,506",2:39,
3,10/8/2017,7:00 PM,@,New York Rangers,0,2,L,,1,2,0,L 2,,34,6,0,1,0,,25,2,0,3,0,"18,006",2:29,
4,10/10/2017,7:30 PM,,Chicago Blackhawks,1,3,L,,1,3,0,L 3,,42,4,0,5,0,,25,10,1,2,0,"21,302",2:28,
5,10/14/2017,7:00 PM,,Toronto Maple Leafs,3,4,L,OT,1,3,1,L 4,,34,4,1,2,0,,22,4,0,2,0,"21,302",2:39,
6,10/17/2017,10:30 PM,@,San Jose Sharks,2,5,L,,1,4,1,L 5,,30,14,1,6,0,,35,12,2,7,0,"17,377",2:28,
7,10/18/2017,10:30 PM,@,Los Angeles Kings,1,5,L,,1,5,1,L 6,,37,6,0,4,0,,42,8,1,3,0,"18,230",2:39,
8,10/20/2017,10:00 PM,@,Anaheim Ducks,2,6,L,,1,6,1,L 7,,51,22,1,6,0,,45,34,1,4,0,"17,174",2:48,
9,10/24/2017,7:30 PM,,Florida Panthers,5,1,W,,2,6,1,W 1,,37,4,2,4,0,,27,8,0,2,0,"21,302",2:27,
10,10/26/2017,7:30 PM,,Los Angeles Kings,0,4,L,,2,7,1,L 1,,40,2,0,5,0,,28,10,0,1,0,"21,302",2:34,
11,10/28/2017,7:00 PM,,New York Rangers,5,4,W,,3,7,1,W 1,,43,10,1,6,0,,26,14,1,4,0,"21,302",2:38,
12,10/30/2017,7:30 PM,@,Ottawa Senators,8,3,W,,4,7,1,W 2,,29,21,1,4,1,,28,29,2,5,0,"15,069",2:35,
13,11/2/2017,8:00 PM,@,Minnesota Wild,3,6,L,,4,8,1,L 1,,31,8,0,1,0,,27,2,1,4,0,"18,924",2:36,
14,11/4/2017,7:00 PM,@,Winnipeg Jets,5,4,W,OT,5,8,1,W 1,,50,6,3,6,0,,23,20,3,3,0,"15,321",2:40,
15,11/5/2017,7:00 PM,@,Chicago Blackhawks,2,0,W,,6,8,1,W 2,,35,4,0,3,0,,38,6,,3,,"21,871",2:25,
16,11/7/2017,7:30 PM,,Vegas Golden Knights,3,2,W,,7,8,1,W 3,,28,4,0,2,0,,31,4,0,2,0,"21,302",2:27,
17,11/9/2017,7:30 PM,,Minnesota Wild,0,3,L,,7,9,1,L 1,,41,8,0,3,0,,35,8,0,3,1,"21,302",2:42,
18,11/11/2017,7:00 PM,,Buffalo Sabres,2,1,W,OT,8,9,1,W 1,,29,11,1,1,0,,35,7,1,3,0,"21,302",2:30,
19,11/14/2017,7:30 PM,,Columbus Blue Jackets,1,2,L,OT,8,9,2,L 1,,29,4,0,2,0,,25,4,0,2,0,"21,302",2:28,
20,11/16/2017,7:30 PM,,Arizona Coyotes,4,5,L,,8,10,2,L 2,,37,24,0,3,0,,32,22,2,5,0,"21,302",2:37,
21,11/18/2017,7:00 PM,,Toronto Maple Leafs,0,6,L,,8,11,2,L 3,,33,17,0,1,0,,31,13,0,3,0,"21,302",2:33,
22,11/21/2017,8:30 PM,@,Dallas Stars,1,3,L,,8,12,2,L 4,,30,8,1,5,0,,29,12,0,3,0,"18,532",2:41,
23,11/22/2017,8:00 PM,@,Nashville Predators,2,3,L,SO,8,12,3,L 5,,29,12,0,4,0,,33,12,2,4,0,"17,113",2:46,
24,11/25/2017,7:00 PM,,Buffalo Sabres,3,0,W,,9,12,3,W 1,,26,4,1,2,1,,36,4,,2,,"21,302",2:29,
25,11/27/2017,7:30 PM,,Columbus Blue Jackets,3,1,W,,10,12,3,W 2,,28,10,1,3,0,,38,6,0,5,0,"21,302",2:24,
26,11/29/2017,7:30 PM,,Ottawa Senators,2,1,W,,11,12,3,W 3,,31,6,0,2,0,,28,4,0,3,1,"21,302",2:28,
27,11/30/2017,7:30 PM,@,Detroit Red Wings,6,3,W,,12,12,3,W 4,,25,8,2,4,0,,31,8,2,4,0,"19,515",2:29,
28,12/2/2017,7:00 PM,,Detroit Red Wings,10,1,W,,13,12,3,W 5,,34,4,1,2,1,,23,6,0,1,0,"21,302",2:28,
29,12/5/2017,7:30 PM,,St. Louis Blues,3,4,L,,13,13,3,L 1,,25,10,0,1,0,,30,6,0,3,0,"21,302",2:20,
30,12/7/2017,7:30 PM,,Calgary Flames,2,3,L,OT,13,13,4,L 2,,37,8,0,1,0,,37,2,0,4,0,"21,302",2:34,
31,12/9/2017,7:00 PM,,Edmonton Oilers,2,6,L,,13,14,4,L 3,,24,13,1,3,0,,40,11,2,4,0,"21,302",2:31,
32,12/14/2017,7:30 PM,,New Jersey Devils,2,1,W,OT,14,14,4,W 1,,36,6,0,3,0,,32,6,0,3,0,"21,302",2:29,
33,12/16/2017,7:00 PM,@,Ottawa Senators,0,3,L,,14,15,4,L 1,,28,6,0,1,0,,38,2,0,3,0,"33,959",2:42,
34,12/19/2017,10:00 PM,@,Vancouver Canucks,7,5,W,,15,15,4,W 1,,32,6,2,3,0,,39,6,2,3,0,"18,865",2:38,
35,12/22/2017,9:00 PM,@,Calgary Flames,3,2,W,,16,15,4,W 2,,35,6,0,1,0,,23,0,1,3,0,"19,289",2:35,
36,12/23/2017,7:00 PM,@,Edmonton Oilers,1,4,L,,16,16,4,L 1,,30,4,1,2,0,,35,4,1,3,0,"18,347",2:32,
37,12/27/2017,7:00 PM,@,Carolina Hurricanes,1,3,L,,16,17,4,L 2,,24,6,0,2,0,,36,4,1,3,0,"14,880",2:25,
38,12/28/2017,7:30 PM,@,Tampa Bay Lightning,1,3,L,,16,18,4,L 3,,32,14,1,3,0,,34,8,1,6,0,"19,092",2:32,
39,12/30/2017,7:00 PM,@,Florida Panthers,0,2,L,,16,19,4,L 4,,38,6,0,0,0,,33,0,0,3,0,"18,013",2:31,
40,1/2/2018,7:30 PM,,San Jose Sharks,1,4,L,,16,20,4,L 5,,31,8,1,5,0,,33,8,1,4,0,"21,302",2:21,
41,1/4/2018,7:30 PM,,Tampa Bay Lightning,2,1,W,SO,17,20,4,W 1,,38,4,0,2,0,,45,4,0,2,0,"21,302",2:41,
42,1/7/2018,7:00 PM,,Vancouver Canucks,5,2,W,,18,20,4,W 2,,45,6,1,3,0,,36,6,0,3,0,"21,302",2:33,
43,1/13/2018,7:00 PM,,Boston Bruins,3,4,L,SO,18,20,5,L 1,,30,4,1,4,0,,32,10,1,1,0,"21,302",2:59,
44,1/15/2018,7:30 PM,,New York Islanders,4,5,L,OT,18,20,6,L 2,,56,4,1,4,0,,24,8,0,2,1,"21,302",2:46,
45,1/17/2018,7:30 PM,@,Boston Bruins,1,4,L,,18,21,6,L 3,,22,6,0,2,0,,32,4,1,3,0,"17,565",2:32,
46,1/19/2018,7:30 PM,@,Washington Capitals,3,2,W,,19,21,6,W 1,,26,11,1,4,0,,26,15,1,3,0,"18,506",2:30,
47,1/20/2018,7:00 PM,,Boston Bruins,1,4,L,,19,22,6,L 1,,25,6,0,1,0,,31,2,0,3,0,"21,302",2:44,
48,1/23/2018,7:30 PM,,Colorado Avalanche,4,2,W,,20,22,6,W 1,,40,8,1,4,0,,22,8,0,4,0,"21,302",2:24,
