,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,@,Boston Bruins,3,4,L,,0,1,0,L 1,,29,15,2,7,0,,32,19,1,5,1,"17,565",2:39,
2,10/7/2017,7:00 PM,@,Pittsburgh Penguins,0,4,L,,0,2,0,L 2,,26,46,0,5,0,,34,36,0,5,0,"18,645",2:38,
3,10/10/2017,8:00 PM,,Philadelphia Flyers,6,5,W,,1,2,0,W 1,,31,10,3,4,0,,30,8,2,5,0,"17,194",2:40,
4,10/12/2017,8:00 PM,,Dallas Stars,4,1,W,,2,2,0,W 2,,31,7,1,3,0,,31,14,1,1,0,"17,113",2:32,
5,10/14/2017,8:30 PM,@,Chicago Blackhawks,1,2,L,OT,2,2,1,L 1,,38,16,1,5,0,,35,12,0,6,0,"21,564",2:39,
6,10/17/2017,8:00 PM,,Colorado Avalanche,4,1,W,,3,2,1,W 1,,34,12,1,5,0,,21,12,1,6,0,"17,113",2:29,
7,10/19/2017,7:00 PM,@,Philadelphia Flyers,1,0,W,,4,2,1,W 2,,24,10,0,2,0,,28,4,,5,,"19,396",2:22,
8,10/21/2017,12:30 PM,@,New York Rangers,2,4,L,,4,3,1,L 1,,25,12,0,5,0,,15,12,1,5,0,"17,181",2:21,
9,10/24/2017,8:00 PM,,Calgary Flames,2,3,L,SO,4,3,2,L 2,,30,8,2,3,0,,32,6,0,4,0,"17,113",2:53,
10,10/27/2017,8:30 PM,@,Chicago Blackhawks,2,1,W,,5,3,2,W 1,,30,12,1,6,0,,44,12,0,6,1,"21,524",2:31,
11,10/28/2017,8:00 PM,,New York Islanders,2,6,L,,5,4,2,L 1,,30,12,1,4,0,,23,14,3,5,0,"17,113",2:28,
12,11/1/2017,10:30 PM,@,San Jose Sharks,1,4,L,,5,5,2,L 2,,20,33,0,4,0,,23,27,1,8,0,"16,543",2:25,
13,11/3/2017,10:00 PM,@,Anaheim Ducks,5,3,W,,6,5,2,W 1,,30,8,1,4,0,,38,8,1,4,0,"16,523",2:32,
14,11/4/2017,10:30 PM,@,Los Angeles Kings,4,3,W,OT,7,5,2,W 2,,31,28,0,2,0,,39,14,1,4,0,"18,230",2:45,
