,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/7/2017,2:00 PM,,Colorado Avalanche,4,1,W,,1,0,0,W 1,,39,12,3,4,1,,41,8,0,6,0,"16,514",2:24,
2,10/9/2017,3:00 PM,@,Buffalo Sabres,6,2,W,,2,0,0,W 2,,31,9,0,4,1,,25,11,1,4,0,"17,697",2:26,
3,10/11/2017,7:30 PM,@,Toronto Maple Leafs,6,3,W,,3,0,0,W 3,,31,31,1,5,1,,50,15,2,8,0,"19,103",2:39,
4,10/13/2017,7:00 PM,,Washington Capitals,2,5,L,,3,1,0,L 1,,23,22,1,4,0,,28,30,3,5,0,"13,458",2:35,
5,10/14/2017,7:00 PM,@,New York Rangers,3,2,W,,4,1,0,W 1,,19,8,1,5,0,,31,12,0,3,0,"18,006",2:30,
6,10/17/2017,7:30 PM,,Tampa Bay Lightning,5,4,W,SO,5,1,0,W 2,,34,10,2,4,0,,37,8,1,5,0,"13,176",2:44,
7,10/19/2017,7:30 PM,@,Ottawa Senators,5,4,W,OT,6,1,0,W 3,,46,14,0,4,0,,33,10,2,6,0,"13,364",2:48,
8,10/20/2017,7:00 PM,,San Jose Sharks,0,3,L,,6,2,0,L 1,,28,10,0,5,0,,33,10,0,5,0,"14,381",2:25,
9,10/27/2017,7:00 PM,,Ottawa Senators,5,4,W,SO,7,2,0,W 1,,25,4,1,3,0,,27,4,0,2,0,"13,763",2:45,
10,10/28/2017,7:00 PM,,Arizona Coyotes,4,3,W,,8,2,0,W 2,,25,10,2,2,1,,37,4,1,5,0,"15,132",2:39,
11,11/1/2017,10:00 PM,@,Vancouver Canucks,2,0,W,,9,2,0,W 3,,26,8,0,1,0,,37,2,,4,,"16,855",2:28,
12,11/3/2017,9:00 PM,@,Edmonton Oilers,3,6,L,,9,3,0,L 1,,34,7,0,0,0,,42,5,1,1,0,"18,347",2:31,
13,11/5/2017,9:00 PM,@,Calgary Flames,4,5,L,SO,9,3,1,L 2,,30,6,0,2,0,,34,4,0,3,1,"17,839",2:45,
14,11/7/2017,7:00 PM,,St. Louis Blues,1,3,L,,9,4,1,L 3,,22,10,0,4,0,,40,6,1,5,0,"12,317",2:29,
15,11/9/2017,7:00 PM,,Edmonton Oilers,2,3,L,OT,9,4,2,L 4,,34,2,0,4,0,,32,8,0,2,0,"16,514",2:40,
16,11/11/2017,7:00 PM,,Florida Panthers,2,1,W,,10,4,2,W 1,,21,10,1,2,0,,33,8,0,4,0,"16,514",2:24,
17,11/12/2017,7:00 PM,@,Chicago Blackhawks,7,5,W,,11,4,2,W 2,,38,6,2,3,0,,44,8,2,3,0,"21,487",2:38,
18,11/16/2017,7:00 PM,@,Toronto Maple Leafs,0,1,L,OT,11,4,3,L 1,,42,4,0,3,0,,25,6,0,2,0,"19,202",2:40,
19,11/18/2017,3:00 PM,@,Winnipeg Jets,2,5,L,,11,5,3,L 2,,36,0,0,2,0,,34,4,0,0,0,"15,321",2:27,
20,11/20/2017,8:00 PM,@,Minnesota Wild,4,3,W,OT,12,5,3,W 1,,25,12,0,2,0,,36,8,2,4,0,"19,048",2:41,
21,11/22/2017,7:00 PM,,Boston Bruins,2,3,L,SO,12,5,4,L 1,,42,10,1,3,0,,29,8,0,4,0,"16,514",2:51,
22,11/24/2017,7:00 PM,,Vancouver Canucks,3,2,W,,13,5,4,W 1,,26,6,1,3,0,,25,6,1,3,0,"16,514",2:23,
23,11/25/2017,7:00 PM,@,Detroit Red Wings,4,3,W,OT,14,5,4,W 2,,32,4,1,3,0,,34,6,0,2,0,"19,515",2:53,
24,11/27/2017,7:00 PM,,Florida Panthers,2,3,L,,14,6,4,L 1,,25,10,0,2,0,,38,8,0,3,1,"13,184",2:36,
25,12/1/2017,9:00 PM,@,Colorado Avalanche,2,1,W,,15,6,4,W 1,,21,10,1,6,0,,23,12,1,5,0,"14,614",2:32,
26,12/2/2017,8:00 PM,@,Arizona Coyotes,0,5,L,,15,7,4,L 1,,27,4,0,3,0,,27,6,0,2,0,"14,338",2:32,
27,12/5/2017,7:00 PM,@,Columbus Blue Jackets,4,1,W,,16,7,4,W 1,,36,12,0,1,0,,42,2,0,6,0,"14,282",2:26,
28,12/8/2017,7:00 PM,,Columbus Blue Jackets,3,5,L,,16,8,4,L 1,,24,2,0,4,0,,28,8,1,2,0,"16,514",2:32,
29,12/9/2017,7:00 PM,@,New York Rangers,2,5,L,,16,9,4,L 2,,28,8,0,3,0,,39,8,0,3,0,"18,006",2:32,
30,12/12/2017,7:00 PM,,Los Angeles Kings,5,1,W,,17,9,4,W 1,,26,8,1,2,1,,17,6,0,3,0,"13,275",2:23,
31,12/14/2017,7:30 PM,@,Montreal Canadiens,1,2,L,OT,17,9,5,L 1,,32,6,0,3,0,,36,6,0,3,0,"21,302",2:29,
32,12/15/2017,7:00 PM,,Dallas Stars,5,2,W,,18,9,5,W 1,,26,18,1,5,0,,30,22,1,3,0,"13,171",2:44,
33,12/18/2017,7:00 PM,,Anaheim Ducks,5,3,W,,19,9,5,W 2,,34,4,1,2,0,,24,4,0,2,0,"16,514",2:31,
34,12/21/2017,7:00 PM,,New York Rangers,4,3,W,SO,20,9,5,W 3,,48,6,1,4,1,,28,8,0,3,0,"16,514",3:14,
35,12/23/2017,7:00 PM,,Chicago Blackhawks,4,1,W,,21,9,5,W 4,,29,26,1,1,0,,40,24,0,2,0,"16,514",2:31,
36,12/27/2017,7:00 PM,,Detroit Red Wings,3,1,W,,22,9,5,W 5,,32,8,0,2,0,,32,4,0,5,0,"16,514",2:26,
37,12/29/2017,7:00 PM,,Buffalo Sabres,3,4,L,OT,22,9,6,L 1,,38,6,1,2,0,,29,4,1,3,0,"16,514",2:35,
38,12/30/2017,7:00 PM,@,Washington Capitals,2,5,L,,22,10,6,L 2,,27,4,0,2,0,,35,4,1,2,0,"18,506",2:25,
