,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,7:00 PM,@,Columbus Blue Jackets,0,5,L,,0,1,0,L 1,,29,11,0,1,0,,37,9,1,2,0,"18,595",2:25,
2,10/7/2017,7:00 PM,,Buffalo Sabres,6,3,W,,1,1,0,W 1,,33,10,0,3,2,,29,8,0,4,2,"15,234",2:35,
3,10/9/2017,1:00 PM,,St. Louis Blues,2,3,L,SO,1,1,1,L 1,,42,8,0,6,0,,35,12,1,6,0,"10,673",2:39,
4,10/11/2017,10:00 PM,@,Anaheim Ducks,2,3,L,,1,2,1,L 2,,41,8,0,5,0,,30,10,0,4,0,"14,553",2:34,
5,10/14/2017,10:30 PM,@,San Jose Sharks,3,1,W,,2,2,1,W 1,,23,4,0,3,0,,41,8,1,1,0,"17,562",2:22,
6,10/15/2017,10:30 PM,@,Los Angeles Kings,2,3,L,,2,3,1,L 1,,25,4,0,2,0,,27,4,1,3,1,"18,230",2:22,
7,10/19/2017,7:00 PM,@,New York Rangers,4,3,W,SO,3,3,1,W 1,,38,2,1,3,0,,41,4,0,1,0,"18,006",2:48,
8,10/21/2017,7:00 PM,,San Jose Sharks,5,3,W,,4,3,1,W 2,,23,6,0,2,0,,31,4,1,4,0,"11,877",2:24,
9,10/24/2017,7:00 PM,,Arizona Coyotes,5,3,W,,5,3,1,W 3,,25,6,1,3,0,,35,6,1,3,0,"9,795",2:34,
10,10/26/2017,8:00 PM,@,Minnesota Wild,4,6,L,,5,4,1,L 1,,33,6,0,5,0,,33,10,0,3,2,"18,824",2:32,
11,10/28/2017,8:00 PM,@,Nashville Predators,6,2,W,,6,4,1,W 1,,23,14,3,5,0,,30,12,1,4,0,"17,113",2:28,
12,10/30/2017,7:00 PM,,Vegas Golden Knights,6,3,W,,7,4,1,W 2,,30,10,2,5,0,,34,10,2,5,1,"11,113",2:31,
13,11/2/2017,7:00 PM,@,Washington Capitals,3,4,L,,7,5,1,L 1,,38,8,2,4,0,,19,6,0,4,0,"18,506",2:24,
14,11/5/2017,6:00 PM,,Colorado Avalanche,6,4,W,,8,5,1,W 1,,28,13,2,2,0,,35,9,0,4,0,"10,927",2:38,
15,11/7/2017,7:00 PM,,Edmonton Oilers,1,2,L,OT,8,5,2,L 1,,37,4,0,3,0,,25,6,0,2,0,"12,281",2:28,
16,11/10/2017,8:30 PM,@,Dallas Stars,0,5,L,,8,6,2,L 2,,14,8,0,4,0,,29,6,1,4,1,"18,342",2:25,
17,11/11/2017,8:00 PM,@,St. Louis Blues,5,2,W,,9,6,2,W 1,,29,10,0,1,0,,37,6,0,3,0,"18,761",2:36,
18,11/16/2017,7:00 PM,,Carolina Hurricanes,6,4,W,,10,6,2,W 2,,36,6,1,3,1,,32,6,1,3,0,"11,188",2:30,
19,11/18/2017,7:00 PM,@,Tampa Bay Lightning,5,3,W,,11,6,2,W 3,,32,2,1,2,0,,39,4,0,1,0,"19,092",2:24,
20,11/19/2017,5:00 PM,@,Carolina Hurricanes,2,4,L,,11,7,2,L 1,,29,10,1,7,0,,32,14,2,5,0,"11,390",2:25,
21,11/22/2017,7:00 PM,,Philadelphia Flyers,4,3,W,OT,12,7,2,W 1,,39,4,2,5,0,,38,10,1,2,0,"12,462",2:39,
22,11/24/2017,4:00 PM,@,Philadelphia Flyers,5,4,W,OT,13,7,2,W 2,,37,4,1,3,0,,30,8,0,1,0,"19,643",2:36,
23,11/25/2017,7:00 PM,@,Ottawa Senators,2,1,W,,14,7,2,W 3,,24,12,1,5,0,,32,10,1,6,0,"17,276",2:24,
24,11/28/2017,7:00 PM,,Vancouver Canucks,5,2,W,,15,7,2,W 4,,36,4,0,3,1,,25,6,1,2,1,"11,194",2:25,
25,12/1/2017,7:00 PM,,Ottawa Senators,5,6,L,,15,8,2,L 1,,37,6,1,3,0,,35,4,2,3,0,"11,797",2:36,
26,12/4/2017,7:30 PM,@,Florida Panthers,5,4,W,SO,16,8,2,W 1,,32,18,0,2,0,,43,4,2,4,0,"11,210",2:51,
27,12/5/2017,7:30 PM,@,Tampa Bay Lightning,2,6,L,,16,9,2,L 1,,31,8,1,2,0,,34,2,2,4,0,"19,092",2:25,
28,12/7/2017,7:00 PM,@,Pittsburgh Penguins,3,4,L,OT,16,9,3,L 2,,26,4,0,4,0,,32,6,2,2,0,"18,433",2:32,
29,12/9/2017,7:00 PM,@,Boston Bruins,1,3,L,,16,10,3,L 3,,31,11,0,4,0,,33,39,1,2,0,"17,565",2:31,
30,12/11/2017,7:00 PM,,Washington Capitals,3,1,W,,17,10,3,W 1,,29,4,0,3,0,,32,6,0,2,0,"11,053",2:28,
31,12/13/2017,7:00 PM,,Dallas Stars,2,5,L,,17,11,3,L 1,,34,4,1,2,0,,27,6,0,1,0,"10,316",2:23,
32,12/14/2017,7:00 PM,@,Columbus Blue Jackets,4,6,L,,17,12,3,L 2,,25,4,1,4,0,,35,6,1,2,0,"15,696",2:29,
33,12/16/2017,7:00 PM,,Los Angeles Kings,4,3,W,OT,18,12,3,W 1,,33,11,1,5,0,,29,15,1,3,0,"13,087",2:40,
34,12/19/2017,7:00 PM,,Detroit Red Wings,3,6,L,,18,13,3,L 1,,37,2,2,3,0,,22,6,1,1,0,"10,511",2:30,
35,12/21/2017,7:00 PM,,Anaheim Ducks,4,5,L,OT,18,13,4,L 2,,26,6,2,3,0,,40,8,0,2,0,"10,092",2:47,
36,12/23/2017,1:00 PM,,Winnipeg Jets,5,2,W,,19,13,4,W 1,,29,6,1,3,0,,40,6,0,3,0,"13,589",2:30,
37,12/27/2017,7:00 PM,,Buffalo Sabres,3,2,W,OT,20,13,4,W 2,,34,8,0,2,0,,37,4,0,4,0,"15,027",2:29,
38,12/29/2017,8:00 PM,@,Winnipeg Jets,2,4,L,,20,14,4,L 1,,44,8,0,4,0,,37,8,1,5,0,"15,321",2:35,
39,12/31/2017,8:00 PM,@,Colorado Avalanche,1,6,L,,20,15,4,L 2,,28,6,0,3,0,,48,6,2,4,0,"17,461",2:32,
40,1/2/2018,7:00 PM,,Boston Bruins,1,5,L,,20,16,4,L 3,,26,8,0,4,0,,38,10,0,3,0,"11,878",2:23,
41,1/4/2018,7:00 PM,@,Philadelphia Flyers,4,6,L,,20,17,4,L 4,,31,37,1,1,0,,32,29,3,5,0,"19,358",2:37,
42,1/5/2018,7:00 PM,,Pittsburgh Penguins,0,4,L,,20,18,4,L 5,,31,6,0,4,0,,38,8,1,3,0,"13,641",2:37,
43,1/7/2018,1:00 PM,,New Jersey Devils,5,4,W,SO,21,18,4,W 1,,38,10,1,3,0,,46,6,0,5,1,"15,136",2:58,
44,1/13/2018,1:00 PM,@,New York Rangers,7,2,W,,22,18,4,W 2,,37,6,0,2,0,,39,4,1,3,0,"18,006",2:30,
45,1/15/2018,7:30 PM,@,Montreal Canadiens,5,4,W,OT,23,18,4,W 3,,24,8,0,2,1,,56,4,1,4,0,"21,302",2:46,
46,1/16/2018,7:00 PM,,New Jersey Devils,1,4,L,,23,19,4,L 1,,26,9,0,2,0,,42,9,1,3,0,"12,695",2:26,
47,1/18/2018,7:00 PM,,Boston Bruins,2,5,L,,23,20,4,L 2,,24,2,0,2,0,,34,4,1,1,0,"11,803",2:26,
48,1/20/2018,8:30 PM,@,Chicago Blackhawks,7,3,W,,24,20,4,W 1,,46,17,2,4,0,,39,23,0,1,0,"21,882",2:35,
49,1/22/2018,9:00 PM,@,Arizona Coyotes,2,3,L,OT,24,20,5,L 1,,34,4,0,2,0,,33,4,0,2,0,"11,707",2:23,
50,1/25/2018,10:00 PM,@,Vegas Golden Knights,2,1,W,,25,20,5,W 1,,25,4,0,1,0,,39,2,1,2,0,"18,184",2:25,
51,1/30/2018,7:00 PM,,Florida Panthers,1,4,L,,25,21,5,L 1,,33,0,0,1,0,,40,2,0,0,0,"10,423",2:19,
52,1/31/2018,7:30 PM,@,Toronto Maple Leafs,0,5,L,,25,22,5,L 2,,28,4,0,1,0,,50,2,0,2,0,"19,267",2:30,
53,2/3/2018,7:00 PM,,Columbus Blue Jackets,4,3,W,,26,22,5,W 1,,38,8,1,2,0,,49,6,1,3,0,"13,597",2:36,
54,2/5/2018,7:00 PM,,Nashville Predators,4,5,L,OT,26,22,6,L 1,,28,8,1,4,0,,47,10,0,3,0,"10,217",2:35,
55,2/8/2018,7:00 PM,@,Buffalo Sabres,3,4,L,,26,23,6,L 2,,29,4,1,3,0,,22,6,1,2,0,"16,872",2:16,
56,2/9/2018,7:00 PM,,Detroit Red Wings,7,6,W,OT,27,23,6,W 1,,29,7,4,7,0,,39,19,1,2,0,"11,847",2:42,
57,2/11/2018,7:00 PM,,Calgary Flames,2,3,L,,27,24,6,L 1,,25,13,0,5,0,,42,15,1,4,0,"11,192",2:31,
58,2/13/2018,7:00 PM,,Columbus Blue Jackets,1,4,L,,27,25,6,L 2,,30,10,1,3,0,,51,8,2,4,0,"10,232",2:29,
59,2/15/2018,7:00 PM,,New York Rangers,3,0,W,,28,25,6,W 1,,35,6,1,2,0,,50,4,,3,,"15,795",2:27,
60,2/16/2018,7:30 PM,@,Carolina Hurricanes,3,0,W,,29,25,6,W 2,,22,4,0,0,0,,45,2,,2,,"15,448",2:24,
61,2/19/2018,1:00 PM,,Minnesota Wild,3,5,L,,29,26,6,L 1,,35,2,0,4,0,,32,8,0,1,0,"15,342",2:33,
62,2/22/2018,7:00 PM,@,Toronto Maple Leafs,3,4,L,SO,29,26,7,L 2,,35,6,0,2,0,,31,4,0,3,0,"18,856",2:40,
63,2/24/2018,6:15 PM,@,New Jersey Devils,1,2,L,,29,27,7,L 3,,31,2,0,2,0,,33,4,0,1,0,"16,514",2:27,
64,2/28/2018,7:00 PM,@,Montreal Canadiens,1,3,L,,29,28,7,L 4,,28,4,0,2,0,,26,4,1,2,0,"21,302",2:13,
65,3/2/2018,7:00 PM,,Montreal Canadiens,3,6,L,,29,29,7,L 5,,35,6,1,4,0,,25,8,0,3,0,"10,685",2:27,
66,3/3/2018,5:00 PM,@,Pittsburgh Penguins,2,3,L,OT,29,29,8,L 6,,27,4,0,2,0,,50,2,1,2,0,"18,661",2:31,
67,3/5/2018,10:00 PM,@,Vancouver Canucks,3,4,L,OT,29,29,9,L 7,,34,2,1,4,0,,23,8,0,1,0,"17,307",2:30,
68,3/8/2018,9:00 PM,@,Edmonton Oilers,1,2,L,SO,29,29,10,L 8,,31,7,0,1,0,,36,7,0,2,0,"18,347",2:42,
69,3/11/2018,7:00 PM,@,Calgary Flames,5,2,W,,30,29,10,W 1,,27,13,0,1,0,,52,7,0,4,0,"19,108",2:37,
70,3/15/2018,7:00 PM,,Washington Capitals,3,7,L,,30,30,10,L 1,,38,2,0,3,0,,22,6,1,1,0,"10,740",2:27,
71,3/16/2018,7:00 PM,@,Washington Capitals,3,6,L,,30,31,10,L 2,,25,41,3,5,0,,31,15,3,8,0,"18,506",2:40,
72,3/18/2018,5:00 PM,,Carolina Hurricanes,3,4,L,,30,32,10,L 3,,29,8,2,3,0,,39,8,0,3,0,"10,688",2:29,
73,3/20/2018,7:00 PM,,Pittsburgh Penguins,4,1,W,,31,32,10,W 1,,40,4,1,5,0,,37,12,0,1,0,"10,442",2:30,
74,3/22/2018,7:00 PM,,Tampa Bay Lightning,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
76,3/26/2018,7:00 PM,,Florida Panthers,,,,,,,,,,,,,,,,,,,,,,,
77,3/27/2018,7:30 PM,@,Ottawa Senators,,,,,,,,,,,,,,,,,,,,,,,
78,3/30/2018,7:00 PM,,Toronto Maple Leafs,,,,,,,,,,,,,,,,,,,,,,,
79,3/31/2018,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/2018,7:00 PM,,Philadelphia Flyers,,,,,,,,,,,,,,,,,,,,,,,
81,4/5/2018,7:00 PM,,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
