,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:00 PM,,Colorado Avalanche,2,4,L,,0,1,0,L 1,,39,12,2,6,0,,26,16,1,5,0,"18,006",2:27,
2,10/7/2017,7:00 PM,@,Toronto Maple Leafs,5,8,L,,0,2,0,L 2,,35,10,2,3,0,,41,4,3,6,0,"19,621",2:48,
3,10/8/2017,7:00 PM,,Montreal Canadiens,2,0,W,,1,2,0,W 1,,25,2,0,3,0,,34,6,,1,,"18,006",2:29,
4,10/10/2017,7:00 PM,,St. Louis Blues,1,3,L,,1,3,0,L 1,,33,8,1,4,0,,23,8,1,4,0,"18,006",2:30,
5,10/13/2017,7:00 PM,@,Columbus Blue Jackets,1,3,L,,1,4,0,L 2,,38,8,0,4,0,,43,10,0,3,0,"15,342",2:28,
6,10/14/2017,7:00 PM,,New Jersey Devils,2,3,L,,1,5,0,L 3,,31,12,0,3,0,,19,8,1,5,0,"18,006",2:30,
7,10/17/2017,7:00 PM,,Pittsburgh Penguins,4,5,L,OT,1,5,1,L 4,,32,10,2,6,0,,33,16,1,3,0,"18,006",2:36,
8,10/19/2017,7:00 PM,,New York Islanders,3,4,L,SO,1,5,2,L 5,,41,4,0,1,0,,38,2,1,3,0,"18,006",2:48,
9,10/21/2017,12:30 PM,,Nashville Predators,4,2,W,,2,5,2,W 1,,15,12,1,5,0,,25,12,0,5,0,"17,181",2:21,
10,10/23/2017,7:00 PM,,San Jose Sharks,1,4,L,,2,6,2,L 1,,34,2,0,6,0,,24,12,0,1,0,"18,006",2:21,
11,10/26/2017,7:00 PM,,Arizona Coyotes,5,2,W,,3,6,2,W 1,,30,13,0,2,0,,29,11,1,3,0,"18,006",2:30,
12,10/28/2017,7:00 PM,@,Montreal Canadiens,4,5,L,,3,7,2,L 1,,26,14,1,4,0,,43,10,1,6,0,"21,302",2:38,
13,10/31/2017,7:00 PM,,Vegas Golden Knights,6,4,W,,4,7,2,W 1,,38,6,2,5,0,,34,10,0,3,0,"17,294",2:33,
14,11/2/2017,7:30 PM,@,Tampa Bay Lightning,2,1,W,OT,5,7,2,W 2,,35,16,0,2,0,,28,16,0,2,1,"19,092",2:46,
15,11/4/2017,7:00 PM,@,Florida Panthers,5,4,W,OT,6,7,2,W 3,,44,2,1,3,0,,34,6,0,2,0,"15,036",2:37,
16,11/6/2017,7:00 PM,,Columbus Blue Jackets,5,3,W,,7,7,2,W 4,,26,2,3,5,0,,25,10,0,1,0,"17,348",2:30,
17,11/8/2017,8:00 PM,,Boston Bruins,4,2,W,,8,7,2,W 5,,33,6,0,1,0,,33,2,0,4,0,"18,006",2:25,
18,11/11/2017,1:00 PM,,Edmonton Oilers,4,2,W,,9,7,2,W 6,,34,4,2,3,0,,29,6,1,2,0,"18,006",2:32,
19,11/15/2017,8:00 PM,@,Chicago Blackhawks,3,6,L,,9,8,2,L 1,,28,10,0,3,0,,43,6,1,5,0,"21,528",2:32,
20,11/17/2017,7:00 PM,@,Columbus Blue Jackets,0,2,L,,9,9,2,L 2,,36,6,0,3,0,,42,6,1,3,0,"17,093",2:24,
21,11/19/2017,7:00 PM,,Ottawa Senators,3,0,W,,10,9,2,W 1,,27,19,0,3,0,,20,6,,3,,"17,524",2:21,
22,11/22/2017,7:00 PM,@,Carolina Hurricanes,6,1,W,,11,9,2,W 2,,27,8,1,2,0,,33,2,1,5,0,"11,398",2:25,
23,11/24/2017,7:00 PM,,Detroit Red Wings,2,1,W,OT,12,9,2,W 3,,31,8,0,2,0,,41,4,1,4,0,"18,006",2:41,
24,11/26/2017,2:00 PM,,Vancouver Canucks,4,3,W,SO,13,9,2,W 4,,20,2,0,2,0,,32,4,0,1,0,"17,632",2:37,
25,11/28/2017,7:00 PM,,Florida Panthers,4,5,L,,13,10,2,L 1,,37,6,0,3,0,,27,8,1,2,0,"17,376",2:35,
26,12/1/2017,7:00 PM,,Carolina Hurricanes,5,1,W,,14,10,2,W 1,,26,4,2,7,0,,33,14,0,2,0,"17,695",2:24,
27,12/5/2017,7:30 PM,@,Pittsburgh Penguins,4,3,W,,15,10,2,W 2,,29,6,0,2,0,,44,4,1,3,0,"18,414",2:25,
28,12/8/2017,7:00 PM,@,Washington Capitals,2,4,L,,15,11,2,L 1,,29,8,0,3,0,,40,6,0,4,0,"18,506",2:24,
29,12/9/2017,7:00 PM,,New Jersey Devils,5,2,W,,16,11,2,W 1,,39,8,0,3,0,,28,8,0,3,0,"18,006",2:32,
30,12/11/2017,7:00 PM,,Dallas Stars,1,2,L,SO,16,11,3,L 1,,25,6,0,0,0,,45,0,0,3,0,"17,667",2:33,
31,12/13/2017,7:00 PM,@,Ottawa Senators,2,3,L,,16,12,3,L 2,,29,4,0,1,0,,30,2,0,2,0,"13,212",2:17,
32,12/15/2017,7:00 PM,,Los Angeles Kings,4,2,W,,17,12,3,W 1,,28,2,1,3,0,,35,6,0,1,0,"17,756",2:24,
33,12/16/2017,5:00 PM,@,Boston Bruins,3,2,W,OT,18,12,3,W 2,,28,14,2,5,0,,35,6,1,7,0,"17,565",2:38,
34,12/19/2017,7:00 PM,,Anaheim Ducks,4,1,W,,19,12,3,W 3,,32,4,0,2,0,,40,4,0,2,0,"18,006",2:21,
35,12/21/2017,7:00 PM,@,New Jersey Devils,3,4,L,SO,19,12,4,L 1,,28,8,0,3,0,,48,6,1,4,1,"16,514",3:14,
36,12/23/2017,7:00 PM,,Toronto Maple Leafs,2,3,L,,19,13,4,L 2,,32,14,0,3,0,,37,10,1,6,0,"18,006",2:46,
37,12/27/2017,8:00 PM,,Washington Capitals,1,0,W,SO,20,13,4,W 1,,37,4,0,3,0,,30,6,,2,,"18,006",2:36,
38,12/29/2017,7:30 PM,@,Detroit Red Wings,2,3,L,SO,20,13,5,L 1,,39,10,0,4,0,,35,8,0,5,0,"19,515",2:52,
39,1/1/2018,1:00 PM,@,Buffalo Sabres,3,2,W,OT,21,13,5,W 1,,42,8,1,3,0,,33,6,1,5,0,"41,821",2:40,
40,1/3/2018,8:00 PM,,Chicago Blackhawks,2,5,L,,21,14,5,L 1,,25,2,1,6,0,,35,10,0,1,0,"18,006",2:30,
41,1/6/2018,8:00 PM,@,Arizona Coyotes,2,1,W,SO,22,14,5,W 1,,25,4,0,1,0,,39,2,1,2,0,"13,420",2:31,
42,1/7/2018,9:30 PM,@,Vegas Golden Knights,1,2,L,,22,15,5,L 1,,29,2,0,2,0,,34,2,0,1,0,"18,234",2:28,
43,1/13/2018,1:00 PM,,New York Islanders,2,7,L,,22,16,5,L 2,,39,4,1,3,0,,37,6,0,2,0,"18,006",2:30,
44,1/14/2018,7:30 PM,@,Pittsburgh Penguins,2,5,L,,22,17,5,L 3,,28,11,0,1,0,,47,17,0,3,0,"18,647",2:31,
45,1/16/2018,7:00 PM,,Philadelphia Flyers,5,1,W,,23,17,5,W 1,,29,6,1,2,1,,26,4,0,3,0,"18,006",2:24,
46,1/18/2018,7:30 PM,,Buffalo Sabres,4,3,W,,24,17,5,W 2,,34,12,0,2,0,,37,8,2,4,0,"18,006",2:30,
47,1/20/2018,3:00 PM,@,Colorado Avalanche,1,3,L,,24,18,5,L 1,,28,2,1,1,0,,37,2,0,1,0,"18,056",2:26,
48,1/21/2018,10:30 PM,@,Los Angeles Kings,2,4,L,,24,19,5,L 2,,23,21,1,4,0,,30,23,3,3,0,"18,230",2:31,
