,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:30 PM,,Washington Capitals,4,5,L,SO,0,0,1,L 1,,32,0,0,5,0,,28,10,0,1,0,"17,009",2:43,
2,10/7/2017,7:00 PM,,Detroit Red Wings,1,2,L,SO,0,0,2,L 2,,38,8,0,7,0,,30,12,0,4,0,"14,883",2:44,
3,10/10/2017,10:00 PM,@,Vancouver Canucks,3,2,W,SO,1,0,2,W 1,,42,8,0,4,0,,28,8,0,4,0,"17,273",2:45,
4,10/13/2017,9:00 PM,@,Calgary Flames,6,0,W,,2,0,2,W 2,,28,11,2,7,0,,25,17,,3,,"19,289",2:33,
5,10/14/2017,10:00 PM,@,Edmonton Oilers,6,1,W,,3,0,2,W 3,,31,13,3,5,0,,36,27,0,3,0,"18,347",2:30,
6,10/17/2017,7:30 PM,,Vancouver Canucks,0,3,L,,3,1,2,L 1,,32,9,0,3,0,,24,23,1,2,0,"13,430",2:32,
7,10/19/2017,7:30 PM,,New Jersey Devils,4,5,L,OT,3,1,3,L 2,,33,10,2,6,0,,46,14,0,4,0,"13,364",2:48,
8,10/21/2017,7:00 PM,,Toronto Maple Leafs,6,3,W,,4,1,3,W 1,,35,4,0,2,0,,31,2,1,2,0,"17,455",2:41,
9,10/24/2017,7:30 PM,,Los Angeles Kings,2,3,L,SO,4,1,4,L 1,,30,4,0,1,1,,43,2,0,2,0,"14,034",2:45,
10,10/26/2017,7:30 PM,,Philadelphia Flyers,5,4,W,,5,1,4,W 1,,28,8,1,4,1,,40,19,0,2,0,"14,926",2:39,
11,10/27/2017,7:00 PM,@,New Jersey Devils,4,5,L,SO,5,1,5,L 1,,27,4,0,2,0,,25,4,1,3,0,"13,763",2:45,
12,10/30/2017,7:30 PM,,Montreal Canadiens,3,8,L,,5,2,5,L 2,,28,29,2,5,0,,29,21,1,4,1,"15,069",2:35,
13,11/2/2017,7:30 PM,,Detroit Red Wings,3,1,W,,6,2,5,W 1,,30,6,1,2,0,,25,6,1,2,0,"14,724",2:28,
14,11/4/2017,2:00 PM,,Vegas Golden Knights,4,5,L,,6,3,5,L 1,,28,12,0,2,0,,34,6,3,5,0,"16,824",2:40,
15,11/10/2017,2:00 PM,@,Colorado Avalanche,4,3,W,OT,7,3,5,W 1,,32,4,0,2,0,,19,4,1,2,0,"13,396",2:34,
16,11/11/2017,1:00 PM,,Colorado Avalanche,4,3,W,,8,3,5,W 2,,40,10,2,6,0,,18,14,1,4,1,"13,396",2:43,
17,11/16/2017,7:30 PM,,Pittsburgh Penguins,1,3,L,,8,4,5,L 1,,22,4,0,3,0,,29,6,0,2,0,"17,144",2:28,
18,11/18/2017,2:00 PM,,Arizona Coyotes,2,3,L,OT,8,4,6,L 2,,32,4,0,5,0,,28,8,1,3,0,"16,471",2:29,
19,11/19/2017,7:00 PM,@,New York Rangers,0,3,L,,8,5,6,L 3,,20,6,0,3,0,,27,19,0,3,0,"17,524",2:21,
20,11/22/2017,7:00 PM,@,Washington Capitals,2,5,L,,8,6,6,L 4,,31,4,0,3,0,,25,8,1,1,0,"18,506",2:27,
21,11/24/2017,7:00 PM,@,Columbus Blue Jackets,2,5,L,,8,7,6,L 5,,26,4,0,3,0,,32,6,0,2,0,"17,084",2:30,
22,11/25/2017,7:00 PM,,New York Islanders,1,2,L,,8,8,6,L 6,,32,10,1,6,0,,24,12,1,5,0,"17,276",2:24,
23,11/29/2017,7:30 PM,@,Montreal Canadiens,1,2,L,,8,9,6,L 7,,28,4,0,3,1,,31,6,0,2,0,"21,302",2:28,
24,12/1/2017,7:00 PM,@,New York Islanders,6,5,W,,9,9,6,W 1,,35,4,2,3,0,,37,6,1,3,0,"11,797",2:36,
25,12/3/2017,7:00 PM,@,Winnipeg Jets,0,5,L,,9,10,6,L 1,,21,6,0,3,0,,49,6,3,5,0,"15,321",2:28,
26,12/6/2017,10:00 PM,@,Anaheim Ducks,0,3,L,,9,11,6,L 2,,29,9,0,3,0,,22,11,0,2,0,"15,890",2:31,
27,12/7/2017,10:30 PM,@,Los Angeles Kings,3,4,L,OT,9,11,7,L 3,,40,2,1,4,0,,38,8,0,1,0,"18,230",2:37,
28,12/9/2017,10:00 PM,@,San Jose Sharks,0,5,L,,9,12,7,L 4,,25,34,0,4,0,,50,13,2,8,0,"17,562",2:30,
29,12/12/2017,7:00 PM,@,Buffalo Sabres,2,3,L,,9,13,7,L 5,,26,4,0,3,0,,25,6,1,2,0,"17,454",2:21,
30,12/13/2017,7:00 PM,,New York Rangers,3,2,W,,10,13,7,W 1,,30,2,0,2,0,,29,4,0,1,0,"13,212",2:17,
31,12/16/2017,7:00 PM,,Montreal Canadiens,3,0,W,,11,13,7,W 2,,38,2,0,3,0,,28,6,,1,,"33,959",2:42,
32,12/19/2017,7:00 PM,,Minnesota Wild,4,6,L,,11,14,7,L 1,,32,6,2,4,0,,40,8,1,4,0,"13,804",2:29,
33,12/21/2017,7:30 PM,@,Tampa Bay Lightning,3,4,L,SO,11,14,8,L 2,,21,11,1,3,0,,38,13,0,3,0,"19,092",3:00,
34,12/23/2017,7:00 PM,@,Florida Panthers,0,1,L,,11,15,8,L 3,,38,10,0,2,0,,38,6,0,3,0,"13,694",2:35,
35,12/27/2017,7:00 PM,@,Boston Bruins,1,5,L,,11,16,8,L 4,,26,27,0,1,0,,23,19,0,2,0,"17,565",2:19,
36,12/29/2017,7:30 PM,,Columbus Blue Jackets,5,4,W,,12,16,8,W 1,,28,10,0,1,0,,25,2,1,5,0,"17,031",2:24,
37,12/30/2017,7:00 PM,,Boston Bruins,0,5,L,,12,17,8,L 1,,25,10,0,1,0,,34,4,3,4,0,"17,579",2:26,
38,1/3/2018,7:30 PM,@,Detroit Red Wings,1,2,L,OT,12,17,9,L 2,,34,2,0,2,0,,35,4,0,1,0,"19,515",2:35,
39,1/5/2018,7:30 PM,,San Jose Sharks,6,5,W,OT,13,17,9,W 1,,43,6,1,2,0,,35,4,2,3,1,"16,061",2:40,
40,1/6/2018,7:00 PM,,Tampa Bay Lightning,6,3,W,,14,17,9,W 2,,33,14,0,3,0,,48,10,1,5,0,"16,247",2:41,
41,1/9/2018,7:30 PM,,Chicago Blackhawks,2,8,L,,14,18,9,L 1,,27,14,0,4,0,,43,10,4,6,0,"14,007",2:35,
42,1/10/2018,7:30 PM,@,Toronto Maple Leafs,4,3,W,,15,18,9,W 1,,32,6,0,1,0,,48,2,0,3,0,"19,117",2:54,
43,1/18/2018,7:30 PM,,St. Louis Blues,1,4,L,,15,19,9,L 1,,21,11,0,2,0,,37,11,0,3,0,"14,002",2:19,
44,1/20/2018,7:00 PM,,Toronto Maple Leafs,3,4,L,,15,20,9,L 2,,18,8,1,2,1,,33,6,1,3,0,"17,768",2:41,
45,1/22/2018,8:00 PM,@,Minnesota Wild,1,3,L,,15,21,9,L 3,,38,2,0,2,0,,36,4,1,2,0,"18,907",2:29,
46,1/23/2018,8:00 PM,@,St. Louis Blues,0,3,L,,15,22,9,L 4,,25,6,0,4,0,,41,8,0,3,0,"18,505",2:26,
47,1/25/2018,7:30 PM,,Boston Bruins,2,3,L,,15,23,9,L 5,,23,2,1,4,0,,44,8,1,1,1,"15,232",2:27,
48,1/30/2018,7:00 PM,@,Carolina Hurricanes,1,2,L,,15,24,9,L 6,,30,6,0,1,0,,39,0,1,3,0,"11,448",2:23,
