,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,10:30 PM,@,San Jose Sharks,5,3,W,,1,0,0,W 1,,31,12,3,5,0,,35,10,2,6,0,"17,562",2:27,
2,10/5/2017,10:00 PM,@,Los Angeles Kings,0,2,L,,1,1,0,L 1,,35,10,0,5,0,,27,10,0,5,0,"18,230",2:37,
3,10/7/2017,10:00 PM,@,Anaheim Ducks,3,2,W,OT,2,1,0,W 1,,37,6,0,5,0,,23,12,0,2,1,"16,032",2:30,
4,10/10/2017,8:00 PM,@,Nashville Predators,5,6,L,,2,2,0,L 1,,30,8,2,5,0,,31,10,3,4,0,"17,194",2:40,
5,10/14/2017,7:00 PM,,Washington Capitals,8,2,W,,3,2,0,W 1,,37,12,1,2,1,,23,14,0,2,0,"19,817",2:32,
6,10/17/2017,7:00 PM,,Florida Panthers,5,1,W,,4,2,0,W 2,,38,17,1,4,0,,41,13,1,6,0,"19,145",2:34,
7,10/19/2017,7:00 PM,,Nashville Predators,0,1,L,,4,3,0,L 1,,28,4,0,5,0,,24,10,0,2,0,"19,396",2:22,
8,10/21/2017,1:00 PM,,Edmonton Oilers,2,1,W,,5,3,0,W 1,,24,6,1,2,0,,24,6,0,3,0,"19,510",2:21,
9,10/24/2017,7:00 PM,,Anaheim Ducks,2,6,L,,5,4,0,L 1,,33,15,0,6,0,,25,19,1,3,0,"18,895",2:30,
10,10/26/2017,7:30 PM,@,Ottawa Senators,4,5,L,,5,5,0,L 2,,40,19,0,2,0,,28,8,1,4,1,"14,926",2:39,
11,10/28/2017,7:00 PM,@,Toronto Maple Leafs,4,2,W,,6,5,0,W 1,,30,6,1,1,0,,30,2,0,3,0,"19,317",2:33,
12,10/30/2017,7:00 PM,,Arizona Coyotes,3,4,L,OT,6,5,1,L 1,,31,10,1,1,0,,34,6,1,3,0,"18,731",2:44,
13,11/1/2017,8:00 PM,@,Chicago Blackhawks,0,3,L,,6,6,1,L 2,,35,13,0,3,0,,35,11,1,4,0,"21,524",2:30,
14,11/2/2017,8:00 PM,@,St. Louis Blues,2,0,W,,7,6,1,W 1,,23,6,0,2,0,,33,6,,2,,"17,162",2:29,
15,11/4/2017,7:00 PM,,Colorado Avalanche,4,5,L,SO,7,6,2,L 1,,37,6,1,6,0,,27,12,2,3,1,"19,616",2:44,
16,11/9/2017,7:00 PM,,Chicago Blackhawks,3,1,W,,8,6,2,W 1,,31,10,0,2,0,,39,6,0,4,0,"19,738",2:35,
17,11/11/2017,7:00 PM,,Minnesota Wild,0,1,L,,8,7,2,L 1,,32,6,0,3,0,,27,6,0,3,0,"19,309",2:25,
18,11/14/2017,8:00 PM,@,Minnesota Wild,0,3,L,,8,8,2,L 2,,30,2,0,2,0,,20,2,0,1,0,"18,768",2:20,
19,11/16/2017,8:00 PM,@,Winnipeg Jets,2,3,L,SO,8,8,3,L 3,,32,23,1,5,0,,33,12,1,7,0,"15,321",2:54,
