,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,8:00 PM,,St. Louis Blues,4,5,L,OT,0,0,1,L 1,,33,8,1,5,0,,34,8,1,4,0,"18,652",2:38,
2,10/5/2017,8:30 PM,@,Chicago Blackhawks,1,10,L,,0,1,1,L 2,,29,32,1,2,0,,44,4,0,6,0,"21,705",2:35,
3,10/7/2017,7:00 PM,,Nashville Predators,4,0,W,,1,1,1,W 1,,34,36,0,5,0,,26,46,,5,,"18,645",2:38,
4,10/11/2017,7:30 PM,@,Washington Capitals,3,2,W,,2,1,1,W 2,,36,8,3,6,0,,22,12,0,4,0,"18,506",2:34,
5,10/12/2017,7:30 PM,@,Tampa Bay Lightning,4,5,L,,2,2,1,L 1,,40,10,1,5,0,,34,10,2,5,0,"19,092",2:42,
6,10/14/2017,7:00 PM,,Florida Panthers,4,3,W,,3,2,1,W 1,,33,10,1,3,1,,46,4,1,5,0,"18,582",2:37,
7,10/17/2017,7:00 PM,@,New York Rangers,5,4,W,OT,4,2,1,W 2,,33,16,1,3,0,,32,10,2,6,0,"18,006",2:36,
8,10/20/2017,7:30 PM,@,Florida Panthers,4,3,W,,5,2,1,W 3,,48,4,3,4,0,,31,8,0,2,0,"15,756",2:41,
9,10/21/2017,7:00 PM,@,Tampa Bay Lightning,1,7,L,,5,3,1,L 1,,29,22,1,4,0,,32,10,3,5,0,"19,092",2:36,
10,10/24/2017,7:00 PM,,Edmonton Oilers,2,1,W,OT,6,3,1,W 1,,44,9,0,3,0,,30,11,0,2,0,"18,625",2:27,
11,10/26/2017,7:00 PM,,Winnipeg Jets,2,1,W,OT,7,3,1,W 2,,36,6,0,4,0,,31,10,0,2,0,"18,445",2:34,
12,10/28/2017,8:00 PM,@,Minnesota Wild,1,2,L,,7,4,1,L 1,,30,8,1,3,0,,29,6,0,4,0,"19,064",2:25,
13,10/29/2017,7:00 PM,@,Winnipeg Jets,1,7,L,,7,5,1,L 2,,32,22,1,3,0,,24,22,1,3,0,"15,321",2:31,
14,11/1/2017,8:30 PM,@,Edmonton Oilers,3,2,W,,8,5,1,W 1,,30,10,2,4,0,,37,8,1,5,0,"18,347",2:35,
15,11/2/2017,9:00 PM,@,Calgary Flames,1,2,L,OT,8,5,2,L 1,,44,8,0,1,0,,34,2,1,4,0,"18,837",2:32,
16,11/4/2017,10:00 PM,@,Vancouver Canucks,2,4,L,,8,6,2,L 2,,39,4,1,4,0,,21,8,0,2,0,"18,865",2:35,
17,11/7/2017,7:00 PM,,Arizona Coyotes,3,1,W,,9,6,2,W 1,,37,2,1,6,0,,25,10,0,1,0,"18,498",2:30,
18,11/10/2017,7:00 PM,@,Washington Capitals,1,4,L,,9,7,2,L 1,,28,15,0,4,0,,31,13,2,6,0,"18,506",2:33,
19,11/11/2017,8:00 PM,@,Nashville Predators,4,5,L,SO,9,7,3,L 2,,30,14,0,4,1,,28,10,2,6,0,"17,397",2:49,
20,11/14/2017,7:00 PM,,Buffalo Sabres,5,4,W,OT,10,7,3,W 1,,45,10,1,5,0,,32,14,2,3,0,"18,438",2:39,
21,11/16/2017,7:30 PM,@,Ottawa Senators,3,1,W,,11,7,3,W 2,,29,6,0,2,0,,22,4,0,3,0,"17,144",2:28,
22,11/18/2017,7:00 PM,,Chicago Blackhawks,1,2,L,,11,8,3,L 1,,36,12,0,3,1,,38,8,2,5,0,"18,638",2:36,
23,11/22/2017,7:00 PM,,Vancouver Canucks,2,5,L,,11,9,3,L 2,,45,6,2,5,0,,37,10,2,3,0,"18,606",2:29,
24,11/24/2017,1:00 PM,@,Boston Bruins,3,4,L,,11,10,3,L 3,,20,4,1,1,0,,33,2,0,2,0,"17,565",2:34,
25,11/25/2017,7:00 PM,,Tampa Bay Lightning,5,2,W,,12,10,3,W 1,,34,12,3,5,1,,35,10,1,6,0,"18,659",2:34,
26,11/27/2017,7:00 PM,,Philadelphia Flyers,5,4,W,OT,13,10,3,W 2,,52,8,1,5,0,,32,10,1,4,0,"18,505",2:45,
