,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,10:30 PM,,Philadelphia Flyers,3,5,L,,0,1,0,L 1,,35,10,2,6,0,,31,12,3,5,0,"17,562",2:27,
2,10/7/2017,10:30 PM,,Los Angeles Kings,1,4,L,,0,2,0,L 2,,25,12,0,4,0,,38,8,0,6,0,"17,562",2:31,
3,10/12/2017,10:30 PM,,Buffalo Sabres,3,2,W,,1,2,0,W 1,,26,6,1,3,0,,25,6,0,3,0,"17,402",2:30,
4,10/14/2017,10:30 PM,,New York Islanders,1,3,L,,1,3,0,L 1,,41,8,1,1,0,,23,4,0,3,0,"17,562",2:22,
5,10/17/2017,10:30 PM,,Montreal Canadiens,5,2,W,,2,3,0,W 1,,35,12,2,7,0,,30,14,1,6,0,"17,377",2:28,
6,10/20/2017,7:00 PM,@,New Jersey Devils,3,0,W,,3,3,0,W 2,,33,10,0,5,0,,28,10,,5,,"14,381",2:25,
7,10/21/2017,7:00 PM,@,New York Islanders,3,5,L,,3,4,0,L 1,,31,4,1,4,0,,23,6,0,2,0,"11,877",2:24,
8,10/23/2017,7:00 PM,@,New York Rangers,4,1,W,,4,4,0,W 1,,24,12,0,1,0,,34,2,0,6,0,"18,006",2:21,
9,10/26/2017,7:00 PM,@,Boston Bruins,1,2,L,,4,5,0,L 1,,37,4,1,6,0,,33,12,0,2,1,"17,565",2:31,
10,10/28/2017,1:00 PM,@,Buffalo Sabres,3,2,W,,5,5,0,W 1,,31,10,0,3,0,,33,6,1,5,0,"18,892",2:29,
11,10/30/2017,10:30 PM,,Toronto Maple Leafs,3,2,W,,6,5,0,W 2,,39,0,1,4,0,,18,8,0,0,0,"17,562",2:25,
12,11/1/2017,10:30 PM,,Nashville Predators,4,1,W,,7,5,0,W 3,,23,27,1,8,0,,20,33,0,4,0,"16,543",2:25,
13,11/4/2017,10:30 PM,,Anaheim Ducks,2,1,W,SO,8,5,0,W 4,,45,2,0,3,0,,26,6,0,1,0,"17,562",2:49,
14,11/8/2017,10:30 PM,,Tampa Bay Lightning,1,5,L,,8,6,0,L 1,,33,8,0,2,0,,30,4,1,4,0,"17,044",2:21,
15,11/11/2017,10:00 PM,,Vancouver Canucks,5,0,W,,9,6,0,W 1,,31,23,0,4,3,,41,8,,5,,"17,562",2:26,
16,11/12/2017,10:30 PM,@,Los Angeles Kings,2,1,W,,10,6,0,W 2,,33,8,0,3,0,,27,6,1,4,0,"18,230",2:28,
17,11/16/2017,10:30 PM,,Florida Panthers,0,2,L,,10,7,0,L 1,,35,2,0,2,0,,28,4,0,1,0,"16,411",2:34,
18,11/18/2017,10:30 PM,,Boston Bruins,1,3,L,,10,8,0,L 2,,37,6,0,3,0,,20,10,0,1,0,"17,442",2:36,
19,11/20/2017,10:30 PM,,Anaheim Ducks,2,3,L,SO,10,8,1,L 3,,42,4,1,3,0,,30,6,0,2,0,"17,257",2:49,
20,11/22/2017,9:00 PM,@,Arizona Coyotes,3,1,W,,11,8,1,W 1,,26,6,0,1,0,,27,2,0,3,0,"11,214",2:24,
21,11/24/2017,6:00 PM,@,Vegas Golden Knights,4,5,L,OT,11,8,2,L 1,,26,8,1,2,0,,33,4,2,4,0,"18,094",2:40,
22,11/25/2017,10:00 PM,,Winnipeg Jets,4,0,W,,12,8,2,W 1,,34,6,1,2,1,,38,4,,3,,"17,189",2:26,
23,11/28/2017,7:00 PM,@,Philadelphia Flyers,3,1,W,,13,8,2,W 2,,34,6,1,5,0,,23,12,0,2,0,"18,935",2:22,
24,12/1/2017,7:30 PM,@,Florida Panthers,2,1,W,,14,8,2,W 3,,32,4,0,0,0,,40,0,0,2,0,"12,323",2:27,
25,12/2/2017,7:00 PM,@,Tampa Bay Lightning,2,5,L,,14,9,2,L 1,,27,4,0,1,0,,43,2,1,2,0,"19,092",2:34,
26,12/4/2017,7:00 PM,@,Washington Capitals,1,4,L,,14,10,2,L 2,,25,39,0,1,0,,29,20,2,6,0,"18,506",2:40,
27,12/7/2017,10:30 PM,,Carolina Hurricanes,5,4,W,OT,15,10,2,W 1,,33,6,2,3,2,,25,6,0,3,0,"16,947",2:20,
28,12/9/2017,10:00 PM,,Ottawa Senators,5,0,W,,16,10,2,W 2,,50,13,2,8,0,,25,34,,4,,"17,562",2:30,
29,12/10/2017,9:00 PM,,Minnesota Wild,3,4,L,OT,16,10,3,L 1,,34,6,2,7,0,,24,14,1,3,0,"17,205",2:36,
30,12/14/2017,9:00 PM,@,Calgary Flames,3,2,W,,17,10,3,W 1,,29,6,1,3,0,,34,6,0,3,0,"18,730",2:28,
31,12/15/2017,10:00 PM,@,Vancouver Canucks,3,4,L,OT,17,10,4,L 1,,37,6,1,4,0,,40,8,2,3,0,"17,278",2:29,
32,12/18/2017,9:00 PM,@,Edmonton Oilers,3,5,L,,17,11,4,L 2,,21,6,1,3,0,,29,6,0,2,0,"18,347",2:29,
33,12/21/2017,10:30 PM,,Vancouver Canucks,5,4,W,OT,18,11,4,W 1,,32,13,3,5,0,,40,15,0,4,0,"17,562",2:32,
34,12/23/2017,10:00 PM,,Los Angeles Kings,2,0,W,,19,11,4,W 2,,31,12,1,5,0,,28,16,,2,,"17,562",2:30,
35,12/28/2017,10:30 PM,,Calgary Flames,3,2,W,SO,20,11,4,W 3,,32,6,1,3,0,,34,6,1,3,0,"17,562",2:34,
