,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,8:00 PM,@,Pittsburgh Penguins,5,4,W,OT,1,0,0,W 1,,34,8,1,4,0,,33,8,1,5,0,"18,652",2:38,
2,10/7/2017,8:00 PM,,Dallas Stars,4,2,W,,2,0,0,W 2,,21,10,1,2,0,,40,6,1,4,0,"18,858",2:32,
3,10/9/2017,1:00 PM,@,New York Islanders,3,2,W,SO,3,0,0,W 3,,35,12,1,6,0,,42,8,0,6,0,"10,673",2:39,
4,10/10/2017,7:00 PM,@,New York Rangers,3,1,W,,4,0,0,W 4,,23,8,1,4,0,,33,8,1,4,0,"18,006",2:30,
5,10/12/2017,7:30 PM,@,Florida Panthers,2,5,L,,4,1,0,L 1,,39,23,1,5,0,,38,25,1,5,1,"10,846",2:43,
6,10/14/2017,7:00 PM,@,Tampa Bay Lightning,1,2,L,,4,2,0,L 2,,29,2,0,3,0,,27,6,1,2,0,"19,092",2:26,
7,10/18/2017,8:00 PM,,Chicago Blackhawks,5,2,W,,5,2,0,W 1,,33,16,0,5,0,,24,12,2,7,0,"18,752",2:29,
8,10/19/2017,9:00 PM,@,Colorado Avalanche,4,3,W,,6,2,0,W 2,,28,4,0,2,0,,41,4,1,2,0,"13,890",2:28,
9,10/21/2017,10:30 PM,@,Vegas Golden Knights,2,3,L,OT,6,2,1,L 1,,49,6,0,4,0,,22,10,2,3,0,"17,883",2:49,
10,10/25/2017,8:00 PM,,Calgary Flames,5,2,W,,7,2,1,W 1,,29,4,2,3,0,,25,6,0,2,0,"17,227",2:23,
11,10/27/2017,7:30 PM,@,Carolina Hurricanes,2,1,W,,8,2,1,W 2,,34,2,0,0,0,,27,0,0,1,0,"10,069",2:30,
12,10/28/2017,8:00 PM,,Columbus Blue Jackets,4,1,W,,9,2,1,W 3,,42,4,0,3,0,,37,4,0,2,0,"17,834",2:26,
13,10/30/2017,8:00 PM,,Los Angeles Kings,4,2,W,,10,2,1,W 4,,30,8,0,2,0,,28,4,1,4,0,"17,423",2:33,
14,11/2/2017,8:00 PM,,Philadelphia Flyers,0,2,L,,10,3,1,L 1,,33,6,0,2,0,,23,6,0,2,0,"17,162",2:29,
15,11/4/2017,7:00 PM,,Toronto Maple Leafs,6,4,W,,11,3,1,W 1,,32,6,1,4,0,,31,6,0,2,0,"19,046",2:30,
16,11/7/2017,7:00 PM,@,New Jersey Devils,3,1,W,,12,3,1,W 2,,40,6,1,5,0,,22,10,0,4,0,"12,317",2:29,
17,11/9/2017,8:00 PM,,Arizona Coyotes,3,2,W,SO,13,3,1,W 3,,38,6,0,3,0,,29,6,1,3,0,"18,156",2:43,
18,11/11/2017,8:00 PM,,New York Islanders,2,5,L,,13,4,1,L 1,,37,6,0,3,0,,29,10,0,1,0,"18,761",2:36,
19,11/13/2017,9:00 PM,@,Calgary Flames,4,7,L,,13,5,1,L 2,,24,8,1,1,0,,37,6,1,3,0,"18,519",2:28,
20,11/16/2017,9:00 PM,@,Edmonton Oilers,4,1,W,,14,5,1,W 1,,39,15,1,4,1,,30,27,1,3,0,"18,347",2:27,
21,11/18/2017,10:00 PM,@,Vancouver Canucks,4,3,W,OT,15,5,1,W 2,,31,8,0,4,0,,23,8,1,4,1,"18,865",2:31,
22,11/21/2017,8:00 PM,,Edmonton Oilers,8,3,W,,16,5,1,W 3,,40,7,1,3,0,,29,11,0,1,0,"18,819",2:27,
23,11/24/2017,8:00 PM,,Nashville Predators,0,2,L,,16,6,1,L 1,,34,0,0,3,0,,28,4,0,0,0,"19,033",2:27,
24,11/25/2017,8:00 PM,,Minnesota Wild,6,3,W,,17,6,1,W 1,,40,11,3,8,1,,25,21,2,3,1,"18,610",2:30,
25,11/29/2017,9:00 PM,,Anaheim Ducks,2,3,L,,17,7,1,L 1,,39,12,0,4,0,,30,8,2,6,0,"16,760",2:36,
26,12/1/2017,8:00 PM,,Los Angeles Kings,1,4,L,,17,8,1,L 2,,40,8,1,5,0,,28,10,0,4,0,"18,322",2:29,
27,12/2/2017,6:00 PM,@,Minnesota Wild,1,2,L,OT,17,8,2,L 3,,42,6,1,5,0,,25,8,0,3,0,"19,107",2:30,
28,12/5/2017,7:30 PM,@,Montreal Canadiens,4,3,W,,18,8,2,W 1,,30,6,0,3,0,,25,10,0,1,0,"21,302",2:20,
29,12/7/2017,8:00 PM,,Dallas Stars,3,0,W,,19,8,2,W 2,,27,4,2,7,0,,29,14,,2,,"16,341",2:38,
30,12/9/2017,1:00 PM,@,Detroit Red Wings,6,1,W,,20,8,2,W 3,,22,6,0,3,0,,29,6,0,3,0,"19,515",2:22,
31,12/10/2017,7:00 PM,,Buffalo Sabres,3,2,W,OT,21,8,2,W 4,,45,10,0,3,0,,24,18,1,4,0,"17,310",2:33,
32,12/12/2017,8:00 PM,,Tampa Bay Lightning,0,3,L,,21,9,2,L 1,,32,8,0,1,0,,25,4,0,3,0,"18,290",2:21,
33,12/14/2017,8:00 PM,,Anaheim Ducks,1,3,L,,21,10,2,L 2,,30,2,0,4,0,,18,6,0,1,0,"17,822",2:27,
34,12/16/2017,7:00 PM,,Winnipeg Jets,2,0,W,,22,10,2,W 1,,30,10,2,5,0,,48,12,,4,,"17,964",2:32,
35,12/17/2017,6:00 PM,@,Winnipeg Jets,0,4,L,,22,11,2,L 1,,24,8,0,4,0,,46,8,1,4,0,"15,321",2:26,
36,12/20/2017,9:30 PM,@,Calgary Flames,1,2,L,,22,12,2,L 2,,22,12,1,4,0,,33,12,0,4,0,"18,410",2:36,
37,12/21/2017,9:00 PM,@,Edmonton Oilers,2,3,L,,22,13,2,L 3,,36,8,0,1,0,,35,4,0,3,0,"18,347",2:26,
38,12/23/2017,10:00 PM,@,Vancouver Canucks,3,1,W,,23,13,2,W 1,,34,4,0,2,0,,31,4,0,2,0,"17,919",2:32,
39,12/27/2017,8:00 PM,,Nashville Predators,1,2,L,,23,14,2,L 1,,30,15,0,2,0,,26,9,0,5,0,"19,097",2:24,
40,12/29/2017,8:30 PM,@,Dallas Stars,2,4,L,,23,15,2,L 2,,37,20,0,4,0,,31,10,1,4,0,"18,532",2:52,
41,12/30/2017,8:00 PM,,Carolina Hurricanes,3,2,W,,24,15,2,W 1,,29,4,0,2,0,,25,4,0,2,0,"18,749",2:26,
42,1/2/2018,8:00 PM,,New Jersey Devils,3,2,W,SO,25,15,2,W 2,,29,4,0,4,0,,26,8,1,2,0,"18,324",2:54,
43,1/4/2018,8:00 PM,,Vegas Golden Knights,2,1,W,,26,15,2,W 3,,39,2,0,2,0,,33,4,0,1,0,"18,976",2:20,
44,1/6/2018,1:00 PM,@,Philadelphia Flyers,3,6,L,,26,16,2,L 1,,31,8,0,1,0,,39,2,1,4,0,"19,665",2:27,
45,1/7/2018,3:00 PM,@,Washington Capitals,3,4,L,OT,26,16,3,L 2,,34,8,1,2,0,,33,4,2,4,0,"18,506",2:37,
46,1/9/2018,8:00 PM,,Florida Panthers,4,7,L,,26,17,3,L 3,,30,13,0,2,0,,36,13,0,2,1,"18,783",2:38,
47,1/16/2018,7:00 PM,@,Toronto Maple Leafs,2,1,W,OT,27,17,3,W 1,,42,7,0,2,0,,31,9,0,1,1,"18,951",2:33,
48,1/18/2018,7:30 PM,@,Ottawa Senators,4,1,W,,28,17,3,W 2,,37,11,0,3,0,,21,11,0,2,0,"14,002",2:19,
49,1/20/2018,8:00 PM,,Arizona Coyotes,2,5,L,,28,18,3,L 1,,27,11,2,3,0,,44,11,1,3,0,"19,235",2:27,
50,1/23/2018,8:00 PM,,Ottawa Senators,3,0,W,,29,18,3,W 1,,41,8,0,3,0,,25,6,,4,,"18,505",2:26,
51,1/25/2018,8:00 PM,,Colorado Avalanche,3,1,W,,30,18,3,W 2,,34,4,2,3,0,,37,6,0,2,0,"18,817",2:28,
52,1/30/2018,8:00 PM,,Montreal Canadiens,3,1,W,,31,18,3,W 3,,31,7,1,3,1,,34,4,1,3,0,"18,149",2:31,
53,2/1/2018,7:00 PM,@,Boston Bruins,1,3,L,,31,19,3,L 1,,33,4,0,1,0,,46,4,1,1,0,"17,565",2:32,
54,2/3/2018,7:00 PM,@,Buffalo Sabres,1,0,W,,32,19,3,W 1,,33,8,0,1,0,,27,2,,4,,"18,777",2:33,
55,2/6/2018,8:00 PM,,Minnesota Wild,2,6,L,,32,20,3,L 1,,37,8,0,3,0,,20,8,2,3,0,"17,821",2:36,
56,2/8/2018,8:00 PM,,Colorado Avalanche,6,1,W,,33,20,3,W 1,,31,15,1,2,0,,24,9,0,5,0,"18,951",2:31,
57,2/9/2018,8:00 PM,@,Winnipeg Jets,5,2,W,,34,20,3,W 2,,27,8,0,2,1,,22,4,1,4,0,"15,321",2:19,
58,2/11/2018,12:00 PM,,Pittsburgh Penguins,1,4,L,,34,21,3,L 1,,34,4,0,3,0,,23,6,0,2,0,"18,975",2:33,
59,2/13/2018,8:00 PM,@,Nashville Predators,3,4,L,OT,34,21,4,L 2,,31,6,1,3,0,,33,4,0,3,1,"17,221",2:40,
60,2/16/2018,8:30 PM,@,Dallas Stars,1,2,L,,34,22,4,L 3,,29,13,1,5,0,,16,17,1,4,0,"18,532",2:30,
61,2/20/2018,8:00 PM,,San Jose Sharks,2,3,L,,34,23,4,L 4,,33,4,1,3,0,,23,2,0,2,0,"17,297",2:26,
62,2/23/2018,8:00 PM,,Winnipeg Jets,0,4,L,,34,24,4,L 5,,34,12,0,4,0,,23,10,1,5,0,"18,912",2:28,
63,2/25/2018,12:00 PM,@,Nashville Predators,0,4,L,,34,25,4,L 6,,27,4,0,5,0,,39,10,1,2,1,"17,523",2:20,
64,2/27/2018,8:00 PM,@,Minnesota Wild,3,8,L,,34,26,4,L 7,,25,12,1,6,0,,33,12,2,6,0,"19,261",2:29,
65,2/28/2018,8:00 PM,,Detroit Red Wings,2,1,W,,35,26,4,W 1,,25,8,0,1,0,,36,6,0,2,0,"18,813",2:30,
66,3/3/2018,2:00 PM,@,Dallas Stars,2,3,L,OT,35,26,5,L 1,,37,19,0,4,0,,34,25,0,1,0,"18,321",2:48,
67,3/8/2018,10:30 PM,@,San Jose Sharks,0,2,L,,35,27,5,L 2,,16,4,0,1,0,,36,2,1,2,0,"17,400",2:20,
68,3/10/2018,4:00 PM,@,Los Angeles Kings,7,2,W,,36,27,5,W 1,,43,8,0,3,0,,40,8,1,3,0,"18,230",2:34,
69,3/12/2018,10:00 PM,@,Anaheim Ducks,4,2,W,,37,27,5,W 2,,23,2,0,1,0,,22,2,0,1,0,"16,312",2:16,
70,3/15/2018,8:00 PM,,Colorado Avalanche,1,4,L,,37,28,5,L 1,,45,2,0,2,0,,23,2,0,1,0,"18,885",2:22,
71,3/17/2018,8:00 PM,,New York Rangers,4,3,W,OT,38,28,5,W 1,,33,7,1,3,0,,20,11,1,2,0,"18,975",2:36,
72,3/18/2018,7:30 PM,@,Chicago Blackhawks,5,4,W,OT,39,28,5,W 2,,41,2,2,3,0,,30,6,1,1,0,"21,687",2:43,
73,3/21/2018,8:00 PM,,Boston Bruins,2,1,W,OT,40,28,5,W 3,,20,6,0,2,0,,22,6,1,2,0,"18,423",2:26,
74,3/23/2018,8:00 PM,,Vancouver Canucks,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,@,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,,,,,
76,3/27/2018,8:00 PM,,San Jose Sharks,,,,,,,,,,,,,,,,,,,,,,,
77,3/30/2018,10:30 PM,@,Vegas Golden Knights,,,,,,,,,,,,,,,,,,,,,,,
78,3/31/2018,9:00 PM,@,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
79,4/2/2018,8:00 PM,,Washington Capitals,,,,,,,,,,,,,,,,,,,,,,,
80,4/4/2018,8:00 PM,,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
81,4/6/2018,8:30 PM,@,Chicago Blackhawks,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,9:00 PM,@,Colorado Avalanche,,,,,,,,,,,,,,,,,,,,,,,
