,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,7:30 PM,,Florida Panthers,5,3,W,,1,0,0,W 1,,25,8,1,3,0,,36,6,0,4,0,"19,092",2:32,
2,10/7/2017,7:00 PM,@,Florida Panthers,4,5,L,,1,1,0,L 1,,30,19,1,6,0,,48,23,1,4,0,"16,871",2:46,
3,10/9/2017,7:30 PM,,Washington Capitals,4,3,W,OT,2,1,0,W 1,,40,10,1,5,0,,26,10,2,4,0,"19,092",2:46,
4,10/12/2017,7:30 PM,,Pittsburgh Penguins,5,4,W,,3,1,0,W 2,,34,10,2,5,0,,40,10,1,5,0,"19,092",2:42,
5,10/14/2017,7:00 PM,,St. Louis Blues,2,1,W,,4,1,0,W 3,,27,6,1,2,0,,29,2,0,3,0,"19,092",2:26,
6,10/16/2017,7:30 PM,@,Detroit Red Wings,3,2,W,,5,1,0,W 4,,26,12,1,5,1,,31,10,0,6,0,"19,515",2:41,
7,10/17/2017,7:30 PM,@,New Jersey Devils,4,5,L,SO,5,1,1,L 1,,37,8,1,5,0,,34,10,2,4,0,"13,176",2:44,
8,10/19/2017,7:00 PM,@,Columbus Blue Jackets,2,0,W,,6,1,1,W 1,,21,6,0,2,0,,43,4,,3,,"13,155",2:23,
9,10/21/2017,7:00 PM,,Pittsburgh Penguins,7,1,W,,7,1,1,W 2,,32,10,3,5,0,,29,22,1,4,0,"19,092",2:36,
10,10/24/2017,7:00 PM,@,Carolina Hurricanes,5,1,W,,8,1,1,W 3,,29,10,1,1,0,,32,4,0,4,0,"10,498",2:28,
11,10/26/2017,7:30 PM,,Detroit Red Wings,3,2,W,,9,1,1,W 4,,38,12,2,6,0,,31,12,1,5,1,"19,092",2:27,
12,10/28/2017,7:00 PM,,Anaheim Ducks,1,4,L,,9,2,1,L 1,,32,2,0,4,0,,21,8,2,2,0,"19,092",2:35,
13,10/30/2017,7:30 PM,@,Florida Panthers,8,5,W,,10,2,1,W 1,,38,11,2,5,0,,23,15,0,3,0,"9,493",2:40,
14,11/2/2017,7:30 PM,,New York Rangers,1,2,L,OT,10,2,2,L 1,,28,16,0,2,1,,35,16,0,2,0,"19,092",2:46,
15,11/4/2017,7:00 PM,,Columbus Blue Jackets,5,4,W,SO,11,2,2,W 1,,36,8,1,3,0,,34,6,0,4,0,"19,092",2:45,
16,11/8/2017,10:30 PM,@,San Jose Sharks,5,1,W,,12,2,2,W 2,,30,4,1,4,0,,33,8,0,2,0,"17,044",2:21,
17,11/9/2017,10:30 PM,@,Los Angeles Kings,5,2,W,,13,2,2,W 3,,43,10,1,5,0,,24,14,0,3,0,"18,230",2:38,
18,11/12/2017,8:00 PM,@,Anaheim Ducks,2,1,W,,14,2,2,W 4,,37,2,1,2,0,,29,4,0,1,0,"15,707",2:41,
19,11/16/2017,7:30 PM,,Dallas Stars,6,1,W,,15,2,2,W 5,,28,11,1,4,1,,28,13,0,3,0,"19,092",2:31,
20,11/18/2017,7:00 PM,,New York Islanders,3,5,L,,15,3,2,L 1,,39,4,0,1,0,,32,2,1,2,0,"19,092",2:24,
21,11/22/2017,7:30 PM,,Chicago Blackhawks,3,2,W,OT,16,3,2,W 1,,38,8,1,6,1,,31,10,1,4,0,"19,092",2:34,
22,11/24/2017,5:00 PM,@,Washington Capitals,1,3,L,,16,4,2,L 1,,26,6,1,3,0,,38,6,0,3,0,"18,506",2:25,
23,11/25/2017,7:00 PM,@,Pittsburgh Penguins,2,5,L,,16,5,2,L 2,,35,10,1,6,0,,34,12,3,5,1,"18,659",2:34,
24,11/28/2017,7:00 PM,@,Buffalo Sabres,2,0,W,,17,5,2,W 1,,26,6,1,3,0,,34,6,,3,,"17,569",2:29,
25,11/29/2017,7:30 PM,@,Boston Bruins,2,3,L,,17,6,2,L 1,,21,10,1,2,0,,36,10,0,2,0,"17,565",2:41,
26,12/2/2017,7:00 PM,,San Jose Sharks,5,2,W,,18,6,2,W 1,,43,2,1,2,0,,27,4,0,1,0,"19,092",2:34,
27,12/5/2017,7:30 PM,,New York Islanders,6,2,W,,19,6,2,W 2,,34,2,2,4,0,,31,8,1,2,0,"19,092",2:25,
28,12/7/2017,7:30 PM,,Colorado Avalanche,5,2,W,,20,6,2,W 3,,32,6,1,5,1,,30,10,0,3,0,"19,092",2:32,
29,12/9/2017,7:00 PM,,Winnipeg Jets,4,3,W,OT,21,6,2,W 4,,28,4,1,3,0,,20,8,0,1,0,"19,092",2:32,
30,12/12/2017,8:00 PM,@,St. Louis Blues,3,0,W,,22,6,2,W 5,,25,4,0,3,0,,32,8,,1,,"18,290",2:21,
31,12/14/2017,9:00 PM,@,Arizona Coyotes,4,1,W,,23,6,2,W 6,,48,20,1,3,0,,33,20,1,3,0,"11,591",2:31,
32,12/16/2017,9:00 PM,@,Colorado Avalanche,6,5,W,,24,6,2,W 7,,31,16,0,2,0,,37,21,2,6,0,"16,956",2:39,
33,12/19/2017,10:00 PM,@,Vegas Golden Knights,3,4,L,,24,7,2,L 1,,38,10,2,4,0,,36,8,4,5,0,"17,813",2:35,
34,12/21/2017,7:30 PM,,Ottawa Senators,4,3,W,SO,25,7,2,W 1,,38,13,0,3,0,,21,11,1,3,0,"19,092",3:00,
35,12/23/2017,7:00 PM,,Minnesota Wild,3,0,W,,26,7,2,W 2,,31,12,0,6,0,,22,12,,6,,"19,092",2:32,
36,12/28/2017,7:30 PM,,Montreal Canadiens,3,1,W,,27,7,2,W 3,,34,8,1,6,0,,32,14,1,3,0,"19,092",2:32,
37,12/29/2017,7:30 PM,,Philadelphia Flyers,3,5,L,,27,8,2,L 1,,27,12,1,3,1,,38,6,2,6,0,"19,092",2:36,
38,12/31/2017,6:00 PM,@,Columbus Blue Jackets,5,0,W,,28,8,2,W 1,,35,8,1,5,0,,21,8,,4,,"18,878",2:27,
39,1/2/2018,7:00 PM,@,Toronto Maple Leafs,2,0,W,,29,8,2,W 2,,36,6,0,3,0,,29,8,,2,,"19,344",2:28,
40,1/4/2018,7:30 PM,@,Montreal Canadiens,1,2,L,SO,29,8,3,L 1,,45,4,0,2,0,,38,4,0,2,0,"21,302",2:41,
41,1/6/2018,7:00 PM,@,Ottawa Senators,3,6,L,,29,9,3,L 2,,48,10,1,5,0,,33,14,0,3,0,"16,247",2:41,
42,1/7/2018,7:00 PM,@,Detroit Red Wings,5,2,W,,30,9,3,W 1,,24,20,0,0,0,,36,12,0,4,0,"19,515",2:38,
43,1/9/2018,7:30 PM,,Carolina Hurricanes,5,4,W,,31,9,3,W 2,,34,6,0,0,0,,32,0,2,4,0,"19,092",2:45,
44,1/11/2018,7:30 PM,,Calgary Flames,1,5,L,,31,10,3,L 1,,34,7,0,3,0,,24,11,1,1,0,"19,092",2:30,
45,1/18/2018,7:30 PM,,Vegas Golden Knights,1,4,L,,31,11,3,L 2,,29,8,1,3,0,,30,10,0,2,0,"19,092",2:28,
46,1/20/2018,9:00 PM,@,Minnesota Wild,2,5,L,,31,12,3,L 3,,23,8,1,4,0,,35,10,1,3,0,"19,007",2:35,
47,1/22/2018,8:30 PM,@,Chicago Blackhawks,2,0,W,,32,12,3,W 1,,31,12,0,2,1,,40,4,,6,,"21,662",2:18,
48,1/23/2018,8:00 PM,@,Nashville Predators,4,3,W,OT,33,12,3,W 2,,31,6,0,2,0,,33,4,2,3,0,"17,332",2:37,
49,1/25/2018,7:00 PM,@,Philadelphia Flyers,5,1,W,,34,12,3,W 3,,22,8,0,1,1,,37,12,1,4,0,"19,489",2:29,
50,1/30/2018,8:00 PM,@,Winnipeg Jets,1,3,L,,34,13,3,L 1,,24,8,0,4,0,,37,8,1,4,0,"15,321",2:29,
51,2/1/2018,9:00 PM,@,Calgary Flames,7,4,W,,35,13,3,W 1,,31,14,1,4,0,,46,18,1,2,0,"19,000",2:38,
52,2/3/2018,10:00 PM,@,Vancouver Canucks,4,2,W,,36,13,3,W 2,,28,8,1,4,0,,33,10,0,3,0,"18,865",2:26,
53,2/5/2018,9:00 PM,@,Edmonton Oilers,2,6,L,,36,14,3,L 1,,34,10,1,3,0,,35,8,2,4,0,"18,347",2:27,
54,2/8/2018,7:30 PM,,Vancouver Canucks,5,2,W,,37,14,3,W 1,,36,6,2,3,0,,29,6,1,3,0,"19,092",2:25,
55,2/10/2018,7:00 PM,,Los Angeles Kings,4,3,W,,38,14,3,W 2,,28,8,1,4,0,,47,21,0,3,0,"19,092",2:32,
56,2/12/2018,7:00 PM,@,Toronto Maple Leafs,3,4,L,,38,15,3,L 1,,34,2,0,2,0,,23,4,0,1,0,"19,112",2:31,
57,2/13/2018,7:00 PM,@,Buffalo Sabres,3,5,L,,38,16,3,L 2,,29,4,1,5,0,,33,10,2,3,0,"16,530",2:35,
58,2/15/2018,7:30 PM,,Detroit Red Wings,4,1,W,,39,16,3,W 1,,32,6,2,4,0,,39,8,1,3,0,"19,092",2:31,
59,2/17/2018,7:00 PM,,New Jersey Devils,3,4,L,,39,17,3,L 1,,51,8,2,6,0,,28,14,0,3,1,"19,092",2:33,
60,2/20/2018,7:00 PM,@,Washington Capitals,4,2,W,,40,17,3,W 1,,19,4,1,2,0,,37,4,1,2,0,"18,506",2:23,
61,2/22/2018,7:30 PM,@,Ottawa Senators,4,3,W,,41,17,3,W 2,,24,10,0,3,0,,36,6,1,5,0,"16,204",2:34,
62,2/24/2018,7:00 PM,@,Montreal Canadiens,4,3,W,SO,42,17,3,W 3,,39,25,2,5,0,,32,17,1,4,0,"21,302",2:46,
63,2/26/2018,7:30 PM,,Toronto Maple Leafs,4,3,W,SO,43,17,3,W 4,,42,8,0,4,0,,30,8,1,4,0,"19,092",2:50,
64,2/28/2018,7:00 PM,,Buffalo Sabres,1,2,L,OT,43,17,4,L 1,,22,18,0,1,0,,34,2,1,4,0,"19,092",2:26,
65,3/1/2018,8:30 PM,@,Dallas Stars,5,4,W,OT,44,17,4,W 1,,25,6,0,3,0,,35,4,1,3,0,"17,337",2:44,
66,3/3/2018,1:00 PM,,Philadelphia Flyers,7,6,W,SO,45,17,4,W 2,,35,12,1,1,0,,43,4,1,5,0,"19,092",2:49,
67,3/6/2018,7:30 PM,,Florida Panthers,5,4,W,OT,46,17,4,W 3,,33,9,0,0,0,,49,5,1,2,0,"19,092",2:39,
68,3/8/2018,7:30 PM,,New York Rangers,5,3,W,,47,17,4,W 4,,45,6,0,4,0,,30,8,0,3,0,"19,092",2:36,
69,3/10/2018,1:00 PM,,Montreal Canadiens,3,2,W,SO,48,17,4,W 5,,34,13,1,4,0,,29,15,1,3,0,"19,092",2:46,
70,3/13/2018,7:30 PM,,Ottawa Senators,4,7,L,,48,18,4,L 1,,46,9,2,4,0,,33,13,2,2,0,"19,092",2:36,
71,3/17/2018,7:00 PM,,Boston Bruins,0,3,L,,48,19,4,L 2,,23,8,0,3,0,,27,8,2,3,0,"19,092",2:22,
72,3/18/2018,5:00 PM,,Edmonton Oilers,3,1,W,,49,19,4,W 1,,40,10,1,4,0,,30,8,0,5,0,"19,092",2:23,
73,3/20/2018,7:30 PM,,Toronto Maple Leafs,4,3,W,,50,19,4,W 2,,25,8,0,1,0,,30,4,1,3,0,"19,092",2:28,
74,3/22/2018,7:00 PM,@,New York Islanders,,,,,,,,,,,,,,,,,,,,,,,
75,3/24/2018,7:00 PM,@,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,,,
76,3/26/2018,7:30 PM,,Arizona Coyotes,,,,,,,,,,,,,,,,,,,,,,,
77,3/29/2018,7:00 PM,@,Boston Bruins,,,,,,,,,,,,,,,,,,,,,,,
78,3/30/2018,7:00 PM,@,New York Rangers,,,,,,,,,,,,,,,,,,,,,,,
79,4/1/2018,6:00 PM,,Nashville Predators,,,,,,,,,,,,,,,,,,,,,,,
80,4/3/2018,7:30 PM,,Boston Bruins,,,,,,,,,,,,,,,,,,,,,,,
81,4/6/2018,7:30 PM,,Buffalo Sabres,,,,,,,,,,,,,,,,,,,,,,,
82,4/7/2018,7:00 PM,@,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,
