,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,7:00 PM,@,Winnipeg Jets,7,2,W,,1,0,0,W 1,,31,14,2,4,0,,37,8,0,8,0,"15,321",2:33,
2,10/7/2017,7:00 PM,,New York Rangers,8,5,W,,2,0,0,W 2,,41,4,3,6,0,,35,10,2,3,0,"19,621",2:48,
3,10/9/2017,7:00 PM,,Chicago Blackhawks,4,3,W,OT,3,0,0,W 3,,43,14,1,6,0,,21,12,1,6,0,"19,456",2:39,
4,10/11/2017,7:30 PM,,New Jersey Devils,3,6,L,,3,1,0,L 1,,50,15,2,8,0,,31,31,1,5,1,"19,103",2:39,
5,10/14/2017,7:00 PM,@,Montreal Canadiens,4,3,W,OT,4,1,0,W 1,,22,4,0,2,0,,34,4,1,2,0,"21,302",2:39,
6,10/17/2017,7:00 PM,@,Washington Capitals,2,0,W,,5,1,0,W 2,,30,6,0,2,0,,30,4,,3,,"18,506",2:24,
7,10/18/2017,7:30 PM,,Detroit Red Wings,6,3,W,,6,1,0,W 3,,26,6,1,2,0,,33,6,0,3,0,"19,158",2:34,
8,10/21/2017,7:00 PM,@,Ottawa Senators,3,6,L,,6,2,0,L 1,,31,2,1,2,0,,35,4,0,2,0,"17,455",2:41,
9,10/23/2017,7:00 PM,,Los Angeles Kings,3,2,W,,7,2,0,W 1,,34,13,1,6,0,,38,21,0,2,1,"19,235",2:43,
10,10/26/2017,7:00 PM,,Carolina Hurricanes,3,6,L,,7,3,0,L 1,,34,2,0,1,0,,38,6,0,1,0,"19,070",2:32,
11,10/28/2017,7:00 PM,,Philadelphia Flyers,2,4,L,,7,4,0,L 2,,30,2,0,3,0,,30,6,1,1,0,"19,317",2:33,
12,10/30/2017,10:30 PM,@,San Jose Sharks,2,3,L,,7,5,0,L 3,,18,8,0,0,0,,39,0,1,4,0,"17,562",2:25,
13,11/1/2017,10:00 PM,@,Anaheim Ducks,3,1,W,,8,5,0,W 1,,29,8,0,2,0,,29,4,0,4,0,"15,628",2:28,
14,11/2/2017,10:30 PM,@,Los Angeles Kings,3,5,L,,8,6,0,L 1,,36,10,1,4,0,,28,10,2,4,0,"18,230",2:36,
15,11/4/2017,7:00 PM,@,St. Louis Blues,4,6,L,,8,7,0,L 2,,31,6,0,2,0,,32,6,1,4,0,"19,046",2:30,
16,11/6/2017,7:00 PM,,Vegas Golden Knights,4,3,W,SO,9,7,0,W 1,,25,4,1,4,0,,28,8,1,3,0,"19,398",2:44,
17,11/8/2017,7:30 PM,,Minnesota Wild,4,2,W,,10,7,0,W 2,,19,8,0,2,0,,37,4,1,4,0,"19,049",2:29,
18,11/10/2017,7:00 PM,,Boston Bruins,3,2,W,OT,11,7,0,W 3,,33,8,1,5,0,,35,10,1,4,0,"19,381",2:53,
19,11/11/2017,7:00 PM,@,Boston Bruins,4,1,W,,12,7,0,W 4,,25,15,1,3,0,,39,13,0,4,0,"17,565",2:34,
20,11/16/2017,7:00 PM,,New Jersey Devils,1,0,W,OT,13,7,0,W 5,,25,6,0,2,0,,42,4,,3,,"19,202",2:40,
21,11/18/2017,7:00 PM,@,Montreal Canadiens,6,0,W,,14,7,0,W 6,,31,13,0,3,0,,33,17,,1,,"21,302",2:33,
22,11/20/2017,7:00 PM,,Arizona Coyotes,1,4,L,,14,8,0,L 1,,28,8,1,1,0,,31,2,2,4,0,"19,196",2:31,
23,11/22/2017,7:00 PM,@,Florida Panthers,1,2,L,SO,14,8,1,L 2,,44,6,0,3,0,,43,6,0,3,0,"15,256",2:45,
24,11/24/2017,7:30 PM,@,Carolina Hurricanes,5,4,W,,15,8,1,W 1,,25,4,1,2,0,,47,4,0,2,0,"15,241",2:22,
25,11/25/2017,7:00 PM,,Washington Capitals,2,4,L,,15,9,1,L 1,,29,6,0,1,0,,21,2,1,3,0,"19,404",2:27,
26,11/28/2017,9:00 PM,@,Calgary Flames,4,1,W,,16,9,1,W 1,,30,6,0,2,0,,20,2,0,3,0,"19,289",2:30,
27,11/30/2017,9:00 PM,@,Edmonton Oilers,6,4,W,,17,9,1,W 2,,36,9,2,2,0,,45,9,0,2,0,"18,347",2:35,
28,12/2/2017,7:00 PM,@,Vancouver Canucks,1,2,L,,17,10,1,L 1,,36,2,0,2,0,,26,4,0,1,0,"18,865",2:23,
29,12/6/2017,7:30 PM,,Calgary Flames,2,1,W,SO,18,10,1,W 1,,29,4,0,4,0,,48,8,1,2,0,"19,217",2:52,
30,12/9/2017,7:00 PM,@,Pittsburgh Penguins,4,3,W,,19,10,1,W 2,,25,6,0,1,0,,36,2,1,4,0,"18,658",2:26,
31,12/10/2017,7:00 PM,,Edmonton Oilers,1,0,W,,20,10,1,W 3,,23,8,0,2,0,,41,4,,4,,"19,486",2:18,
32,12/12/2017,7:00 PM,@,Philadelphia Flyers,2,4,L,,20,11,1,L 1,,22,2,1,1,0,,39,2,0,1,0,"19,077",2:23,
33,12/14/2017,8:00 PM,@,Minnesota Wild,0,2,L,,20,12,1,L 2,,28,4,0,4,0,,26,10,0,1,0,"18,857",2:30,
34,12/15/2017,7:30 PM,@,Detroit Red Wings,1,3,L,,20,13,1,L 3,,26,8,0,3,0,,29,6,1,4,1,"19,515",2:26,
35,12/19/2017,2:00 PM,,Carolina Hurricanes,8,1,W,,21,13,1,W 1,,36,15,3,3,1,,33,13,0,4,0,"19,288",2:35,
36,12/20/2017,7:30 PM,@,Columbus Blue Jackets,2,4,L,,21,14,1,L 1,,41,6,0,1,0,,37,4,1,2,0,"17,708",2:27,
37,12/23/2017,7:00 PM,@,New York Rangers,3,2,W,,22,14,1,W 1,,37,10,1,6,0,,32,14,0,3,0,"18,006",2:46,
38,12/28/2017,9:00 PM,@,Arizona Coyotes,7,4,W,,23,14,1,W 2,,33,16,1,1,1,,34,6,1,6,0,"17,125",2:36,
39,12/29/2017,9:00 PM,@,Colorado Avalanche,3,4,L,OT,23,14,2,L 1,,34,6,0,2,0,,28,4,1,4,0,"18,013",2:36,
40,12/31/2017,3:30 PM,@,Vegas Golden Knights,3,6,L,,23,15,2,L 2,,23,6,0,3,0,,31,4,0,3,0,"18,118",2:30,
41,1/2/2018,7:00 PM,,Tampa Bay Lightning,0,2,L,,23,16,2,L 3,,29,8,0,2,0,,36,6,0,3,0,"19,344",2:28,
42,1/4/2018,7:00 PM,,San Jose Sharks,3,2,W,SO,24,16,2,W 1,,28,17,1,4,0,,35,13,0,5,0,"19,132",2:49,
43,1/6/2018,7:00 PM,,Vancouver Canucks,3,2,W,SO,25,16,2,W 2,,36,6,0,4,0,,36,8,1,3,0,"19,361",2:59,
44,1/8/2018,7:00 PM,,Columbus Blue Jackets,2,3,L,OT,25,16,3,L 1,,37,6,1,2,0,,33,4,0,3,0,"18,933",2:29,
45,1/10/2018,7:30 PM,,Ottawa Senators,3,4,L,,25,17,3,L 2,,48,2,0,3,0,,32,6,0,1,0,"19,117",2:54,
46,1/16/2018,7:00 PM,,St. Louis Blues,1,2,L,OT,25,17,4,L 3,,31,9,0,1,1,,42,7,0,2,0,"18,951",2:33,
47,1/18/2018,7:00 PM,@,Philadelphia Flyers,2,3,L,OT,25,17,5,L 4,,31,4,0,2,0,,37,4,0,2,1,"19,860",2:33,
48,1/20/2018,7:00 PM,@,Ottawa Senators,4,3,W,,26,17,5,W 1,,33,6,1,3,0,,18,8,1,2,1,"17,768",2:41,
49,1/22/2018,7:00 PM,,Colorado Avalanche,2,4,L,,26,18,5,L 1,,31,0,0,3,0,,27,6,0,0,0,"18,979",2:37,
50,1/24/2018,8:00 PM,@,Chicago Blackhawks,3,2,W,OT,27,18,5,W 1,,36,8,1,4,0,,36,8,2,4,0,"21,563",2:53,
51,1/25/2018,8:30 PM,@,Dallas Stars,4,1,W,,28,18,5,W 2,,29,9,1,2,0,,40,9,0,3,0,"18,225",2:31,
52,1/31/2018,7:30 PM,,New York Islanders,5,0,W,,29,18,5,W 3,,50,2,0,2,0,,28,4,,1,,"19,267",2:30,
53,2/1/2018,7:00 PM,@,New York Rangers,4,0,W,,30,18,5,W 4,,32,6,0,1,0,,25,2,,3,,"18,006",2:21,
54,2/3/2018,7:00 PM,@,Boston Bruins,1,4,L,,30,19,5,L 1,,24,6,1,4,0,,30,8,2,3,0,"17,565",2:31,
55,2/5/2018,7:00 PM,,Anaheim Ducks,7,4,W,,31,19,5,W 1,,40,6,1,3,0,,44,6,1,3,0,"19,055",2:39,
56,2/7/2018,7:30 PM,,Nashville Predators,3,2,W,SO,32,19,5,W 2,,32,4,0,2,1,,46,4,0,2,0,"18,878",2:49,
57,2/10/2018,7:00 PM,,Ottawa Senators,6,3,W,,33,19,5,W 3,,41,4,1,5,0,,25,8,0,2,0,"19,477",2:34,
58,2/12/2018,7:00 PM,,Tampa Bay Lightning,4,3,W,,34,19,5,W 4,,23,4,0,1,0,,34,2,0,2,0,"19,112",2:31,
