,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/7/2017,10:00 PM,,Edmonton Oilers,3,2,W,,1,0,0,W 1,,26,13,1,7,0,,35,19,1,5,0,"18,865",2:36,
2,10/10/2017,10:00 PM,,Ottawa Senators,2,3,L,SO,1,0,1,L 1,,28,8,0,4,0,,42,8,0,4,0,"17,273",2:45,
3,10/12/2017,10:00 PM,,Winnipeg Jets,2,4,L,,1,1,1,L 2,,32,4,1,5,0,,20,10,0,2,1,"15,589",2:32,
4,10/14/2017,10:00 PM,,Calgary Flames,2,5,L,,1,2,1,L 3,,29,14,0,7,0,,27,16,1,5,1,"17,074",2:33,
5,10/17/2017,7:30 PM,@,Ottawa Senators,3,0,W,,2,2,1,W 1,,24,23,1,2,0,,32,9,,3,,"13,430",2:32,
6,10/19/2017,7:00 PM,@,Boston Bruins,3,6,L,,2,3,1,L 1,,29,43,1,6,0,,35,22,4,8,0,"17,565",2:34,
7,10/20/2017,7:00 PM,@,Buffalo Sabres,4,2,W,,3,3,1,W 1,,41,4,0,4,1,,22,6,0,3,0,"18,050",2:39,
8,10/22/2017,7:00 PM,@,Detroit Red Wings,4,1,W,,4,3,1,W 2,,37,2,0,2,0,,21,4,0,1,0,"19,515",2:27,
9,10/24/2017,8:00 PM,@,Minnesota Wild,1,0,W,,5,3,1,W 3,,25,8,0,3,0,,29,6,,4,,"18,694",2:32,
10,10/26/2017,10:00 PM,,Washington Capitals,6,2,W,,6,3,1,W 4,,30,11,3,6,0,,27,27,0,3,0,"18,293",2:34,
11,10/30/2017,10:00 PM,,Dallas Stars,1,2,L,OT,6,3,2,L 1,,39,10,1,4,0,,29,8,1,5,0,"17,109",2:34,
12,11/1/2017,10:00 PM,,New Jersey Devils,0,2,L,,6,4,2,L 2,,37,2,0,4,0,,26,8,0,1,0,"16,855",2:28,
13,11/4/2017,10:00 PM,,Pittsburgh Penguins,4,2,W,,7,4,2,W 1,,21,8,0,2,0,,39,4,1,4,0,"18,865",2:35,
14,11/6/2017,10:00 PM,,Detroit Red Wings,2,3,L,,7,5,2,L 1,,28,6,0,2,0,,29,6,1,2,0,"17,836",2:38,
15,11/7/2017,9:00 PM,@,Calgary Flames,5,3,W,,8,5,2,W 1,,21,8,2,3,1,,32,6,2,4,0,"18,160",2:28,
16,11/9/2017,10:00 PM,@,Anaheim Ducks,1,4,L,,8,6,2,L 1,,20,27,0,5,0,,35,15,3,6,0,"16,038",2:30,
17,11/11/2017,10:00 PM,@,San Jose Sharks,0,5,L,,8,7,2,L 2,,41,8,0,5,0,,31,23,0,4,3,"17,562",2:26,
18,11/14/2017,10:30 PM,@,Los Angeles Kings,3,2,W,,9,7,2,W 1,,27,13,2,3,0,,32,11,1,5,0,"18,230",2:37,
19,11/16/2017,10:00 PM,,Vegas Golden Knights,2,5,L,,9,8,2,L 1,,21,0,0,2,0,,30,4,0,0,0,"18,119",2:32,
20,11/18/2017,10:00 PM,,St. Louis Blues,3,4,L,OT,9,8,3,L 2,,23,8,1,4,1,,31,8,0,4,0,"18,865",2:31,
21,11/21/2017,7:00 PM,@,Philadelphia Flyers,5,2,W,,10,8,3,W 1,,36,4,2,3,0,,38,6,0,2,0,"19,278",2:32,
22,11/22/2017,7:00 PM,@,Pittsburgh Penguins,5,2,W,,11,8,3,W 2,,37,10,2,3,0,,45,6,2,5,0,"18,606",2:29,
23,11/24/2017,7:00 PM,@,New Jersey Devils,2,3,L,,11,9,3,L 1,,25,6,1,3,0,,26,6,1,3,0,"16,514",2:23,
24,11/26/2017,2:00 PM,@,New York Rangers,3,4,L,SO,11,9,4,L 2,,32,4,0,1,0,,20,2,0,2,0,"17,632",2:37,
25,11/28/2017,7:00 PM,@,New York Islanders,2,5,L,,11,10,4,L 3,,25,6,1,2,1,,36,4,0,3,1,"11,194",2:25,
26,11/30/2017,8:00 PM,@,Nashville Predators,5,3,W,,12,10,4,W 1,,32,8,1,4,0,,32,8,1,4,0,"17,113",2:31,
27,12/2/2017,7:00 PM,,Toronto Maple Leafs,2,1,W,,13,10,4,W 2,,26,4,0,1,0,,36,2,0,2,0,"18,865",2:23,
28,12/5/2017,10:00 PM,,Carolina Hurricanes,3,0,W,,14,10,4,W 3,,22,4,1,2,0,,30,14,,2,,"17,860",2:20,
29,12/7/2017,10:00 PM,,Philadelphia Flyers,1,4,L,,14,11,4,L 1,,37,10,0,2,0,,26,4,2,6,0,"16,515",2:34,
30,12/9/2017,10:00 PM,@,Calgary Flames,2,4,L,,14,12,4,L 2,,24,8,1,4,0,,35,8,0,4,0,"18,552",2:31,
31,12/11/2017,8:00 PM,@,Winnipeg Jets,1,5,L,,14,13,4,L 3,,26,6,0,2,0,,24,4,1,3,0,"15,321",2:20,
32,12/13/2017,10:00 PM,,Nashville Predators,1,7,L,,14,14,4,L 4,,26,20,1,4,0,,48,30,1,4,1,"16,806",2:39,
33,12/15/2017,10:00 PM,,San Jose Sharks,4,3,W,OT,15,14,4,W 1,,40,8,2,3,0,,37,6,1,4,0,"17,278",2:29,
34,12/17/2017,8:00 PM,,Calgary Flames,1,6,L,,15,15,4,L 1,,17,14,1,5,0,,38,14,1,5,0,"18,236",2:31,
35,12/19/2017,10:00 PM,,Montreal Canadiens,5,7,L,,15,16,4,L 2,,39,6,2,3,0,,32,6,2,3,0,"18,865",2:38,
36,12/21/2017,10:30 PM,@,San Jose Sharks,4,5,L,OT,15,16,5,L 3,,40,15,0,4,0,,32,13,3,5,0,"17,562",2:32,
37,12/23/2017,10:00 PM,,St. Louis Blues,1,3,L,,15,17,5,L 4,,31,4,0,2,0,,34,4,0,2,0,"17,919",2:32,
38,12/28/2017,10:00 PM,,Chicago Blackhawks,5,2,W,,16,17,5,W 1,,31,12,0,3,0,,32,8,1,5,0,"18,865",2:29,
39,12/30/2017,10:00 PM,,Los Angeles Kings,3,4,L,,16,18,5,L 1,,25,4,0,1,0,,36,2,1,2,0,"18,865",2:35,
40,1/2/2018,10:00 PM,,Anaheim Ducks,0,5,L,,16,19,5,L 2,,31,9,0,4,0,,27,13,0,2,0,"18,865",2:33,
41,1/6/2018,7:00 PM,@,Toronto Maple Leafs,2,3,L,SO,16,19,6,L 3,,36,8,1,3,0,,36,6,0,4,0,"19,361",2:59,
42,1/7/2018,7:00 PM,@,Montreal Canadiens,2,5,L,,16,20,6,L 4,,36,6,0,3,0,,45,6,1,3,0,"21,302",2:33,
43,1/9/2018,7:00 PM,@,Washington Capitals,1,3,L,,16,21,6,L 5,,38,9,1,3,0,,36,19,0,2,0,"18,506",2:36,
44,1/12/2018,7:00 PM,@,Columbus Blue Jackets,5,2,W,,17,21,6,W 1,,29,4,2,3,0,,29,6,1,2,0,"16,705",2:30,
45,1/14/2018,8:00 PM,@,Minnesota Wild,3,2,W,OT,18,21,6,W 2,,25,2,0,1,0,,23,2,1,1,0,"18,927",2:27,
