,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/6/2017,8:30 PM,@,Dallas Stars,2,1,W,,1,0,0,W 1,,30,10,0,7,0,,46,16,1,4,0,"18,532",2:41,
2,10/7/2017,9:00 PM,@,Arizona Coyotes,2,1,W,OT,2,0,0,W 2,,42,6,0,4,0,,28,8,0,3,0,"17,125",2:36,
3,10/10/2017,10:00 PM,,Arizona Coyotes,5,2,W,,3,0,0,W 3,,28,6,1,3,0,,33,6,0,3,0,"18,191",2:33,
4,10/13/2017,10:30 PM,,Detroit Red Wings,3,6,L,,3,1,0,L 1,,27,9,0,3,0,,27,13,0,1,0,"17,645",2:26,
5,10/15/2017,7:00 PM,,Boston Bruins,3,1,W,,4,1,0,W 1,,26,4,0,4,0,,22,10,0,3,0,"17,562",2:31,
6,10/17/2017,10:00 PM,,Buffalo Sabres,5,4,W,OT,5,1,0,W 2,,31,10,1,5,0,,34,8,3,5,0,"17,617",2:46,
7,10/21/2017,10:30 PM,,St. Louis Blues,3,2,W,OT,6,1,0,W 3,,22,10,2,3,0,,49,6,0,4,0,"17,883",2:49,
8,10/24/2017,10:00 PM,,Chicago Blackhawks,4,2,W,,7,1,0,W 4,,33,6,1,5,0,,31,10,0,3,1,"18,108",2:29,
9,10/27/2017,6:00 PM,,Colorado Avalanche,7,0,W,,8,1,0,W 5,,21,13,1,5,0,,32,23,,3,,"17,702",2:35,
10,10/30/2017,7:00 PM,@,New York Islanders,3,6,L,,8,2,0,L 1,,34,10,2,5,1,,30,10,2,5,0,"11,113",2:31,
11,10/31/2017,7:00 PM,@,New York Rangers,4,6,L,,8,3,0,L 2,,34,10,0,3,0,,38,6,2,5,0,"17,294",2:33,
12,11/2/2017,7:00 PM,@,Boston Bruins,1,2,L,,8,4,0,L 3,,29,2,0,3,0,,28,6,0,1,0,"17,565",2:27,
13,11/4/2017,2:00 PM,@,Ottawa Senators,5,4,W,,9,4,0,W 1,,34,6,3,5,0,,28,12,0,2,0,"16,824",2:40,
14,11/6/2017,7:00 PM,@,Toronto Maple Leafs,3,4,L,SO,9,4,1,L 1,,28,8,1,3,0,,25,4,1,4,0,"19,398",2:44,
15,11/7/2017,7:30 PM,@,Montreal Canadiens,2,3,L,,9,5,1,L 2,,31,4,0,2,0,,28,4,0,2,0,"21,302",2:27,
16,11/10/2017,10:30 PM,,Winnipeg Jets,5,2,W,,10,5,1,W 1,,27,12,1,4,1,,29,8,1,6,0,"18,110",2:34,
17,11/14/2017,9:00 PM,@,Edmonton Oilers,2,8,L,,10,6,1,L 1,,24,8,0,4,0,,31,10,3,3,1,"18,347",2:31,
18,11/16/2017,10:00 PM,@,Vancouver Canucks,5,2,W,,11,6,1,W 1,,30,4,0,0,0,,21,0,0,2,0,"18,119",2:32,
19,11/19/2017,8:00 PM,,Los Angeles Kings,4,2,W,,12,6,1,W 2,,40,2,0,1,0,,29,2,0,1,0,"18,211",2:31,
20,11/22/2017,10:30 PM,@,Anaheim Ducks,4,2,W,,13,6,1,W 3,,49,13,1,3,0,,19,11,1,4,0,"17,174",2:35,
