,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/5/2017,7:30 PM,@,Ottawa Senators,5,4,W,SO,1,0,0,W 1,,28,10,0,1,0,,32,0,0,5,0,"17,009",2:43,
2,10/7/2017,7:00 PM,,Montreal Canadiens,6,1,W,,2,0,0,W 2,,23,8,1,4,0,,39,8,0,4,1,"18,506",2:39,
3,10/9/2017,7:30 PM,@,Tampa Bay Lightning,3,4,L,OT,2,0,1,L 1,,26,10,2,4,0,,40,10,1,5,0,"19,092",2:46,
4,10/11/2017,7:30 PM,,Pittsburgh Penguins,2,3,L,,2,1,1,L 2,,22,12,0,4,0,,36,8,3,6,0,"18,506",2:34,
5,10/13/2017,7:00 PM,@,New Jersey Devils,5,2,W,,3,1,1,W 1,,28,30,3,5,0,,23,22,1,4,0,"13,458",2:35,
6,10/14/2017,7:00 PM,@,Philadelphia Flyers,2,8,L,,3,2,1,L 1,,23,14,0,2,0,,37,12,1,2,1,"19,817",2:32,
7,10/17/2017,7:00 PM,,Toronto Maple Leafs,0,2,L,,3,3,1,L 2,,30,4,0,3,0,,30,6,0,2,0,"18,506",2:24,
8,10/20/2017,7:30 PM,@,Detroit Red Wings,4,3,W,OT,4,3,1,W 1,,41,10,2,5,1,,37,10,1,5,1,"19,515",2:36,
9,10/21/2017,7:30 PM,,Florida Panthers,1,4,L,,4,4,1,L 1,,42,12,0,4,0,,23,8,2,6,1,"18,506",2:41,
10,10/26/2017,10:00 PM,@,Vancouver Canucks,2,6,L,,4,5,1,L 2,,27,27,0,3,0,,30,11,3,6,0,"18,293",2:34,
11,10/28/2017,10:00 PM,@,Edmonton Oilers,5,2,W,,5,5,1,W 1,,31,10,0,0,0,,40,2,0,4,0,"18,347",2:27,
12,10/29/2017,9:00 PM,@,Calgary Flames,1,2,L,,5,6,1,L 1,,31,4,0,2,0,,38,4,0,2,0,"18,327",2:28,
13,11/2/2017,7:00 PM,,New York Islanders,4,3,W,,6,6,1,W 1,,19,6,0,4,0,,38,8,2,4,0,"18,506",2:24,
14,11/4/2017,7:00 PM,@,Boston Bruins,3,2,W,,7,6,1,W 2,,27,8,0,2,0,,33,2,1,4,0,"17,565",2:26,
15,11/6/2017,7:00 PM,,Arizona Coyotes,3,2,W,OT,8,6,1,W 3,,40,11,1,6,0,,26,17,0,3,0,"18,506",2:39,
16,11/7/2017,7:00 PM,@,Buffalo Sabres,1,3,L,,8,7,1,L 1,,25,13,0,1,0,,32,7,0,4,0,"17,146",2:25,
17,11/10/2017,7:00 PM,,Pittsburgh Penguins,4,1,W,,9,7,1,W 1,,31,13,2,6,0,,28,15,0,4,0,"18,506",2:33,
18,11/12/2017,7:00 PM,,Edmonton Oilers,2,1,W,SO,10,7,1,W 2,,19,7,0,3,0,,30,23,0,0,0,"18,506",2:38,
19,11/14/2017,8:00 PM,@,Nashville Predators,3,6,L,,10,8,1,L 1,,29,10,1,3,0,,31,6,1,5,0,"17,113",2:32,
20,11/16/2017,9:00 PM,@,Colorado Avalanche,2,6,L,,10,9,1,L 2,,30,20,1,5,0,,28,18,2,6,0,"15,070",2:45,
21,11/18/2017,7:30 PM,,Minnesota Wild,3,1,W,,11,9,1,W 1,,43,8,2,5,0,,31,10,1,4,0,"18,506",2:34,
22,11/20/2017,7:00 PM,,Calgary Flames,1,4,L,,11,10,1,L 1,,30,10,0,3,0,,39,6,2,5,0,"18,506",2:25,
23,11/22/2017,7:00 PM,,Ottawa Senators,5,2,W,,12,10,1,W 1,,25,8,1,1,0,,31,4,0,3,0,"18,506",2:27,
24,11/24/2017,5:00 PM,,Tampa Bay Lightning,3,1,W,,13,10,1,W 2,,38,6,0,3,0,,26,6,1,3,0,"18,506",2:25,
25,11/25/2017,7:00 PM,@,Toronto Maple Leafs,4,2,W,,14,10,1,W 3,,21,2,1,3,0,,29,6,0,1,0,"19,404",2:27,
26,11/30/2017,7:00 PM,,Los Angeles Kings,2,5,L,,14,11,1,L 1,,29,2,0,2,0,,27,4,0,2,0,"18,506",2:21,
27,12/2/2017,7:00 PM,,Columbus Blue Jackets,4,3,W,,15,11,1,W 1,,23,0,1,2,0,,35,4,0,0,1,"18,506",2:28,
28,12/4/2017,7:00 PM,,San Jose Sharks,4,1,W,,16,11,1,W 2,,29,20,2,6,0,,25,39,0,1,0,"18,506",2:40,
29,12/6/2017,8:00 PM,,Chicago Blackhawks,6,2,W,,17,11,1,W 3,,25,12,1,3,1,,39,8,0,4,0,"18,506",2:30,
30,12/8/2017,7:00 PM,,New York Rangers,4,2,W,,18,11,1,W 4,,40,6,0,4,0,,29,8,0,3,0,"18,506",2:24,
31,12/11/2017,7:00 PM,@,New York Islanders,1,3,L,,18,12,1,L 1,,32,6,0,2,0,,29,4,0,3,0,"11,053",2:28,
32,12/12/2017,7:00 PM,,Colorado Avalanche,5,2,W,,19,12,1,W 1,,27,8,0,1,0,,24,2,0,4,0,"18,506",2:19,
33,12/14/2017,7:00 PM,@,Boston Bruins,5,3,W,,20,12,1,W 2,,22,22,1,4,1,,37,20,2,5,0,"17,565",2:37,
34,12/16/2017,8:00 PM,,Anaheim Ducks,3,2,W,OT,21,12,1,W 3,,27,7,0,0,0,,30,5,1,1,0,"18,506",2:26,
35,12/19/2017,8:30 PM,@,Dallas Stars,4,3,W,OT,22,12,1,W 4,,28,12,0,3,0,,36,10,1,4,0,"18,112",2:34,
36,12/22/2017,9:00 PM,@,Arizona Coyotes,2,3,L,OT,22,12,2,L 1,,17,4,0,2,0,,27,4,1,2,0,"10,904",2:26,
37,12/23/2017,8:00 PM,@,Vegas Golden Knights,0,3,L,,22,13,2,L 2,,26,2,0,4,0,,28,8,0,2,0,"18,025",2:24,
38,12/27/2017,8:00 PM,@,New York Rangers,0,1,L,SO,22,13,3,L 3,,30,6,0,2,0,,37,4,,3,,"18,006",2:36,
39,12/28/2017,7:30 PM,,Boston Bruins,4,3,W,SO,23,13,3,W 1,,34,15,1,4,0,,34,11,0,5,0,"18,506",2:46,
40,12/30/2017,7:00 PM,,New Jersey Devils,5,2,W,,24,13,3,W 2,,35,4,1,2,0,,27,4,0,2,0,"18,506",2:25,
41,1/2/2018,7:00 PM,@,Carolina Hurricanes,5,4,W,OT,25,13,3,W 3,,26,8,0,2,0,,38,4,1,4,0,"11,989",2:29,
42,1/7/2018,3:00 PM,,St. Louis Blues,4,3,W,OT,26,13,3,W 4,,33,4,2,4,0,,34,8,1,2,0,"18,506",2:37,
43,1/9/2018,7:00 PM,,Vancouver Canucks,3,1,W,,27,13,3,W 5,,36,19,0,2,0,,38,9,1,3,0,"18,506",2:36,
44,1/11/2018,7:00 PM,,Carolina Hurricanes,1,3,L,,27,14,3,L 1,,28,0,0,3,0,,33,6,0,1,1,"18,506",2:24,
45,1/12/2018,7:30 PM,@,Carolina Hurricanes,4,3,W,,28,14,3,W 1,,27,10,1,4,0,,39,8,2,5,0,"16,239",2:33,
46,1/18/2018,7:00 PM,@,New Jersey Devils,3,4,L,OT,28,14,4,L 1,,19,11,0,5,0,,32,25,0,3,0,"14,163",2:32,
47,1/19/2018,7:30 PM,,Montreal Canadiens,2,3,L,,28,15,4,L 2,,26,15,1,3,0,,26,11,1,4,0,"18,506",2:30,
48,1/21/2018,12:30 PM,,Philadelphia Flyers,1,2,L,OT,28,15,5,L 3,,28,8,1,3,0,,23,8,0,3,0,"18,506",2:27,
