,,,,,,,,,Cumulative,,,,,Team,,,,,,Opponent,,,,,,,
GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,10/4/2017,7:00 PM,,Toronto Maple Leafs,2,7,L,,0,1,0,L 1,,37,8,0,8,0,,31,14,2,4,0,"15,321",2:33,
2,10/7/2017,10:00 PM,@,Calgary Flames,3,6,L,,0,2,0,L 2,,28,12,1,3,1,,45,6,2,6,0,"19,289",2:32,
3,10/9/2017,9:00 PM,@,Edmonton Oilers,5,2,W,,1,2,0,W 1,,43,4,1,4,0,,39,8,0,2,0,"18,347",2:34,
4,10/12/2017,10:00 PM,@,Vancouver Canucks,4,2,W,,2,2,0,W 2,,20,10,0,2,1,,32,4,1,5,0,"15,589",2:32,
5,10/14/2017,7:00 PM,,Carolina Hurricanes,2,1,W,,3,2,0,W 3,,21,8,0,2,0,,29,4,1,4,0,"15,321",2:28,
6,10/17/2017,8:00 PM,,Columbus Blue Jackets,2,5,L,,3,3,0,L 1,,26,6,0,1,1,,39,2,0,3,0,"15,321",2:22,
7,10/20/2017,8:00 PM,,Minnesota Wild,4,3,W,,4,3,0,W 1,,30,2,2,3,0,,27,6,1,1,0,"15,321",2:33,
8,10/26/2017,7:00 PM,@,Pittsburgh Penguins,1,2,L,OT,4,3,1,L 1,,31,10,0,2,0,,36,6,0,4,0,"18,445",2:34,
9,10/27/2017,7:00 PM,@,Columbus Blue Jackets,1,2,L,OT,4,3,2,L 2,,30,8,0,6,0,,37,10,0,4,0,"14,224",2:33,
10,10/29/2017,7:00 PM,,Pittsburgh Penguins,7,1,W,,5,3,2,W 1,,24,22,1,3,0,,32,22,1,3,0,"15,321",2:31,
11,10/31/2017,8:00 PM,@,Minnesota Wild,2,1,W,,6,3,2,W 2,,19,12,0,3,0,,29,8,0,5,0,"18,814",2:29,
12,11/2/2017,8:00 PM,,Dallas Stars,5,2,W,,7,3,2,W 3,,27,12,2,3,0,,23,18,0,0,0,"15,321",2:37,
13,11/4/2017,7:00 PM,,Montreal Canadiens,4,5,L,OT,7,3,3,L 1,,23,20,3,3,0,,50,6,3,6,0,"15,321",2:40,
14,11/6/2017,8:30 PM,@,Dallas Stars,4,1,W,,8,3,3,W 1,,26,8,1,3,1,,34,6,1,4,0,"17,895",2:30,
15,11/10/2017,10:30 PM,@,Vegas Golden Knights,2,5,L,,8,4,3,L 1,,29,8,1,6,0,,27,12,1,4,1,"18,110",2:34,
16,11/11/2017,10:00 PM,@,Arizona Coyotes,4,1,W,,9,4,3,W 1,,21,8,1,2,0,,30,4,0,4,0,"16,078",2:25,
17,11/14/2017,8:00 PM,,Arizona Coyotes,4,1,W,,10,4,3,W 2,,30,12,0,3,0,,34,6,0,5,0,"15,321",2:28,
18,11/16/2017,8:00 PM,,Philadelphia Flyers,3,2,W,SO,11,4,3,W 3,,33,12,1,7,0,,32,23,1,5,0,"15,321",2:54,
19,11/18/2017,3:00 PM,,New Jersey Devils,5,2,W,,12,4,3,W 4,,34,4,0,0,0,,36,0,0,2,0,"15,321",2:27,
20,11/20/2017,8:00 PM,@,Nashville Predators,3,5,L,,12,5,3,L 1,,35,11,1,2,0,,29,9,2,3,0,"17,113",2:44,
