Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Arizona Coyotes,3,2,1,0,0,4,0.667,10,8,3.33,2.67,3 games
2,Boston Bruins,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
3,Buffalo Sabres,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
4,Carolina Hurricanes,2,2,0,0,0,4,1,7,5,3.5,2.5,2 games
5,Columbus Blue Jackets,2,1,1,0,0,2,0.5,6,6,3,3,2 games
6,Calgary Flames,4,2,2,0,0,4,0.5,8,6,2,1.5,4 games
7,Chicago Blackhawks,3,2,1,0,0,4,0.667,12,12,4,4,3 games
8,Colorado Avalanche,2,0,2,0,0,0,0,2,6,1,3,2 games
9,Dallas Stars,2,1,1,0,0,2,0.5,3,2,1.5,1,2 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,5,4,2.5,2,2 games
11,Edmonton Oilers,3,1,0,0,2,4,0.667,9,10,3,3.33,3 games
12,Florida Panthers,2,1,1,0,0,2,0.5,6,10,3,5,2 games
13,Los Angeles Kings,4,2,0,0,2,6,0.75,10,9,2.5,2.25,4 games
14,Minnesota Wild,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
17,Nashville Predators,3,0,2,0,1,1,0.167,7,12,2.33,4,3 games
18,New York Islanders,2,2,0,0,0,4,1,8,6,4,3,2 games
19,New York Rangers,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
20,Ottawa Senators,2,1,0,0,1,3,0.75,4,2,2,1,2 games
21,Philadelphia Flyers,2,1,0,0,1,3,0.75,8,5,4,2.5,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,9,3,4.5,1.5,2 games
23,San Jose Sharks,4,1,1,0,2,4,0.5,8,13,2,3.25,4 games
24,St. Louis Blues,3,2,1,0,0,4,0.667,8,7,2.67,2.33,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,5,3,2.5,1.5,2 games
26,Toronto Maple Leafs,2,0,2,0,0,0,0,5,10,2.5,5,2 games
27,Vancouver Canucks,3,3,0,0,0,6,1,12,1,4,0.33,3 games
28,Vegas Golden Knights,4,1,2,0,1,3,0.375,8,12,2,3,4 games
29,Winnipeg Jets,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
30,Washington Capitals,2,1,0,0,1,3,0.75,6,3,3,1.5,2 games
