Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,2,0,0,2,0.333,8,10,2.67,3.33,3 games
2,Boston Bruins,2,0,2,0,0,0,0,3,12,1.5,6,2 games
3,Buffalo Sabres,2,1,1,0,0,2,0.5,8,6,4,3,2 games
4,Carolina Hurricanes,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
5,Columbus Blue Jackets,2,0,2,0,0,0,0,1,3,0.5,1.5,2 games
6,Calgary Flames,3,1,2,0,0,2,0.333,7,10,2.33,3.33,3 games
7,Chicago Blackhawks,3,1,2,0,0,2,0.333,9,8,3,2.67,3 games
8,Colorado Avalanche,3,1,2,0,0,2,0.333,7,12,2.33,4,3 games
9,Dallas Stars,3,0,3,0,0,0,0,6,12,2,4,3 games
10,Detroit Red Wings,2,0,2,0,0,0,0,5,9,2.5,4.5,2 games
11,Edmonton Oilers,4,1,1,0,2,4,0.5,8,11,2,2.75,4 games
12,Florida Panthers,1,0,1,0,0,0,0,2,3,2,3,1 games
13,Los Angeles Kings,3,2,1,0,0,4,0.667,7,11,2.33,3.67,3 games
14,Minnesota Wild,3,2,1,0,0,4,0.667,10,9,3.33,3,3 games
15,Montreal Canadiens,2,2,0,0,0,4,1,10,6,5,3,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,8,4,4,2,2 games
17,Nashville Predators,3,1,1,0,1,3,0.5,7,8,2.33,2.67,3 games
18,New York Islanders,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
19,New York Rangers,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
21,Philadelphia Flyers,2,1,0,0,1,3,0.75,7,7,3.5,3.5,2 games
22,Pittsburgh Penguins,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
23,San Jose Sharks,4,1,1,0,2,4,0.5,10,13,2.5,3.25,4 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
25,Tampa Bay Lightning,1,0,1,0,0,0,0,1,4,1,4,1 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,8,8,4,4,2 games
27,Vancouver Canucks,3,2,1,0,0,4,0.667,4,4,1.33,1.33,3 games
28,Vegas Golden Knights,4,0,2,0,2,2,0.25,7,14,1.75,3.5,4 games
29,Winnipeg Jets,3,0,3,0,0,0,0,5,12,1.67,4,3 games
30,Washington Capitals,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
