Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,2,0,0,0,0,3,7,1.5,3.5,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,12,3,6,1.5,2 games
3,Buffalo Sabres,4,1,2,0,1,3,0.375,10,13,2.5,3.25,4 games
4,Carolina Hurricanes,3,3,0,0,0,6,1,17,8,5.67,2.67,3 games
5,Columbus Blue Jackets,3,1,0,0,2,4,0.667,14,11,4.67,3.67,3 games
6,Calgary Flames,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
7,Chicago Blackhawks,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
8,Colorado Avalanche,2,0,2,0,0,0,0,3,10,1.5,5,2 games
9,Dallas Stars,1,0,0,0,1,1,0.5,2,3,2,3,1 games
10,Detroit Red Wings,4,4,0,0,0,8,1,15,10,3.75,2.5,4 games
11,Edmonton Oilers,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
12,Florida Panthers,1,0,1,0,0,0,0,0,3,0,3,1 games
13,Los Angeles Kings,2,1,0,0,1,3,0.75,3,3,1.5,1.5,2 games
14,Minnesota Wild,1,1,0,0,0,2,1,5,3,5,3,1 games
15,Montreal Canadiens,4,4,0,0,0,8,1,14,6,3.5,1.5,4 games
16,New Jersey Devils,3,3,0,0,0,6,1,11,7,3.67,2.33,3 games
17,Nashville Predators,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
18,New York Islanders,3,3,0,0,0,6,1,13,4,4.33,1.33,3 games
19,New York Rangers,3,1,1,0,1,3,0.5,10,8,3.33,2.67,3 games
20,Ottawa Senators,3,3,0,0,0,6,1,13,3,4.33,1,3 games
21,Philadelphia Flyers,2,2,0,0,0,4,1,6,2,3,1,2 games
22,Pittsburgh Penguins,3,2,0,0,1,5,0.833,17,13,5.67,4.33,3 games
23,San Jose Sharks,2,2,0,0,0,4,1,5,2,2.5,1,2 games
24,St. Louis Blues,2,1,0,0,1,3,0.75,4,3,2,1.5,2 games
25,Tampa Bay Lightning,2,2,0,0,0,4,1,6,2,3,1,2 games
26,Toronto Maple Leafs,4,1,2,0,1,3,0.375,10,12,2.5,3,4 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,3,4,1.5,2,2 games
29,Winnipeg Jets,1,1,0,0,0,2,1,2,1,2,1,1 games
30,Washington Capitals,3,0,2,0,1,1,0.167,8,12,2.67,4,3 games
