Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
2,Arizona Coyotes,2,1,1,0,0,2,0.5,6,8,3,4,2 games
3,Boston Bruins,4,3,1,0,0,6,0.75,13,10,3.25,2.5,4 games
4,Carolina Hurricanes,3,0,2,0,1,1,0.167,7,12,2.33,4,3 games
5,Columbus Blue Jackets,3,1,2,0,0,2,0.333,6,9,2,3,3 games
6,Calgary Flames,2,1,1,0,0,2,0.5,3,6,1.5,3,2 games
7,Chicago Blackhawks,2,1,0,0,1,3,0.75,7,6,3.5,3,2 games
8,Colorado Avalanche,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
9,Dallas Stars,2,0,2,0,0,0,0,2,12,1,6,2 games
10,Detroit Red Wings,3,2,1,0,0,4,0.667,5,5,1.67,1.67,3 games
11,Edmonton Oilers,2,2,0,0,0,4,1,8,1,4,0.5,2 games
12,Florida Panthers,3,0,3,0,0,0,0,4,12,1.33,4,3 games
13,Los Angeles Kings,2,0,2,0,0,0,0,4,8,2,4,2 games
14,Minnesota Wild,2,0,2,0,0,0,0,6,11,3,5.5,2 games
15,Montreal Canadiens,3,0,1,0,2,2,0.333,3,8,1,2.67,3 games
16,New Jersey Devils,3,1,2,0,0,2,0.333,7,12,2.33,4,3 games
17,Nashville Predators,1,0,1,0,0,0,0,0,4,0,4,1 games
18,New York Islanders,3,1,1,0,1,3,0.5,9,12,3,4,3 games
19,New York Rangers,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
20,Ottawa Senators,3,2,0,0,1,5,0.833,9,8,3,2.67,3 games
21,Philadelphia Flyers,3,1,2,0,0,2,0.333,6,8,2,2.67,3 games
22,Pittsburgh Penguins,3,0,2,0,1,1,0.167,5,14,1.67,4.67,3 games
23,San Jose Sharks,2,0,2,0,0,0,0,4,6,2,3,2 games
24,St. Louis Blues,2,0,1,0,1,1,0.25,2,4,1,2,2 games
25,Tampa Bay Lightning,3,2,1,0,0,4,0.667,7,6,2.33,2,3 games
26,Toronto Maple Leafs,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,6,4,3,2,2 games
28,Vegas Golden Knights,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
29,Winnipeg Jets,2,0,2,0,0,0,0,7,11,3.5,5.5,2 games
30,Washington Capitals,3,1,2,0,0,2,0.333,6,9,2,3,3 games
