Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,4,2,2,0,0,4,0.5,6,8,1.5,2,4 games
2,Arizona Coyotes,3,2,1,0,0,4,0.667,10,7,3.33,2.33,3 games
3,Boston Bruins,2,0,1,0,1,1,0.25,3,7,1.5,3.5,2 games
4,Buffalo Sabres,2,1,0,0,1,3,0.75,6,3,3,1.5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,5,3,2.5,1.5,2 games
6,Columbus Blue Jackets,1,0,0,0,1,1,0.5,0,1,0,1,1 games
7,Chicago Blackhawks,3,3,0,0,0,6,1,11,8,3.67,2.67,3 games
8,Colorado Avalanche,3,2,1,0,0,4,0.667,10,8,3.33,2.67,3 games
9,Dallas Stars,3,0,3,0,0,0,0,5,10,1.67,3.33,3 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,8,11,4,5.5,2 games
11,Edmonton Oilers,4,1,2,0,1,3,0.375,9,14,2.25,3.5,4 games
12,Florida Panthers,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
13,Los Angeles Kings,3,2,0,0,1,5,0.833,9,8,3,2.67,3 games
14,Minnesota Wild,3,1,1,0,1,3,0.5,6,8,2,2.67,3 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
16,New Jersey Devils,2,2,0,0,0,4,1,8,6,4,3,2 games
17,Nashville Predators,3,2,1,0,0,4,0.667,7,7,2.33,2.33,3 games
18,New York Islanders,2,1,1,0,0,2,0.5,5,7,2.5,3.5,2 games
19,New York Rangers,2,0,2,0,0,0,0,4,7,2,3.5,2 games
20,Ottawa Senators,2,1,1,0,0,2,0.5,2,7,1,3.5,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,7,9,3.5,4.5,2 games
22,Pittsburgh Penguins,2,1,0,0,1,3,0.75,5,5,2.5,2.5,2 games
23,San Jose Sharks,3,0,2,0,1,1,0.167,8,13,2.67,4.33,3 games
24,St. Louis Blues,3,2,1,0,0,4,0.667,11,10,3.67,3.33,3 games
25,Tampa Bay Lightning,2,1,1,0,0,2,0.5,9,8,4.5,4,2 games
26,Toronto Maple Leafs,2,0,1,0,1,1,0.25,2,6,1,3,2 games
27,Vancouver Canucks,4,3,1,0,0,6,0.75,18,10,4.5,2.5,4 games
28,Vegas Golden Knights,3,0,3,0,0,0,0,5,15,1.67,5,3 games
29,Winnipeg Jets,2,1,0,0,1,3,0.75,7,5,3.5,2.5,2 games
30,Washington Capitals,2,2,0,0,0,4,1,6,2,3,1,2 games
