Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,0,1,0,1,1,0.25,5,7,2.5,3.5,2 games
2,Arizona Coyotes,2,1,0,0,1,3,0.75,7,7,3.5,3.5,2 games
3,Boston Bruins,3,0,2,0,1,1,0.167,8,17,2.67,5.67,3 games
4,Buffalo Sabres,3,3,0,0,0,6,1,12,7,4,2.33,3 games
5,Columbus Blue Jackets,4,2,0,0,2,6,0.75,8,7,2,1.75,4 games
6,Calgary Flames,2,1,1,0,0,2,0.5,3,5,1.5,2.5,2 games
7,Chicago Blackhawks,2,1,0,0,1,3,0.75,6,6,3,3,2 games
8,Colorado Avalanche,2,1,1,0,0,2,0.5,6,6,3,3,2 games
9,Dallas Stars,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
10,Detroit Red Wings,3,1,2,0,0,2,0.333,5,8,1.67,2.67,3 games
11,Edmonton Oilers,2,1,1,0,0,2,0.5,8,10,4,5,2 games
12,Florida Panthers,2,2,0,0,0,4,1,6,3,3,1.5,2 games
13,Los Angeles Kings,2,1,0,0,1,3,0.75,9,6,4.5,3,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,7,10,3.5,5,2 games
15,Montreal Canadiens,3,3,0,0,0,6,1,11,6,3.67,2,3 games
16,New Jersey Devils,3,1,1,0,1,3,0.5,7,9,2.33,3,3 games
17,Nashville Predators,2,2,0,0,0,4,1,8,4,4,2,2 games
18,New York Islanders,4,2,2,0,0,4,0.5,12,14,3,3.5,4 games
19,New York Rangers,3,0,3,0,0,0,0,5,17,1.67,5.67,3 games
20,Ottawa Senators,1,1,0,0,0,2,1,2,1,2,1,1 games
21,Philadelphia Flyers,3,1,1,0,1,3,0.5,7,7,2.33,2.33,3 games
22,Pittsburgh Penguins,4,2,2,0,0,4,0.5,8,10,2,2.5,4 games
23,San Jose Sharks,2,0,1,0,1,1,0.25,5,8,2.5,4,2 games
24,St. Louis Blues,2,0,2,0,0,0,0,3,5,1.5,2.5,2 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,5,10,2.5,5,2 games
26,Toronto Maple Leafs,3,1,2,0,0,2,0.333,11,16,3.67,5.33,3 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,4,4,2,2,2 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,4,7,2,3.5,2 games
29,Winnipeg Jets,2,0,2,0,0,0,0,3,5,1.5,2.5,2 games
30,Washington Capitals,3,1,1,0,1,3,0.5,10,10,3.33,3.33,3 games
