Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,3,1,2,0,0,2,0.333,12,12,4,4,3 games
2,Arizona Coyotes,3,2,1,0,0,4,0.667,8,9,2.67,3,3 games
3,Boston Bruins,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,6,7,3,3.5,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,6,6,3,3,2 games
6,Columbus Blue Jackets,2,1,1,0,0,2,0.5,7,4,3.5,2,2 games
7,Calgary Flames,3,0,1,0,2,2,0.333,8,11,2.67,3.67,3 games
8,Colorado Avalanche,3,1,2,0,0,2,0.333,6,12,2,4,3 games
9,Dallas Stars,4,0,2,0,2,2,0.25,7,15,1.75,3.75,4 games
10,Detroit Red Wings,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
11,Edmonton Oilers,3,2,0,0,1,5,0.833,9,6,3,2,3 games
12,Florida Panthers,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
13,Los Angeles Kings,3,1,2,0,0,2,0.333,7,9,2.33,3,3 games
14,Minnesota Wild,5,2,3,0,0,4,0.4,9,11,1.8,2.2,5 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,3,3,1.5,1.5,2 games
16,New Jersey Devils,2,0,2,0,0,0,0,6,11,3,5.5,2 games
17,Nashville Predators,4,2,2,0,0,4,0.5,7,7,1.75,1.75,4 games
18,New York Islanders,1,0,1,0,0,0,0,3,7,3,7,1 games
19,New York Rangers,2,2,0,0,0,4,1,11,5,5.5,2.5,2 games
20,Ottawa Senators,2,2,0,0,0,4,1,11,4,5.5,2,2 games
21,Philadelphia Flyers,2,1,1,0,0,2,0.5,4,3,2,1.5,2 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,12,2,6,1,2 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
24,St. Louis Blues,2,0,1,0,1,1,0.25,6,10,3,5,2 games
25,Tampa Bay Lightning,2,0,1,0,1,1,0.25,2,5,1,2.5,2 games
26,Toronto Maple Leafs,2,0,0,0,2,2,0.5,5,7,2.5,3.5,2 games
27,Vancouver Canucks,3,0,3,0,0,0,0,6,14,2,4.67,3 games
28,Vegas Golden Knights,3,0,3,0,0,0,0,8,14,2.67,4.67,3 games
29,Winnipeg Jets,3,2,1,0,0,4,0.667,9,8,3,2.67,3 games
30,Washington Capitals,2,1,1,0,0,2,0.5,9,7,4.5,3.5,2 games
