Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,2,0,0,0,4,1,6,2,3,1,2 games
2,Arizona Coyotes,3,2,1,0,0,4,0.667,12,7,4,2.33,3 games
3,Boston Bruins,2,2,0,0,0,4,1,10,3,5,1.5,2 games
4,Buffalo Sabres,2,1,1,0,0,2,0.5,7,8,3.5,4,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,6,6,3,3,2 games
6,Columbus Blue Jackets,2,1,0,0,1,3,0.75,6,5,3,2.5,2 games
7,Calgary Flames,3,1,2,0,0,2,0.333,8,10,2.67,3.33,3 games
8,Chicago Blackhawks,3,2,0,0,1,5,0.833,12,6,4,2,3 games
9,Dallas Stars,5,3,2,0,0,6,0.6,15,14,3,2.8,5 games
10,Detroit Red Wings,2,2,0,0,0,4,1,9,4,4.5,2,2 games
11,Edmonton Oilers,3,1,1,0,1,3,0.5,8,10,2.67,3.33,3 games
12,Florida Panthers,2,2,0,0,0,4,1,9,4,4.5,2,2 games
13,Los Angeles Kings,2,0,1,0,1,1,0.25,2,9,1,4.5,2 games
14,Minnesota Wild,4,3,0,0,1,7,0.875,21,7,5.25,1.75,4 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,4,4,2,2,2 games
16,New Jersey Devils,2,0,2,0,0,0,0,2,6,1,3,2 games
17,Nashville Predators,4,0,3,0,1,1,0.125,8,17,2,4.25,4 games
18,New York Islanders,2,1,1,0,0,2,0.5,10,7,5,3.5,2 games
19,New York Rangers,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
20,Ottawa Senators,2,0,1,0,1,1,0.25,6,8,3,4,2 games
21,Philadelphia Flyers,1,1,0,0,0,2,1,5,4,5,4,1 games
22,Pittsburgh Penguins,2,2,0,0,0,4,1,6,3,3,1.5,2 games
23,San Jose Sharks,2,2,0,0,0,4,1,8,4,4,2,2 games
24,St. Louis Blues,4,1,3,0,0,2,0.25,9,14,2.25,3.5,4 games
25,Tampa Bay Lightning,2,0,2,0,0,0,0,7,11,3.5,5.5,2 games
26,Toronto Maple Leafs,2,2,0,0,0,4,1,8,5,4,2.5,2 games
27,Vancouver Canucks,3,2,0,0,1,5,0.833,11,9,3.67,3,3 games
28,Vegas Golden Knights,1,0,1,0,0,0,0,0,7,0,7,1 games
29,Winnipeg Jets,4,2,2,0,0,4,0.5,7,13,1.75,3.25,4 games
30,Washington Capitals,2,1,1,0,0,2,0.5,8,7,4,3.5,2 games
