Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,6,6,3,3,2 games
2,Arizona Coyotes,2,2,0,0,0,4,1,3,1,1.5,0.5,2 games
3,Boston Bruins,3,2,1,0,0,4,0.667,11,14,3.67,4.67,3 games
4,Buffalo Sabres,3,2,1,0,0,4,0.667,9,6,3,2,3 games
5,Carolina Hurricanes,4,2,2,0,0,4,0.5,7,8,1.75,2,4 games
6,Calgary Flames,1,1,0,0,0,2,1,1,0,1,0,1 games
7,Chicago Blackhawks,2,1,1,0,0,2,0.5,4,7,2,3.5,2 games
8,Colorado Avalanche,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
9,Dallas Stars,2,2,0,0,0,4,1,4,2,2,1,2 games
10,Detroit Red Wings,2,2,0,0,0,4,1,5,3,2.5,1.5,2 games
11,Edmonton Oilers,1,0,1,0,0,0,0,2,7,2,7,1 games
12,Florida Panthers,3,3,0,0,0,6,1,14,5,4.67,1.67,3 games
13,Los Angeles Kings,2,0,2,0,0,0,0,6,11,3,5.5,2 games
14,Minnesota Wild,2,1,0,0,1,3,0.75,7,7,3.5,3.5,2 games
15,Montreal Canadiens,3,2,1,0,0,4,0.667,8,6,2.67,2,3 games
16,New Jersey Devils,4,3,1,0,0,6,0.75,14,9,3.5,2.25,4 games
17,Nashville Predators,1,0,1,0,0,0,0,1,3,1,3,1 games
18,New York Islanders,4,3,1,0,0,6,0.75,18,9,4.5,2.25,4 games
19,New York Rangers,4,3,1,0,0,6,0.75,13,9,3.25,2.25,4 games
20,Ottawa Senators,3,2,1,0,0,4,0.667,11,8,3.67,2.67,3 games
21,Philadelphia Flyers,4,2,1,0,1,5,0.625,9,8,2.25,2,4 games
22,Pittsburgh Penguins,3,0,1,0,2,2,0.333,8,13,2.67,4.33,3 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
24,St. Louis Blues,1,0,1,0,0,0,0,1,4,1,4,1 games
25,Tampa Bay Lightning,3,0,2,0,1,1,0.167,4,12,1.33,4,3 games
26,Toronto Maple Leafs,3,2,1,0,0,4,0.667,10,10,3.33,3.33,3 games
27,Vancouver Canucks,1,0,1,0,0,0,0,2,5,2,5,1 games
28,Vegas Golden Knights,2,1,1,0,0,2,0.5,7,7,3.5,3.5,2 games
29,Winnipeg Jets,2,2,0,0,0,4,1,7,3,3.5,1.5,2 games
30,Washington Capitals,4,1,3,0,0,2,0.25,12,12,3,3,4 games
