Rk,Opponent,GP,W,L,T,OL,PTS,PTS%,GF,GA,GF/G,GA/G,Games
1,Anaheim Ducks,2,1,1,0,0,2,0.5,2,3,1,1.5,2 games
2,Arizona Coyotes,3,3,0,0,0,6,1,12,6,4,2,3 games
3,Boston Bruins,1,1,0,0,0,2,1,3,2,3,2,1 games
4,Buffalo Sabres,2,2,0,0,0,4,1,12,2,6,1,2 games
5,Carolina Hurricanes,2,1,1,0,0,2,0.5,5,8,2.5,4,2 games
6,Columbus Blue Jackets,2,0,1,0,1,1,0.25,2,4,1,2,2 games
7,Calgary Flames,3,3,0,0,0,6,1,10,5,3.33,1.67,3 games
8,Chicago Blackhawks,4,4,0,0,0,8,1,15,7,3.75,1.75,4 games
9,Colorado Avalanche,5,2,3,0,0,4,0.4,14,15,2.8,3,5 games
10,Detroit Red Wings,2,2,0,0,0,4,1,8,4,4,2,2 games
11,Edmonton Oilers,3,2,1,0,0,4,0.667,15,9,5,3,3 games
12,Florida Panthers,2,1,0,0,1,3,0.75,9,5,4.5,2.5,2 games
13,Los Angeles Kings,2,1,1,0,0,2,0.5,2,3,1,1.5,2 games
14,Minnesota Wild,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
15,Montreal Canadiens,2,1,1,0,0,2,0.5,5,5,2.5,2.5,2 games
16,New Jersey Devils,2,1,1,0,0,2,0.5,6,8,3,4,2 games
17,Nashville Predators,4,1,3,0,0,2,0.25,7,14,1.75,3.5,4 games
18,New York Islanders,2,2,0,0,0,4,1,10,2,5,1,2 games
19,New York Rangers,2,2,0,0,0,4,1,4,2,2,1,2 games
20,Ottawa Senators,2,0,0,0,2,2,0.5,4,6,2,3,2 games
21,Philadelphia Flyers,1,0,0,0,1,1,0.5,1,2,1,2,1 games
22,Pittsburgh Penguins,2,1,1,0,0,2,0.5,5,6,2.5,3,2 games
23,San Jose Sharks,2,1,1,0,0,2,0.5,8,5,4,2.5,2 games
24,St. Louis Blues,5,3,2,0,0,6,0.6,11,12,2.2,2.4,5 games
25,Tampa Bay Lightning,2,0,1,0,1,1,0.25,5,11,2.5,5.5,2 games
26,Toronto Maple Leafs,2,0,1,0,1,1,0.25,6,10,3,5,2 games
27,Vancouver Canucks,2,1,1,0,0,2,0.5,2,7,1,3.5,2 games
28,Vegas Golden Knights,3,1,2,0,0,2,0.333,7,7,2.33,2.33,3 games
29,Winnipeg Jets,4,0,4,0,0,0,0,8,18,2,4.5,4 games
30,Washington Capitals,2,0,1,0,1,1,0.25,6,8,3,4,2 games
